Cluster category,Cluster,Entries per cluster,General category
Observation measurement assessment and screening,Alcohol consumption codes,161323,Alcohol and smoking
Observation measurement assessment and screening,Alcohol Use Disorders Identification Test (AUDIT) codes,1757,Alcohol and smoking
Observation measurement assessment and screening,Alcohol Use Disorder Identification Test Consumption (AUDIT C) codes,7614,Alcohol and smoking
Observation measurement assessment and screening,National diabetes audit (NDA) smoking habit codes,53691,Alcohol and smoking
Observation measurement assessment and screening,Smoker codes,38323,Alcohol and smoking
Observation measurement assessment and screening,Smoking habit codes,52788,Alcohol and smoking
Observation measurement assessment and screening,Code for ex-smoker,10682,Alcohol and smoking
Observation measurement assessment and screening,Code for never smoked,2180,Alcohol and smoking
Observation measurement assessment and screening,Excessive alcohol consumption codes,119,Alcohol and smoking
Observation measurement assessment and screening,National diabetes audit (NDA) blood pressure (BP) codes,262989,Blood pressure
Observation measurement assessment and screening,Blood pressure (BP) recording codes,262989,Blood pressure
Observation measurement assessment and screening,Ambulatory blood pressure codes,1285,Blood pressure
Investigations test and results,Liver function test results,340787,Liver function tests
Investigations test and results,Urea and Electrolytes test results,220659,Urea and electrolytes
Investigations test and results,Codes for serum creatinine,112837,Renal function
Investigations test and results,Estimated glomerular filtration rate,97198,Renal function
Investigations test and results,Haemoglobin test results,90835,Haemoglobin
Investigations test and results,IFCC HbA1c monitoring range codes,65779,Glucose and HbA1c
Investigations test and results,Thyroid function test codes,61907,Other common lab tests
Investigations test and results,Calcium test result codes,58261,Other common lab tests
Investigations test and results,Total cholesterol codes,52736,Lipids
Investigations test and results,Total cholesterol codes with a value,52598,Lipids
Investigations test and results,High density lipoprotein (HDL) cholesterol test result codes,48964,Lipids
Investigations test and results,Total cholesterol high-density lipoprotein (HDL) codes,45066,Lipids
Investigations test and results,Triglyceride test result codes,39105,Lipids
Investigations test and results,Non-high density lipoprotein (Non-HDL) cholesterol test result codes,33030,Lipids
Investigations test and results,Urine albumin codes,30683,Renal function
Investigations test and results,Glucose test recording,27812,Glucose and HbA1c
Investigations test and results,Low density lipoprotein (LDL) cholesterol test results,24025,Lipids
Investigations test and results,Gamma-glutamyl transferase test results,17556,Liver function tests
Investigations test and results,Codes for Albumin Creatinine and Protein Creatinine Ratio for chronic kidney disease (CKD),16180,Renal function
Investigations test and results,INR Time in therapeutic range,5713,Other common lab tests
Investigations test and results,Cockcroft Gault - estimated glomerular filtration rate,5251,Renal function
Investigations test and results,Fasting plasma glucose codes,2032,Glucose and HbA1c
Diagnoses and findings (including resolved and remission),Codes for proteinuria,3,Renal function
Diagnoses and findings (including resolved and remission),Codes for proteinuria for chronic kidney disease (CKD),3,Renal function
Diagnoses and findings (including resolved and remission),Persistent proteinuria codes,3,Renal function
Diagnoses and findings (including resolved and remission),Chronic kidney disease (CKD) stage 3 4 and 5 codes,2,Renal function
Diagnoses and findings (including resolved and remission),Chronic kidney disease (CKD) stage 3-5 codes,2,Renal function
Investigations test and results,Hepatitis B blood test codes,1,Renal function
COVID-19 activity,COVID19 testing diagnoses and related activity,10,COVID
COVID-19 activity,Codes relating to COVID19 risk indicators of infection activities regarding COVID19 and long COVID management and assessment,46,COVID
Diagnoses and findings (including resolved and remission),National diabetes audit (NDA) diabetes mellitus diagnosis codes,70,Diabetes
Diagnoses and findings (including resolved and remission),Non Type 1 or Type 2 diabetes mellitus codes used in National audit,70,Diabetes
Diagnoses and findings (including resolved and remission),Diabetes Type 1 codes used in National Audit,30,Diabetes
Diagnoses and findings (including resolved and remission),Diabetes mellitus codes for pneumococcal service,60,Diabetes
Diagnoses and findings (including resolved and remission),Diabetes mellitus codes,60,Diabetes
