code,term
04,Central Nervous System
0401,Hypnotics and anxiolytics
040101,Hypnotics
0401010,Hypnotics
040101000,Other hypnotic preparations
040101000BB,Proprietary co hypnotics
040101000BBAQA0,Mason melatonin extra strength 5mg tablets
0401010AC,Sodium oxybate
0401010ACAA,Sodium oxybate
0401010ACAAAAAA,Sodium oxybate 500mg/ml oral solution sugar free
0401010ACBB,Xyrem
0401010ACBBAAAA,Xyrem 500mg/ml oral solution
0401010AD,Melatonin
0401010ADAA,Melatonin
0401010ADAAAAAA,Melatonin 2mg modified-release tablets
0401010ADAAACAC,Melatonin 500microgram capsules
0401010ADAAAEAE,Melatonin 2mg capsules
0401010ADAAAHAH,Melatonin 2.5mg capsules
0401010ADAAAIAI,Melatonin 1mg tablets
0401010ADAAAJAJ,Melatonin 3mg modified-release capsules
0401010ADAAAKAK,Melatonin 10mg capsules
0401010ADAAAQAQ,Melatonin 3mg modified-release tablets
0401010ADAAASAS,Melatonin 500microgram tablets
0401010ADAAAUAU,Melatonin 4mg capsules
0401010ADAABGBG,Melatonin 4mg/5ml oral solution
0401010ADAABIBI,Melatonin 3mg lozenges sugar free
0401010ADAABJBJ,Melatonin 8mg capsules
0401010ADAABKBK,Melatonin 2mg tablets
0401010ADAABLBL,Melatonin 5mg tablets
0401010ADAABMBM,Melatonin 20mg capsules
0401010ADAABQBQ,Melatonin 1mg capsules
0401010ADAABRBR,Melatonin 3mg capsules
0401010ADAABSBS,Melatonin 5mg capsules
0401010ADAABTBT,Melatonin 1mg/5ml oral liquid
0401010ADAABVBV,Melatonin 6mg capsules
0401010ADAABWBW,Melatonin 6mg/5ml oral liquid
0401010ADAABYBY,Melatonin 2mg/5ml oral solution
0401010ADAABZBZ,Melatonin 2mg/5ml oral suspension
0401010ADAACACA,Melatonin 3mg/5ml oral solution
0401010ADAACBCB,Melatonin 3mg/5ml oral suspension
0401010ADAACCCC,Melatonin 3mg orodispersible tablets
0401010ADAACDCD,Melatonin 10mg/5ml oral solution
0401010ADAACECE,Melatonin 10mg/5ml oral suspension
0401010ADAACFCF,Melatonin 2.5mg/5ml oral solution
0401010ADAACGCG,Melatonin 2.5mg/5ml oral suspension
0401010ADAACHCH,Melatonin 2mg modified-release capsules
0401010ADAACICI,Melatonin 7.5mg capsules
0401010ADAACJCJ,Melatonin 7mg/5ml oral solution
0401010ADAACKCK,Melatonin 15mg/5ml oral suspension
0401010ADAACLCL,Melatonin 7mg/5ml oral suspension
0401010ADAACMCM,Melatonin 7mg capsules
0401010ADAACNCN,Melatonin 10mg tablets
0401010ADAACPCP,Melatonin 4mg tablets
0401010ADAACQCQ,Melatonin 6mg tablets
0401010ADAACRCR,Melatonin 2.5mg tablets
0401010ADAACSCS,Melatonin 8mg/5ml oral solution
0401010ADAACTCT,Melatonin 1mg/ml oral drops
0401010ADAACUCU,Melatonin 1mg modified-release tablets
0401010ADAACVCV,Melatonin 5mg modified-release tablets
0401010ADAACWCW,Melatonin 9mg capsules
0401010ADAACXCX,Melatonin 6mg modified-release capsules
0401010ADAACYCY,Melatonin 3mg tablets
0401010ADAACZCZ,Melatonin 1mg/ml oral solution sugar free
0401010ADAADADA,Melatonin 5mg/5ml oral solution
0401010ADAADCDC,Melatonin 4mg/5ml oral suspension
0401010ADAADDDD,Melatonin 5mg/5ml oral solution (old)
0401010ADAADEDE,Melatonin 5mg/5ml oral suspension
0401010ADBB,Circadin
0401010ADBBAAAA,Circadin 2mg modified-release tablets
0401010ADBC,Melatonin (Proprietary preparations)
0401010ADBCAPAS,VesPro Melatonin 500microgram tablets
0401010ADBCBKBM,S.Gard 20mg capsules
0401010ADBCBZCY,Bio-Melatonin 3mg tablets
0401010ADBCCACY,HealthAid Melatonin 3mg tablets
0401010ADBCCBBR,Icenia Melatonin 3mg capsules
0401010ADBCCCBL,Melatonin Extra Strength 5mg tablets
0401010ADBCCDAE,Icenia Melatonin 2mg capsules
0401010ADBCCEBS,Icenia Melatonin 5mg capsules
0401010ADBCCFAA,Twinlab Melatonin 2mg modified-release tablets
0401010ADBD,Slenyto
0401010ADBDAACU,Slenyto 1mg modified-release tablets
0401010ADBDABCV,Slenyto 5mg modified-release tablets
0401010B0,Chloral hydrate
0401010B0AA,Chloral hydrate
0401010B0AAACAC,Chloral 1g/10ml mixture
0401010B0AAAFAF,Chloral hydrate 143.3mg/5ml oral solution BP
0401010B0AAAJAJ,Chloral hydrate 250mg suppositories
0401010B0AAAQAQ,Chloral hydrate 500mg suppositories
0401010B0AAASAS,Chloral hydrate 300mg/5ml oral solution BP
0401010B0AAAUAU,Chloral hydrate 325mg/5ml oral solution BP
0401010B0AAAVAV,Chloral hydrate 5g/5ml oral solution BP
0401010B0AAAWAW,Chloral hydrate 145mg/5ml oral solution BP
0401010B0AAAXAX,Chloral hydrate 100mg suppositories
0401010B0AAAZAZ,Chloral hydrate 1.25g/5ml oral solution BP
0401010B0AABABA,Chloral hydrate 200mg suppositories
0401010B0AABDBD,Chloral hydrate 1.5g/5ml oral solution BP
0401010B0AABEBE,Chloral hydrate 250mg/5ml oral solution BP
0401010B0AABFBF,Chloral hydrate 100mg/5ml oral solution BP
0401010B0AABGBG,Chloral hydrate 200mg/5ml oral liquid
0401010B0AABIBI,Chloral hydrate 400mg/5ml oral solution BP
0401010B0AABJBJ,Chloral hydrate 1mg/5ml oral solution BP
0401010B0AABMBM,Chloral hydrate 40mg/5ml oral solution BP
0401010B0AABNBN,Chloral hydrate 70mg/5ml oral solution BP
0401010B0AABPBP,Chloral hydrate 600mg/5ml oral solution BP
0401010B0AABQBQ,Chloral hydrate 50mg/5ml oral solution BP
0401010B0AABSBS,Chloral hydrate 500mg/5ml oral solution/mixture BP 2000
0401010B0AABTBT,Chloral hydrate 500mg/5ml oral solution sugar free
0401010B0AABWBW,Chloral hydrate 1g/5ml oral solution BP
0401010B0BC,Welldorm (liq)
0401010B0BCABAF,Welldorm 143.3mg/5ml elixir
0401010C0,Cloral betaine
0401010C0AA,Cloral betaine
0401010C0AAAAAA,Cloral betaine 707mg tablets
0401010C0BB,Welldorm (tab)
0401010C0BBAAAA,Welldorm 707mg tablets
0401010D0,Clomethiazole edisilate
0401010D0AA,Clomethiazole edisilate
0401010D0AAACAC,Clomethiazole 157.5mg/5ml oral solution sugar free
0401010D0AAAEAE,Clomethiazole 250mg/5ml oral solution
0401010D0BB,Heminevrin (Infusion/Syrup)
0401010D0BBABAC,Heminevrin 250mg/5ml syrup
0401010F0,Clomethiazole
0401010F0AA,Clomethiazole
0401010F0AAAAAA,Clomethiazole 192mg capsules
0401010F0BB,Heminevrin (Capsule)
0401010F0BBAAAA,Heminevrin 192mg capsules
0401010I0,Flunitrazepam
0401010I0AA,Flunitrazepam
0401010I0AAAAAA,Flunitrazepam 1mg tablets
0401010I0BB,Rohypnol
0401010I0BBAAAA,Rohypnol 1mg tablets
0401010L0,Flurazepam hydrochloride
0401010L0AA,Flurazepam hydrochloride
0401010L0AAAAAA,Flurazepam 15mg capsules
0401010L0AAABAB,Flurazepam 30mg capsules
0401010L0BB,Dalmane
0401010L0BBAAAA,Dalmane 15mg capsules
0401010L0BBABAB,Dalmane 30mg capsules
0401010N0,Loprazolam mesilate
0401010N0AA,Loprazolam mesil
0401010N0AAAAAA,Loprazolam 1mg tablets
0401010P0,Lormetazepam
0401010P0AA,Lormetazepam
0401010P0AAABAB,Lormetazepam 500microgram tablets
0401010P0AAACAC,Lormetazepam 1mg tablets
0401010P0AAAEAE,Lormetazepam 2mg/5ml oral suspension
0401010P0AAAFAF,Lormetazepam 500micrograms/5ml oral suspension
0401010P0AAAGAG,Lormetazepam 1mg/5ml oral suspension
0401010P0AAAHAH,Lormetazepam 125micrograms/5ml oral suspension
0401010R0,Nitrazepam
0401010R0AA,Nitrazepam
0401010R0AAAAAA,Nitrazepam 2.5mg/5ml oral suspension
0401010R0AAACAC,Nitrazepam 5mg tablets
0401010R0AAANAN,Nitrazepam 6mg/5ml oral suspension
0401010R0AAAQAQ,Nitrazepam 2.5mg/5ml oral suspension sugar free
0401010R0AAATAT,Nitrazepam 450micrograms/5ml oral suspension
0401010R0AAAUAU,Nitrazepam 10mg/5ml oral suspension
0401010R0AAAVAV,Nitrazepam 2mg/5ml oral suspension
0401010R0AAAWAW,Nitrazepam 4mg/5ml oral suspension
0401010R0AAAXAX,Nitrazepam 5mg/5ml oral suspension
0401010R0BD,Mogadon
0401010R0BDAAAC,Mogadon 5mg tablets
0401010R0BF,Somnite
0401010R0BFAAAA,Somnite 2.5mg/5ml oral suspension
0401010S0,Potassium bromide
0401010S0AA,Potassium bromide
0401010S0AAABAB,Potassium bromide mixture
0401010T0,Temazepam
0401010T0AA,Temazepam
0401010T0AAAEAE,Temazepam 10mg/5ml oral solution sugar free
0401010T0AAAMAM,Temazepam 10mg tablets
0401010T0AAANAN,Temazepam 20mg tablets
0401010T0AABABA,Temazepam 10mg/5ml oral solution unit dose vials sugar free
0401010T0AABCBC,Temazepam 14mg/5ml oral liquid
0401010W0,Zaleplon
0401010W0AA,Zaleplon
0401010W0AAAAAA,Zaleplon 5mg capsules
0401010W0AAABAB,Zaleplon 10mg capsules
0401010W0BB,Sonata
0401010W0BBAAAA,Sonata 5mg capsules
0401010W0BBABAB,Sonata 10mg capsules
0401010X0,Triclofos sodium
0401010X0AA,Triclofos sodium
0401010X0AAAAAA,Triclofos 500mg/5ml oral solution
0401010Y0,Zolpidem tartrate
0401010Y0AA,Zolpidem tartrate
0401010Y0AAAAAA,Zolpidem 5mg tablets
0401010Y0AAABAB,Zolpidem 10mg tablets
0401010Y0AAACAC,Zolpidem 5mg oral powder sachets
0401010Y0BB,Stilnoct
0401010Y0BBAAAA,Stilnoct 5mg tablets
0401010Y0BBABAB,Stilnoct 10mg tablets
0401010Z0,Zopiclone
0401010Z0AA,Zopiclone
0401010Z0AAAAAA,Zopiclone 7.5mg tablets
0401010Z0AAABAB,Zopiclone 5mg/5ml oral suspension
0401010Z0AAACAC,Zopiclone 3.75mg tablets
0401010Z0AAAGAG,Zopiclone 1.88mg/5ml oral suspension
0401010Z0AAAJAJ,Zopiclone 3.75mg/5ml oral solution
0401010Z0AAAKAK,Zopiclone 3.75mg/5ml oral suspension
0401010Z0AAALAL,Zopiclone 7.5mg/5ml oral suspension
0401010Z0AAAMAM,Zopiclone 7.5mg/5ml oral solution
0401010Z0BB,Zimovane
0401010Z0BBAAAA,Zimovane 7.5mg tablets
0401010Z0BBABAC,Zimovane LS 3.75mg tablets
0401010Z0BC,Zileze
0401010Z0BCAAAC,Zileze 3.75 tablets
0401010Z0BCABAA,Zileze 7.5 tablets
040102,Anxiolytics
0401020,Anxiolytics
0401020A0,Alprazolam
0401020A0AA,Alprazolam
0401020A0AAAAAA,Alprazolam 250microgram tablets
0401020A0AAABAB,Alprazolam 500microgram tablets
0401020A0BB,Xanax
0401020A0BBAAAA,Xanax 250microgram tablets
0401020A0BBABAB,Xanax 500microgram tablets
0401020B0,Buspirone hydrochloride
0401020B0AA,Buspirone hydrochloride
0401020B0AAAAAA,Buspirone 5mg tablets
0401020B0AAABAB,Buspirone 10mg tablets
0401020B0AAACAC,Buspirone 5mg/5ml oral liquid
0401020B0AAADAD,Buspirone 7.5mg tablets
0401020B0BB,Buspar
0401020B0BBAAAA,Buspar 5mg tablets
0401020B0BBABAB,Buspar 10mg tablets
0401020E0,Chlordiazepoxide hydrochloride
0401020E0AA,Chlordiazepox hydrochloride
0401020E0AAAAAA,Chlordiazepoxide 5mg tablets
0401020E0AAABAB,Chlordiazepoxide 10mg tablets
0401020E0AAADAD,Chlordiazepoxide 5mg capsules
0401020E0AAAEAE,Chlordiazepoxide 10mg capsules
0401020E0AAASAS,Chlordiazepoxide 4mg/5ml oral liquid
0401020E0AAAUAU,Chlordiazepoxide 5mg/5ml oral suspension
0401020E0AAAVAV,Chlordiazepoxide 10mg/5ml oral liquid
0401020E0AAAYAY,Chlordiazepoxide 2.5mg/5ml oral liquid
0401020E0BB,Librium (Capsule/Injection)
0401020E0BBABAD,Librium 5mg capsules
0401020E0BBACAE,Librium 10mg capsules
0401020E0BC,Tropium
0401020E0BCAAAA,Tropium 5mg tablets
0401020E0BCABAB,Tropium 10mg tablets
0401020E0BCADAE,Tropium 10mg capsules
0401020E0BCAEAD,Tropium 5mg capsules
0401020G0,Bromazepam
0401020G0AA,Bromazepam
0401020G0AAAAAA,Bromazepam 3mg tablets
0401020K0,Diazepam
0401020K0AA,Diazepam
0401020K0AAA1A1,Diazepam 10mg/5ml oral liquid
0401020K0AAA6A6,Diazepam 2mg/5ml oral solution
0401020K0AAACAC,Diazepam 10mg/2ml solution for injection ampoules
0401020K0AAADAD,Diazepam 5mg/2.5ml rectal solution tube
0401020K0AAAEAE,Diazepam 10mg/2.5ml rectal solution tube
0401020K0AAAHAH,Diazepam 2mg tablets
0401020K0AAAIAI,Diazepam 5mg tablets
0401020K0AAAJAJ,Diazepam 10mg tablets
0401020K0AAAQAQ,Diazepam 10mg/2ml emulsion for injection ampoules
0401020K0AAAWAW,Diazepam 2mg/5ml oral solution sugar free
0401020K0AABBBB,Diazepam 10mg suppositories
0401020K0AABKBK,Diazepam 1mg/5ml oral solution
0401020K0AABMBM,Diazepam 25mg/5ml oral solution
0401020K0AABQBQ,Diazepam 2.5mg/1.25ml rectal solution tube
0401020K0AABWBW,Diazepam 5mg/5ml oral solution
0401020K0AACBCB,Diazepam 2.5mg/5ml oral liquid
0401020K0AACHCH,Diazepam 15mg/5ml oral solution
0401020K0AACICI,Diazepam 2mg/5ml oral suspension
0401020K0AACJCJ,Diazepam 5mg/5ml oral suspension
0401020K0BB,Diazemuls
0401020K0BBAAAQ,Diazemuls 10mg/2ml emulsion for injection ampoules
0401020K0BD,Stesolid
0401020K0BDABAD,Stesolid 5mg rectal tube
0401020K0BDACAE,Stesolid 10mg rectal tube
0401020K0BK,Valclair
0401020K0BKAABB,Valclair 10mg suppositories
0401020K0BL,Diazepam (CP Pharm)
0401020K0BLAAAD,Diazepam 5mg RecTubes
0401020K0BLABAE,Diazepam 10mg RecTubes
0401020K0BLACBQ,Diazepam 2.5mg RecTubes
0401020K0BM,Tensium
0401020K0BMABAJ,Tensium 10mg tablets
0401020K0BMACAH,Tensium 2mg tablets
0401020P0,Lorazepam
0401020P0AA,Lorazepam
0401020P0AAAAAA,Lorazepam 4mg/1ml solution for injection ampoules
0401020P0AAABAB,Lorazepam 1mg tablets
0401020P0AAACAC,Lorazepam 2.5mg tablets
0401020P0AAADAD,Lorazepam 500microgram tablets
0401020P0AABHBH,Lorazepam 250micrograms/5ml oral liquid
0401020P0AABJBJ,Lorazepam 5mg/5ml oral liquid
0401020P0AABRBR,Lorazepam 2mg/5ml oral liquid
