code,term
05,Infections
0501,Antibacterial drugs
050101,Penicillins
0501011,Benzylpenicillin and phenoxymethylpenicillin
0501011J0,Benzylpenicillin sodium (Penicillin G)
0501011J0AA,Benzylpenicillin sodium (Penicillin G)
0501011J0AAABAB,Benzylpenicillin 600mg inj vials
0501011J0AAAFAF,Benzylpenicillin 1.2g inj vials
0501011J0BB,Crystapen
0501011J0BBABAB,Crystapen 600mg powder for solution for injection vials
0501011J0BBAFAF,Crystapen 1.2g powder for solution for injection vials
0501011P0,Phenoxymethylpenicillin (Penicillin V)
0501011P0AA,Phenoxymethylpenicillin (Penicillin V)
0501011P0AAADAD,Phenoxymethylpenicillin 125mg/5ml oral solution
0501011P0AAAFAF,Phenoxymethylpenicillin 250mg/5ml oral solution
0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets
0501011P0AAARAR,Phenoxymethylpenicillin 125mg/5ml oral solution sugar free
0501011P0AAASAS,Phenoxymethylpenicillin 250mg/5ml oral solution sugar free
0501011P0AAATAT,Phenoxymethylpenicillin 0.3% eye drops
0501011P0BN,Tenkicin
0501011P0BNADAJ,Tenkicin 250mg tablets
0501012,Penicillinase-resistant penicillins
0501012G0,Flucloxacillin sodium
0501012G0AA,Flucloxacillin sodium
0501012G0AAAAAA,Flucloxacillin 250mg capsules
0501012G0AAABAB,Flucloxacillin 500mg capsules
0501012G0AAACAC,Flucloxacillin 250mg powder for solution for injection vials
0501012G0AAADAD,Flucloxacillin 500mg powder for solution for injection vials
0501012G0AAAEAE,Flucloxacillin 1g powder for solution for injection vials
0501012G0AAAFAF,Flucloxacillin 125mg/5ml oral solution
0501012G0AAAGAG,Flucloxacillin 250mg/5ml oral solution
0501012G0AAAPAP,Flucloxacillin 125mg/5ml oral solution sugar free
0501012G0AAAQAQ,Flucloxacillin 250mg/5ml oral solution sugar free
0501012G0AAARAR,Flucloxacillin 2g powder for solution for injection vials
0501012G0BB,Floxapen (Capsule/Injection)
0501012G0BBAAAA,Floxapen 250mg capsules
0501012G0BBABAB,Floxapen 500mg capsules
0501012G0BBAEAC,Floxapen 250mg powder for solution for injection vials
0501012G0BBAFAD,Floxapen 500mg powder for solution for injection vials
0501012G0BBAGAE,Floxapen 1g powder for solution for injection vials
0501012G0BC,Ladropen
0501012G0BCAAAA,Ladropen 250mg capsules
0501012G0BCABAB,Ladropen 500mg capsules
0501012G0BG,Fluclomix
0501012G0BGACAA,Fluclomix 250 capsules
0501012G0BGADAB,Fluclomix 500 capsules
0501012H0,Flucloxacillin magnesium
0501012H0AA,Flucloxacillin magesium
0501012H0AAAAAA,Flucloxacillin 125mg/5ml oral suspension
0501012H0AAABAB,Flucloxacillin 250mg/5ml oral suspension
0501012H0BB,Floxapen (Liquid/Powder)
0501012H0BBAAAA,Floxapen 125mg/5ml syrup
0501012H0BBABAB,Floxapen 250mg/5ml syrup
0501012U0,Temocillin sodium
0501012U0AA,Temocillin sodium
0501012U0AAABAB,Temocillin 1g powder for solution for injection vials
0501012U0BC,Negaban
0501012U0BCAAAB,Negaban 1g powder for solution for injection vials
0501013,Broad-spectrum penicillins
0501013B0,Amoxicillin
0501013B0AA,Amoxicillin
0501013B0AAAAAA,Amoxicillin 250mg capsules
0501013B0AAABAB,Amoxicillin 500mg capsules
0501013B0AAAHAH,Amoxicillin 3g oral powder sachets sugar free
0501013B0AAAIAI,Amoxicillin 125mg/1.25ml oral suspension paediatric
0501013B0AAAJAJ,Amoxicillin 125mg/5ml oral suspension
0501013B0AAAKAK,Amoxicillin 250mg/5ml oral suspension
0501013B0AAASAS,Amoxicillin 125mg/5ml oral suspension sugar free
0501013B0AAATAT,Amoxicillin 250mg/5ml oral suspension sugar free
0501013B0AAAUAU,Amoxicillin 1g dispersible tablets sugar free
0501013B0BC,Amoxil (Systemic)
0501013B0BCAAAA,Amoxil 250mg capsules
0501013B0BCABAB,Amoxil 500mg capsules
0501013B0BCAEAS,Amoxil 125mg/5ml syrup sucrose free
0501013B0BCAFAT,Amoxil 250mg/5ml syrup sucrose free
0501013B0BCAGAI,Amoxil 125mg/1.25ml paediatric oral suspension
0501013B0BCAIAH,Amoxil 3g oral powder sachets sucrose free
0501013B0BD,Almodan
0501013B0BDABAJ,Almodan 125mg/5ml syrup
0501013B0BF,Amix
0501013B0BFAEAA,Amix 250 capsules
0501013B0BFAFAB,Amix 500 capsules
0501013B0BFAGAS,Amix 125 oral suspension
0501013B0BFAIAT,Amix 250 oral suspension
0501013B0BG,Amoram
0501013B0BGAAAA,Amoram 250mg capsules
0501013B0BGABAB,Amoram 500mg capsules
0501013B0BGACAS,Amoram 125mg/5ml oral suspension
0501013B0BGADAT,Amoram 250mg/5ml oral suspension
0501013B0BH,Galenamox
0501013B0BHAAAA,Galenamox 250mg capsules
0501013B0BHABAB,Galenamox 500mg capsules
0501013B0BHACAS,Galenamox 125mg/5ml oral suspension
0501013B0BHADAT,Galenamox 250mg/5ml oral suspension
0501013B0BN,Respillin
0501013B0BNACAA,Respillin 250mg capsules
0501013B0BNADAB,Respillin 500mg capsules
0501013B0BR,Amoxident
0501013B0BRAAAA,Amoxident 250 capsules
0501013B0BRABAB,Amoxident 500 capsules
0501013C0,Amoxicillin sodium
0501013C0AA,Amoxicillin sodium
0501013C0AAACAC,Amoxicillin 250mg powder for solution for injection vials
0501013C0AAADAD,Amoxicillin 500mg powder for solution for injection vials
0501013C0AAAEAE,Amoxicillin 1g powder for solution for injection vials
0501013C0BC,Amoxil (Parenteral)
0501013C0BCAAAC,Amoxil 250mg powder for solution for injection vials
0501013C0BCABAD,Amoxil 500mg powder for solution for injection vials
0501013C0BCACAE,Amoxil 1g powder for solution for injection vials
0501013E0,Ampicillin
0501013E0AA,Ampicillin
0501013E0AAAAAA,Ampicillin 250mg capsules
0501013E0AAABAB,Ampicillin 500mg capsules
0501013E0AAADAD,Ampicillin 500mg powder for solution for injection vials
0501013E0AAAEAE,Ampicillin 125mg/5ml oral suspension
0501013E0AAAFAF,Ampicillin 250mg/5ml oral suspension
0501013E0BE,Penbritin
0501013E0BEAAAA,Penbritin 250mg capsules
0501013E0BEABAB,Penbritin 500mg capsules
0501013E0BEADAE,Penbritin 125mg/5ml syrup
0501013E0BEAEAF,Penbritin Forte 250mg/5ml syrup
0501013E0BEAHAD,Penbritin 500mg powder for solution for injection vials
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid)
0501013K0AA,Co-amoxiclav
0501013K0AAAAAA,Co-amoxiclav 250mg/125mg tablets
0501013K0AAABAB,Co-amoxiclav 250mg/125mg dispersible tablets sugar free
0501013K0AAADAD,Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free
0501013K0AAAEAE,Co-amoxiclav 500mg/100mg inj vials
0501013K0AAAFAF,Co-amoxiclav 1000mg/200mg inj vials
0501013K0AAAGAG,Co-amoxiclav 250mg/62mg/5ml oral suspension sugar free
0501013K0AAAHAH,Co-amoxiclav 125mg/31mg/5ml oral suspension
0501013K0AAAIAI,Co-amoxiclav 250mg/62mg/5ml oral suspension
0501013K0AAAJAJ,Co-amoxiclav 500mg/125mg tablets
0501013K0AAAKAK,Co-amoxiclav 400mg/57mg/5ml oral suspension sugar free
0501013K0AAANAN,Co-amoxiclav 875mg/125mg tablets
0501013K0BB,Augmentin
0501013K0BBAAAA,Augmentin 375mg tablets
0501013K0BBABAB,Augmentin 375mg dispersible tablets
0501013K0BBACAE,Augmentin Intravenous 600mg inj vials
0501013K0BBAHAF,Augmentin Intravenous 1.2g inj vials
0501013K0BBAJAD,Augmentin 125/31 SF oral suspension
0501013K0BBAKAG,Augmentin 250/62 SF oral suspension
0501013K0BBALAJ,Augmentin 625mg tablets
0501013K0BBAMAK,Augmentin-Duo 400/57 oral suspension
0501013K0BC,Amiclav
0501013K0BCAAAA,Amiclav 250mg/125mg tablets
0501013K0BD,Ranclav
0501013K0BDAAAA,Ranclav 375mg tablets
0501013K0BDABAJ,Ranclav 625mg tablets
0501013K0BDACAG,Ranclav 250mg/62mg/5ml SF oral suspension
0501013K0BDADAD,Ranclav 125mg/31mg/5ml SF oral suspension
0501013L0,Co-fluampicil(Flucloxacillin/ampicillin)
0501013L0AA,Co-fluampicil
0501013L0AAAAAA,Co-fluampicil 250mg/250mg capsules
0501013L0AAABAB,Co-fluampicil 250mg/250mg inj vials
0501013L0AAADAD,Co-fluampicil 125mg/125mg/5ml oral suspension
0501013L0BB,Magnapen
0501013L0BBAAAA,Magnapen 250mg/250mg capsules
0501013L0BBABAB,Magnapen 500mg powder for solution for injection vials
0501013L0BBADAD,Magnapen syrup
0501014,Antipseudomonal penicillins
0501014N0,Ticarcillin with clavulanic acid
0501014N0AA,Ticarcillin /clavulanic acid
0501014N0AAACAC,Ticarcillin 3g / Clavulanic acid 200mg inf vials
0501014N0BB,Timentin
0501014N0BBACAC,Timentin 3.2g powder for solution for infusion vials
0501014S0,Piperacillin sodium/tazobactam sodium
0501014S0AA,Piperacillin/tazobactam
0501014S0AAAAAA,Piperacillin 2g / Tazobactam 250mg inf vials
0501014S0AAABAB,Piperacillin 4g / Tazobactam 500mg inf vials
0501014S0AAACAC,Piperacillin 4g / Tazobactam 500mg inj vials
0501014S0BB,Tazocin
0501014S0BBAAAA,Tazocin 2g/0.25g powder for solution for infusion vials
0501014S0BBABAB,Tazocin 4g/0.5g powder for solution for infusion vials
0501014S0BBACAC,Tazocin 4.5g inj intravenous infusion pack
0501015,Mecillinams
0501015P0,Pivmecillinam hydrochloride
0501015P0AA,Pivmecillinam hydrochloride
0501015P0AAABAB,Pivmecillinam 200mg tablets
0501015P0AAACAC,Pivmecillinam 200mg/5ml oral suspension
0501015P0BB,Selexid
0501015P0BBABAB,Selexid 200mg tablets
050102,Cephalosporins and other beta-lactams
0501020,Cephalosporins and other beta-lactams
050102020,Cefpirome sulfate
050102020AA,Cefpirome sulfate
050102020AAAAAA,Cefpirome 1g powder for solution for injection vials
050102020AAABAB,Cefpirome 2g powder for solution for injection vials
050102020BB,Cefrom
050102020BBAAAA,Cefrom 1g powder for solution for injection vials
050102020BBABAB,Cefrom 2g powder for solution for injection vials
0501020AA,Cefprozil
0501020AAAA,Cefprozil
0501020AAAAAAAA,Cefprozil 250mg tablets
0501020AAAAABAB,Cefprozil 500mg tablets
0501020AAAAACAC,Cefprozil 250mg/5ml oral suspension
0501020AABB,Cefzil
0501020AABBAAAA,Cefzil 250mg tablets
0501020AABBABAB,Cefzil 500mg tablets
0501020AABBACAC,Cefzil 250mg/5ml oral suspension
0501020AD,Cefepime
0501020ADAA,Cefepime
0501020ADAAAAAA,Cefepime 1g powder for solution for injection vials
0501020ADAAABAB,Cefepime 2g powder for solution for injection vials
0501020ADBB,Renapime
