code,term
08,Malignant Disease and Immunosuppression
0801,Cytotoxic drugs
080100,Drugs for cytotoxic-induced side-effects
0801000,Drugs for cytotoxic-induced side-effects
0801000I0,Calcium folinate
0801000I0AA,Calcium folinate (Antimetabolite)
0801000I0AAAAAA,Calcium folinate 3mg/1ml solution for injection ampoules
0801000I0AAAFAF,Calcium folinate 30mg/10ml solution for injection ampoules
0801000I0AAAGAG,Calcium folinate 15mg/2ml solution for injection ampoules
0801000I0AAAHAH,Calcium folinate 15mg tablets
0801000I0AAAMAM,Calcium folinate 50mg/5ml solution for injection vials
0801000I0AAAPAP,Calcium folinate 300mg/30ml solution for injection vials
0801000I0AAATAT,Calcium folinate 100mg/10ml solution for injection vials
0801000I0AAAWAW,Calcium folinate 15mg/5ml oral liquid
0801000I0AAAXAX,Calcium folinate 7.5mg/5ml oral liquid
0801000I0AAAYAY,Calcium folinate 12.5mg/5ml oral liquid
0801000I0AAAZAZ,Calcium folinate 37.5mg/5ml oral liquid
0801000I0AABBBB,Calcium folinate 6.67mg/5ml oral liquid
0801000I0AABCBC,Calcium folinate 33.333mg/5ml oral liquid
0801000I0AABEBE,Calcium folinate 350mg/35ml solution for injection vials
0801000I0AABGBG,Calcium folinate 50mg/5ml solution for injection ampoules
0801000I0AABHBH,Calcium folinate 200mg/20ml solution for injection vials
0801000I0AABIBI,Calcium folinate 500mg/50ml solution for infusion vials
0801000I0BB,Calcium leucovorin lederle
0801000I0BBAAAH,Refolinon 15mg tablets
0801000I0BC,Refolinon
0801000I0BCACAF,Refolinon 30mg/10ml solution for injection ampoules
0801000I0BF,Lederfolin
0801000I0BFABBE,Lederfolin 350mg/35ml solution for injection vials
0801000T0,Mesna
0801000T0AA,Mesna (Cancer)
0801000T0AAAAAA,Mesna 400mg/4ml solution for injection ampoules
0801000T0AAABAB,Mesna 1g/10ml solution for injection ampoules
0801000T0AAACAC,Mesna 400mg tablets
0801000T0AAADAD,Mesna 600mg tablets
0801000T0AAAEAE,Mesna 40mg/5ml oral solution
0801000T0BB,Uromitexan
0801000T0BBAAAA,Uromitexan 400mg/4ml solution for injection ampoules
0801000T0BBABAB,Uromitexan 1g/10ml solution for injection ampoules
0801000T0BBADAC,Uromitexan 400mg tablets
0801000T0BBAEAD,Uromitexan 600mg tablets
0801000U0,Calcium levofolinate
0801000U0AA,Calcium levofolinate
0801000U0AAAAAA,Calcium levofolinate 25mg/2.5ml solution for injection vials
0801000U0AAABAB,Calcium levofolinate 175mg/17.5ml inj vials
0801000U0BB,Isovorin
0801000U0BBAAAA,Isovorin 25mg/2.5ml solution for injection vials
0801000U0BBABAB,Isovorin 175mg/17.5ml solution for injection vials
0801000V0,Amifostine
0801000V0AA,Amifostine
0801000V0AAAAAA,Amifostine 375mg powder for solution for infusion vials
0801000V0AAABAB,Amifostine 500mg powder for solution for infusion vials
0801000V0BB,Ethyol
0801000V0BBAAAA,Ethyol 375mg powder for solution for infusion vials
0801000V0BBABAB,Ethyol 500mg powder for solution for infusion vials
0801000W0,Palifermin
0801000W0AA,Palifermin
0801000W0AAAAAA,Palifermin 6.25mg powder for solution for injection vials
0801000W0BB,Kepivance
0801000W0BBAAAA,Kepivance 6.25mg powder for solution for injection vials
0801000X0,Disodium folinate
0801000X0AA,Disodium folinate
0801000X0AAAAAA,Disodium folinate 100mg/2ml solution for injection vials
0801000X0AAABAB,Disodium folinate 400mg/8ml solution for injection vials
0801000X0AAACAC,Disodium folinate 900mg/18ml solution for injection vials
0801000X0AAADAD,Disodium folinate 200mg/4ml solution for injection vials
0801000X0AAAEAE,Disodium folinate 50mg/1ml solution for injection vials
0801000X0BB,Sodiofolin
0801000X0BBAAAA,Sodiofolin 100mg/2ml solution for injection vials
0801000X0BBABAB,Sodiofolin 400mg/8ml solution for injection vials
0801000X0BBACAC,Sodiofolin 900mg/18ml solution for injection vials
0801000Y0,Dexrazoxane
0801000Y0AA,Dexrazoxane
0801000Y0AAAAAA,Dexrazoxane 500mg powder for solution for infusion vials
0801000Y0BB,Cardioxane
0801000Y0BBAAAA,Cardioxane 500mg powder for solution for infusion vials
0801000Z0,Levofolinic acid
0801000Z0AA,Levofolinic acid
0801000Z0AAAAAA,Levofolinic acid 50mg/1ml solution for injection vials
0801000Z0AAABAB,Levofolinic acid 200mg/4ml solution for injection vials
080101,Alkylating drugs
0801010,Alkylating drugs
0801010B0,Busulfan
0801010B0AA,Busulfan
0801010B0AAABAB,Busulfan 2mg tablets
