code,term
09,Nutrition and Blood
0901,Anaemias and some other blood disorders
090101,Iron-deficiency anaemias
0901011,Oral iron
090101100,Other oral iron preparations
090101100AA,Generic compound preparation BNF 0901011
090101100AAAVAV,Ferrous citrate 62mg tablets
090101100BB,Proprietary compound preparation BNF 0901011
090101100BBBMAV,Lamberts Iron 14mg tablets
090101100BBBNA0,Spatone Original 20ml sachets
090101100BBCDA0,Solgar Gentle Iron 20mg capsules
090101100BBCEA0,Spatone Apple with Vitamin C 25ml sachets
0901011C0,Compound iron preparations
0901011C0AA,Generic tablet
0901011C0AAACAC,Ferrous sulfate 325mg / Ascorbic acid 500mg MR tablets
0901011C0BD,Ferrograd C
0901011C0BDAAAC,Ferrograd C modified-release tablets
0901011C0BS,Ironorm (Compound)
0901011C0BSAAA0,Ironorm capsules
0901011C0BSABA0,Ironorm syrup
0901011F0,Ferrous fumarate
0901011F0AA,Ferrous fumarate
0901011F0AAACAC,Ferrous fumarate 140mg/5ml oral solution
0901011F0AAAEAE,Ferrous fumarate 210mg tablets
0901011F0AAAHAH,Ferrous fumarate 305mg capsules
0901011F0AAAIAI,Ferrous fumarate 140mg/5ml oral solution sugar free
0901011F0AAALAL,Ferrous fumarate 322mg tablets
0901011F0BB,Fersaday
0901011F0BBAAAL,Fersaday 322mg tablets
0901011F0BC,Fersamal
0901011F0BCAAAE,Fersamal 210mg tablets
0901011F0BCABAC,Fersamal 140mg/5ml syrup
0901011F0BD,Galfer
0901011F0BDAAAH,Galfer 305mg capsules
0901011F0BDABAI,Galfer 140mg/5ml syrup
0901011F0BF,FerroEss
0901011F0BFAAAE,FerroEss 210mg tablets
0901011F0BFABAL,FerroEss 322mg tablets
0901011F0BFACAH,FerroEss 305mg capsules
0901011F0BFADAI,FerroEss 140mg/5ml oral solution
0901011H0,Ferrous gluconate
0901011H0AA,Ferrous gluconate
0901011H0AAAAAA,Ferrous gluconate 300mg tablets
0901011H0AAAGAG,Ferrous gluconate 300mg/5ml oral solution
0901011H0AAAHAH,Ferrous gluconate 45mg/5ml oral solution
0901011H0AAAIAI,Ferrous gluconate 120mg/5ml oral solution
0901011H0AAAJAJ,Ferrous gluconate 130mg capsules
0901011H0BD,Sideromal
0901011H0BDAAAJ,Sideromal 130mg capsules
0901011K0,Ferrous glycine sulfate
0901011K0AA,Ferrous glycine sulfate
0901011K0AAABAB,Ferrous glycine sulfate 141mg/5ml oral solution
0901011K0BE,Plesmet
0901011K0BEAAAB,Plesmet 141mg/5ml syrup
0901011P0,Ferrous sulfate
0901011P0AA,Ferrous sulfate
0901011P0AAABAB,Ferrous sulfate heptahydrate 60mg/5ml soln paediatric
0901011P0AAACAC,Ferrous sulfate 200mg tablets
0901011P0AAAJAJ,Ferrous sulfate 150mg modified-release capsules
0901011P0AAAKAK,Ferrous sulfate 325mg modified-release tablets
0901011P0AAALAL,Ferrous sulfate 160mg modified-release tablets
0901011P0AABBBB,Ferrous sulfate 50mg/5ml oral solution
0901011P0AABCBC,Ferrous sulfate 200mg/5ml oral liquid
0901011P0AABDBD,Ferrous sulfate 100mg/5ml oral solution
0901011P0AABEBE,Ferrous sulfate 580mg/5ml oral liquid
0901011P0AABFBF,Ferrous sulfate 116mg/5ml oral solution
0901011P0AABGBG,Ferrous sulfate 140mg/5ml oral solution
0901011P0AABHBH,Ferrous sulfate 45mg/5ml oral solution
0901011P0AABIBI,Ferrous sulfate 25mg/5ml oral solution
0901011P0AABJBJ,Ferrous sulfate 180mg/5ml oral solution
0901011P0AABLBL,Ferrous sulfate 90mg/5ml oral solution
0901011P0AABNBN,Ferrous sulfate 120mg/5ml oral solution
