code,term
01,Gastro-Intestinal System
0101,Dyspepsia and gastro-oesophageal reflux disease
010101,Antacids and simeticone
0101010,Antacids and simeticone
010101000,Other antacid and simeticone preparations
010101000BB,Proprietary compound preparation BNF 0101010
010101000BBAJA0,Indigestion mixture
0101010A0,Alexitol sodium
0101010A0AA,Alexitol sodium
0101010A0AAAAAA,Alexitol sodium 360mg tablets
0101010A0BB,Actal
0101010A0BBAAAA,Actal 360mg tablets
0101010C0,Aluminium hydroxide
0101010C0AA,Aluminium hydroxide
0101010C0AAAAAA,Aluminium hydroxide 475mg capsules
0101010C0AAACAC,Aluminium hydroxide oral suspension sugar free
0101010C0AAAHAH,Aluminium hydroxide 500mg chewable tablets
0101010C0AAAMAM,Aluminium hydroxide 475mg/5ml oral suspension
0101010C0BB,Alu-Cap
0101010C0BBAAAA,Alu-Cap 475mg capsules
0101010C0BD,Aludrox (Gel/Liquid)
0101010C0BDABAC,Aludrox Liquid
0101010E0,Hydrotalcite
0101010E0AA,Hydrotalcite
0101010E0AAAAAA,Hydrotalcite 500mg/5ml oral suspension
0101010E0AAAEAE,Hydrotalcite 500mg/5ml oral suspension sugar free
0101010F0,Magnesium carbonate
0101010F0AA,Magnesium carbonate (Antacid)
0101010F0AAABAB,Magnesium carbonate mixture aromatic
0101010F0AAAUAU,Magnesium carbonate heavy 500mg capsules
0101010F0BB,Andrews (Magnesium carbonate)
0101010F0BBAAA0,Andrews Antacid chewable tablets
0101010F0BC,Magnesite
0101010F0BCAAAU,Magnesite 500mg capsules
0101010F0BD,MagnaCarb
0101010F0BDAAAU,MagnaCarb 500mg capsules
0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide)
0101010G0AA,Co-magaldrox
0101010G0AAABAB,Co-magaldrox 195mg/220mg/5ml oral suspension sugar free
0101010G0AAACAC,Co-magaldrox 300mg/600mg/5ml oral suspension sugar free
0101010G0AAADAD,Co-magaldrox 300mg/600mg tablets
0101010G0AAAGAG,Co-magaldrox 200mg/175mg/5ml oral suspension sugar free
0101010G0BB,Maalox
0101010G0BBABAB,Maalox oral suspension
0101010G0BBACAC,Maalox TC oral suspension
0101010G0BBADAD,Maalox TC tablets
0101010G0BBAHAG,Maalox 175mg/200mg/5ml oral suspension
0101010G0BC,Mucogel
0101010G0BCABAB,Mucogel oral suspension
0101010I0,Magnesium oxide
0101010I0AA,Magnesium oxide
0101010I0AAABAB,Magnesium oxide 100mg capsules
0101010I0AAACAC,Magnesium oxide 160mg capsules
0101010I0AAADAD,Magnesium oxide 200mg capsules
0101010I0AAAEAE,Magnesium oxide 100mg tablets
0101010I0AAAHAH,Magnesium oxide 400mg capsules
0101010I0AAAJAJ,Magnesium oxide 10mg capsules
0101010I0AAALAL,Magnesium oxide 160mg tablets
0101010I0AAAMAM,Magnesium oxide 250mg capsules
0101010I0AAATAT,Magnesium oxide 320mg capsules
0101010I0AAAUAU,Magnesium oxide 300mg capsules
0101010I0AAAVAV,Magnesium oxide 150mg/5ml oral suspension
0101010I0AAAXAX,Magnesium oxide 500mg tablets
0101010I0AAAYAY,Magnesium oxide 500mg capsules
0101010I0AABGBG,Magnesium oxide 160mg/5ml oral suspension
0101010I0AABIBI,Magnesium oxide 400mg tablets
0101010I0AABPBP,Magnesium oxide 133mg tablets
0101010I0AABQBQ,Magnesium oxide 375mg capsules
0101010I0AABRBR,Magnesium oxide 375mg tablets
0101010I0AABSBS,Magnesium oxide 250mg tablets
0101010I0AABTBT,Magnesium oxide 280mg capsules
0101010I0BC,Mag-Ox
0101010I0BCAABI,Mag-Ox 400 tablets
0101010I0BD,Magstar
0101010I0BDAAAC,Magstar 160mg capsules
0101010I0BDABAB,Magstar 100mg capsules
0101010I0BE,Oromag 160
0101010I0BEAAAC,Oromag 160 capsules
0101010I0BEABAL,Oromag 160 tablets
0101010I0BF,Magdose
0101010I0BFAAAE,Magdose 100mg tablets
0101010I0BFABAB,Magdose 100mg capsules
0101010I0BFACAL,Magdose 160mg tablets
0101010I0BFADAC,Magdose 160mg capsules
0101010I0BFAEAY,Magdose 500mg capsules
0101010I0BFAFBI,Magdose 400mg tablets
0101010I0BG,Oximag
0101010I0BGAAAB,Oximag 100mg capsules
0101010I0BH,MagnEss
0101010I0BHAAAB,MagnEss 100mg capsules
0101010I0BHABAC,MagnEss 160mg capsules
0101010I0BHACAY,MagnEss 500mg capsules
0101010I0BI,MagnaOx
0101010I0BIAAAC,MagnaOx 160mg capsules
0101010J0,Magnesium trisilicate
0101010J0AA,Magnesium trisilicate
0101010J0AAAAAA,Magnesium trisilicate oral suspension
0101010J0AAAGAG,Magnesium trisilicate compound powder
0101010J0AAAHAH,Magnesium trisilicate compound tablets
0101010L0,Aluminium and magnesium and activated simeticone
0101010L0AA,Generic suspension
0101010L0AAAAAA,Generic Asilone oral suspension sugar free
0101010L0AAAIAI,Generic Maalox Plus oral suspension sugar free
0101010L0BB,Asilone
0101010L0BBABAA,Asilone oral suspension
0101010L0BBADA0,Asilone Antacid chewable tablets
0101010L0BBAEAA,Asilone Antacid liquid
0101010L0BE,Maalox Plus
0101010L0BEAAAI,Maalox Plus oral suspension
0101010L0BEACA0,Maalox Plus chewable tablets
0101010L0BG,Boots Wind Relief
0101010L0BGACA0,Wind Relief chewable tablets
0101010L0BH,Actonorm
0101010L0BHAAA0,Actonorm gel
0101010L0BHABA0,Actonorm oral powder
0101010N0,Aluminium and magnesium and oxetacaine
0101010N0AA,Antacid and oxetacaine
0101010N0AAAAAA,Antacid & Oxetacaine oral suspension (old)
0101010N0AAABAB,Antacid and Oxetacaine oral suspension
0101010P0,Co-simalcite (Simeticone/hydrotalcite)
0101010P0AA,Co-simalcite
0101010P0AAAAAA,Co-simalcite 125mg/500mg/5ml oral suspension sugar free
0101010P0BB,Altacite Plus
0101010P0BBAAAA,Altacite Plus oral suspension
0101010Q0,Magnesium hydroxide
0101010Q0AA,Magnesium hydroxide (Antacid)
0101010Q0AAAAAA,Magnesium hydroxide 415mg/5ml oral suspension sugar free
0101010Q0AAABAB,Magnesium hydroxide 300mg chewable tablets
0101010Q0AAAGAG,Magnesium hydroxide 7.45-8.35% oral suspension BP
0101010Q0BC,Cream of Magnesia (Antacid)
0101010Q0BCAAAB,Cream of Magnesia 300mg chewable tablets
0101010Q0BD,Milk of Magnesia (Omega/SmithKline)
0101010Q0BDACAG,Phillips' Milk of Magnesia 415mg/5ml oral suspension
0101010Q0BDAFAB,Phillips' Milk of Magnesia 300mg chewable tablets
0101010R0,Simeticone
0101010R0AA,Simeticone
0101010R0AAAAAA,Simeticone 100mg capsules
0101010R0AAABAB,Simeticone 40mg/ml oral suspension sugar free
0101010R0AAADAD,Simeticone 42mg/5ml oral drops
0101010R0AAAEAE,Simeticone 125mg chewable tablets
0101010R0AAAGAG,Simeticone 66.7mg/ml oral drops sugar free
0101010R0AAAHAH,Simeticone 125mg capsules
0101010R0BB,Asilone Windcheater
0101010R0BBAAAA,Asilone Windcheaters 100mg capsules
0101010R0BC,Infacol
0101010R0BCAAAB,Infacol 40mg/ml oral suspension
0101010R0BE,Dentinox (Antacid)
0101010R0BEAAAD,Dentinox Infant colic drops
0101010R0BF,Wind-eze
0101010R0BFAAAE,Wind-eze 125mg chewable tablets
0101010R0BFABAH,Wind-eze 125mg gel caps
0101010R0BG,Woodward's Colic
0101010R0BGAAAG,Woodward's colic drops
0101010R0BH,WindSetlers
0101010R0BHAAAA,WindSetlers 100mg capsules
0101010S0,Calcium carbonate and simeticone
0101010S0AA,Calcium carbonate/simeticone
0101010S0AAAAAA,Calcium carbonate 800mg / Simeticone 125mg chewable tablets
0101010S0BB,Remegel Wind Relief
0101010S0BBAAAA,Remegel Wind Relief chewable tablets
0101010T0,Magnesium sulphate
0101010T0BB,Andrews (Magnesium sulphate)
0101010T0BBAAA0,Original Andrews Salts effervescent powder
0101010T0BC,Boots (Magnesium sulphate)
0101010T0BCAAA0,Boots Effervescent Health Salts
0101010U0,Sodium citrate
0101010U0AA,Sodium citrate (Antacid)
0101010U0AAAAAA,Sodium citrate 441.17mg/5ml oral solution
0101010U0BB,Sodium citrate 0.3M
0101010U0BBAAAA,Sodium citrate 0.3M oral solution
0101012,Sodium bicarbonate
0101012A0,Gripe mixtures
0101012A0AA,Generic gripe water
0101012A0AAAAAA,Sod bicarb 52.5mg/Terpeneless dill seed oil 2.3mg/5ml soln
0101012A0BB,Woodward's Gripe
0101012A0BBAAAA,Woodward's gripe water
0101012A0BE,Neo Gripe
0101012A0BEAAA0,Neo Baby Gripe mixture
0101012B0,Sodium bicarbonate
0101012B0AA,Sodium bicarbonate (Antacids)
0101012B0AAABAB,Sodium bicarbonate 420mg/5ml (1mol/ml) soln sugar free
0101012B0AAAEAE,Sodium bicarbonate compound orodispersible tablets
0101012B0AAALAL,Sodium bicarbonate mixture paediatric
0101012B0AAAPAP,Sodium bicarbonate powder
0101012B0AAATAT,Sodium bicarbonate 4.2g oral powder sachets
0101012B0AAAUAU,Sodium bicarbonate 420mg/5ml (1mmol/ml) oral liquid
0101012B0AAAVAV,Sodium bicarbonate 210mg/5ml oral solution
0101012B0AAAWAW,Sodium bicarbonate 1g/5ml oral suspension
0101012B0AAAYAY,Sodium bicarbonate 425mg/5ml oral liquid
0101012B0AAAZAZ,Sodium bicarbonate 333mg/5ml oral solution
0101012B0AABABA,Sodium bicarbonate 500mg/5ml oral liquid
0101012B0AABBBB,Sodium bicarbonate 293mg/5ml oral liquid
0101012B0AABDBD,Sodium bicarbonate 70mg/5ml oral liquid
0101012B0AABEBE,Sodium bicarbonate 290mg/5ml oral liquid
0101012B0AABFBF,Sodium bicarbonate 252mg/5ml oral liquid
0101012B0AABGBG,Sodium bicarbonate 168mg/5ml oral liquid
0101012B0AABHBH,Sodium bicarbonate 100mg/5ml oral solution
0101012B0AABIBI,Sodium bicarbonate 588mg/5ml oral liquid
0101012B0AABJBJ,Sodium bicarbonate 40mg/5ml oral liquid
0101012B0AABKBK,Sodium bicarbonate 292mg/5ml oral liquid
0101012B0AABLBL,Sodium bicarbonate 20mg/5ml oral liquid
0101012B0AABMBM,Sodium bicarbonate 336mg/5ml oral liquid
0101012B0AABNBN,Sodium bicarbonate 250mg/5ml oral liquid
0101012B0AABPBP,Sodium bicarbonate 10mg/5ml oral liquid
0101012B0AABQBQ,Sodium bicarbonate 45mg/5ml oral liquid
0101012B0AABRBR,Sodium bicarbonate 2.1g/5ml oral liquid
0101012B0AABSBS,Sodium bicarbonate 50mg/5ml oral suspension
0101012B0AABTBT,Sodium bicarbonate 300mg/5ml oral liquid
0101012B0AABUBU,Sodium bicarbonate 52.5mg/5ml oral liquid
0101012B0AABXBX,Sodium bicarbonate 50mg/5ml oral solution
0101012B0AABYBY,Sodium bicarbonate 50mg/5ml oral solution sugar free
0101012B0BC,SodiBic
0101012B0BCAAAB,SodiBic 420mg/5ml (1mmol/ml) oral solution
0101012B0BD,Bell's (Sodium bicarbonate)
0101012B0BDAABX,Bell's Baby Gripe mixture
0101012B0BE,Nurse Harveys Gripe
0101012B0BEAABX,Nurse Harveys Gripe mixture
0101012B0BF,S-Bicarb
0101012B0BFAAAU,S-Bicarb 420mg/5ml (1mmol/ml) oral solution
0101012B0BG,S-Bicarb SF
0101012B0BGAAAB,S-Bicarb SF 420mg/5ml (1mmol/ml) oral solution
0101012B0BH,Numark (Sodium bicarbonate)
