code,term
10,Musculoskeletal and Joint Diseases
1001,Drugs used in rheumatic diseases and gout
100101,Non-steroidal anti-inflammatory drugs
1001010,Non-steroidal anti-inflammatory drugs
100101040,Tenoxicam
100101040AA,Tenoxicam
100101040AAAAAA,Tenoxicam 20mg tablets
100101040AAADAD,Tenoxicam 20mg inj vials
100101040BB,Mobiflex
100101040BBAAAA,Mobiflex 20mg tablets
100101040BBADAD,Mobiflex 20mg inj vials
100101050,Acemetacin
100101050AA,Acemetacin
100101050AAAAAA,Acemetacin 60mg capsules
100101050BB,Emflex
100101050BBAAAA,Emflex 60mg capsules
100101070,Naproxen sodium
100101070AA,Naproxen sodium
100101070AAAAAA,Naproxen sodium 275mg tablets
100101070BB,Synflex
100101070BBAAAA,Synflex 275mg tablets
100101080,Aceclofenac
100101080AA,Aceclofenac
100101080AAAAAA,Aceclofenac 100mg tablets
100101080BB,Preservex
100101080BBAAAA,Preservex 100mg tablets
1001010AA,Meloxicam
1001010AAAA,Meloxicam
1001010AAAAAAAA,Meloxicam 7.5mg tablets
1001010AAAAABAB,Meloxicam 15mg tablets
1001010AAAAACAC,Meloxicam 15mg suppositories
1001010AAAAADAD,Meloxicam 7.5mg suppositories
1001010AAAAAGAG,Meloxicam 3.75mg/5ml oral suspension
1001010AAAAAHAH,Meloxicam 7.5mg/5ml oral suspension
1001010AAAAAIAI,Meloxicam 15mg/5ml oral suspension
1001010AAAAAJAJ,Meloxicam 15mg orodispersible tablets sugar free
1001010AAAAAKAK,Meloxicam 7.5mg orodispersible tablets sugar free
1001010AABB,Mobic
1001010AABBAAAA,Mobic 7.5mg tablets
1001010AABBABAB,Mobic 15mg tablets
1001010AABBACAC,Mobic 15mg suppositories
1001010AABBADAD,Mobic 7.5mg suppositories
1001010AD,Ibuprofen lysine
1001010ADAA,Ibuprofen lysine
1001010ADAAABAB,Ibuprofen lysine 200mg tablets
1001010ADAAACAC,Ibuprofen lysine 400mg tablets
1001010ADAAADAD,Ibuprofen lysine 400mg oral powder sachets
1001010ADBB,Nurofen Advance
1001010ADBBAAAB,Nurofen Advance 200mg tablets
1001010ADBC,Nurofen Migraine Pain
1001010ADBCABAC,Nurofen Maximum Strength Migraine Pain 684mg caplets
1001010ADBCACAB,Nurofen Migraine Pain 342mg tablets
1001010ADBD,Nurofen Tension Headache
1001010ADBDAAAB,Nurofen Tension Headache 342mg caplets
1001010ADBE,Nurofen Express (Ibuprofen Lysine)
1001010ADBEAAAB,Nurofen Express 342mg caplets
1001010ADBEABAC,Nurofen Express 684mg caplets
1001010ADBEACAD,Nurofen Express Soluble 400mg oral powder sachets
1001010ADBF,Feminax Express
1001010ADBFAAAB,Feminax Express 342mg tablets
1001010ADBG,Boots (Ibuprofen lysine)
1001010ADBGAAAB,Boots Rapid Ibuprofen lysine 342mg tablets
1001010AE,Dexketoprofen
1001010AEAA,Dexketoprofen
1001010AEAAAAAA,Dexketoprofen 25mg tablets
1001010AEBB,Keral
1001010AEBBAAAA,Keral 25mg tablets
1001010AF,Rofecoxib
1001010AFAA,Rofecoxib
1001010AFAAAAAA,Rofecoxib 12.5mg/5ml oral suspension sugar free
1001010AFAAABAB,Rofecoxib 25mg/5ml oral suspension sugar free
1001010AFAAACAC,Rofecoxib 12.5mg tablets
