code,term
11,Eye
1103,Anti-infective eye preparations
110301,Antibacterials
1103010,Antibacterials
110301020,Chlorhexidine gluconate
110301020AA,Chlorhexidine gluconate (Eye)
110301020AAABAB,Chlorhexidine gluconate 0.02% eye drops
110301020AAACAC,Chlorhexidine gluconate 0.02% eye drops preservative free
1103010AG,Levofloxacin
1103010AGAA,Levofloxacin (Eye)
1103010AGAAAAAA,Levofloxacin 5mg/ml eye drops
1103010AGAAABAB,Levofloxacin 5mg/ml eye dps 0.5ml ud preservative free
1103010AGAAACAC,Levofloxacin 5mg/ml eye dps 0.3ml ud preservative free
1103010AGBB,Oftaquix
1103010AGBBAAAA,Oftaquix 5mg/ml eye drops
1103010AGBBABAB,Oftaquix 5mg/ml eye drops 0.5ml unit dose
1103010AGBBACAC,Oftaquix 5mg/ml eye drops 0.3ml unit dose
1103010AI,Azithromycin
1103010AIAA,Azithromycin (Eye)
1103010AIAAAAAA,Azithromycin 15mg/g eye dps 0.25g ud preservative free
1103010AIBB,Azyter
1103010AIBBAAAA,Azyter 15mg/g eye drops 0.25g unit dose
1103010AJ,Polihexanide
1103010AJAA,Polihexanide (Eye)
1103010AJAAAAAA,Polihexanide 0.06% eye drops preservative free
1103010AJAAABAB,Polihexanide 0.02% eye drops
1103010AJAAACAC,Polihexanide 0.02% eye drops preservative free
1103010AK,Gatifloxacin
1103010AKAA,Gatifloxacin
1103010AKAAAAAA,Gatifloxacin 0.3% eye drops
1103010AL,Hydrocort sodiumphos
1103010ALAA,Hydrocortisone sodium phosphate (Eye)
1103010ALAAAAAA,Hydrocortisone sodium phos 3.35mg/ml eye dps 0.4ml ud
1103010ALBB,Softacort
1103010ALBBAAAA,Softacort 3.35mg/ml eye drops 0.4ml unit dose
1103010B0,Ciprofloxacin
1103010B0AA,Ciprofloxacin (Eye)
1103010B0AAAAAA,Ciprofloxacin 0.3% eye drops
1103010B0AAAEAE,Ciprofloxacin 0.2% eye drops preservative free
1103010B0AAAFAF,Ciprofloxacin 3mg/g eye ointment
1103010B0BB,Ciloxan
1103010B0BBAAAA,Ciloxan 0.3% eye drops
1103010B0BBABAF,Ciloxan 3mg/g eye ointment
1103010C0,Chloramphenicol
1103010C0AA,Chloramphenicol (Eye)
1103010C0AAAAAA,Chloramphenicol 0.5% eye drops
1103010C0AAADAD,Chloramphenicol 1% eye ointment
1103010C0AAAGAG,Chloramphenicol 0.5% eye dps 0.5ml ud preservative free
1103010C0AAAJAJ,Chloramphenicol 0.5% eye drops preservative free
1103010C0BB,Chloromycetin (Eye)
1103010C0BBAAAD,Chloromycetin 1% eye ointment
1103010C0BBABAA,Chloromycetin Redidrops 0.5%
1103010C0BC,Minims chloramphenicol
1103010C0BCAAAG,Minims chloramphenicol 0.5% eye drops 0.5ml unit dose
1103010C0BF,Optrex (Chloramphenicol)
1103010C0BFAAAA,Optrex Infected Eyes 0.5% eye drops
1103010C0BFABAD,Optrex Infected Eyes 1% eye ointment
1103010C0BFACAD,Optrex Bacterial Conjunctivitis 1% eye ointment
1103010C0BG,Boots (Chloramphenicol)
1103010C0BGAAAA,Boots Pharmacy Antibiotic 0.5% eye drops
1103010C0BH,Brochlor
1103010C0BHAAAA,Brochlor 0.5% eye drops
1103010C0BHABAD,Brochlor 1% eye ointment
1103010C0BI,Lloydspharmacy (Chloramphen)
1103010C0BIAAAA,Lloydspharmacy Chloramphenicol Antibiotic 0.5% eye drops
1103010C0BIABAD,Lloydspharmacy Chloramphenicol Antibiotic 1% eye ointment
1103010C0BJ,Golden eye (Antibiotic)
1103010C0BJAAAD,Golden Eye Antibiotic 1% eye ointment
1103010C0BJABAA,Golden Eye Antibiotic 0.5% eye drops
1103010C0BK,Numark (Chloramphenicol)
1103010C0BKAAAA,Chloramphenicol Antibiotic 0.5% eye drops
1103010C0BL,Tubilux Infected Eyes
1103010C0BLAAAA,Tubilux Infected Eyes 0.5% eye drops
1103010C0BM,Klorafect
1103010C0BMAAAD,Klorafect 1% eye ointment
1103010C0BN,Brolene antibiotic (Chloramphenicol)
1103010C0BNAAAA,Brolene Antibiotic 0.5% eye drops
1103010C0BP,Eykappo
1103010C0BPAAAJ,Eykappo 5mg/ml eye drops
1103010E0,Dibrompropamidine isetionate
1103010E0AA,Dibromprop (Eye)
1103010E0AAAAAA,Dibrompropamidine 0.15% eye ointment
1103010E0BB,Brolene (Eye ointment)
1103010E0BBAAAA,Brolene 0.15% eye ointment
1103010E0BC,Golden eye (Ointment)
1103010E0BCAAAA,Golden Eye 0.15% ointment
1103010F0,Framycetin sulfate
1103010F0AA,Framycetin sulfate (Eye)
1103010F0AAAAAA,Framycetin 0.5% eye drops
1103010F0AAABAB,Framycetin 0.5% eye ointment
1103010F0BC,Soframycin (Eye)
1103010F0BCAAAA,Soframycin 0.5% eye drops
1103010F0BCABAB,Soframycin 0.5% eye ointment
1103010G0,Gentamicin sulfate
1103010G0AA,Gentamicin sulfate (Ear/Eye)
1103010G0AAAAAA,Gentamicin 0.3% eye drops 0.5ml unit dose preservative free
1103010G0AAAFAF,Gentamicin 0.3% ear/eye drops
1103010G0AAAHAH,Gentamicin 1.5% eye drops
1103010G0AAAKAK,Gentamicin 1.5% eye drops preservative free
1103010G0AAAMAM,Gentamicin 1.9% eye drops preservative free
1103010G0BC,Garamycin (Ear/Eye)
1103010G0BCAAAF,Garamycin 0.3% eye/ear drops
1103010G0BD,Genticin (Ear/Eye)
1103010G0BDAAAF,Genticin 0.3% eye/ear drops
1103010G0BE,Minims gentamicin
1103010G0BEAAAA,Minims gentamicin sulfate 0.3% eye drops 0.5ml unit dose
1103010H0,Fusidic acid
1103010H0AA,Fusidic acid (Eye)
1103010H0AAAAAA,Fusidic acid 1% modified-release eye drops
1103010H0BB,Fucithalmic
1103010H0BBAAAA,Fucithalmic 1% eye drops
1103010I0,Erythromycin
1103010I0AA,Erythromycin (Eye)
1103010I0AAAAAA,Erythromycin 0.5% eye ointment
1103010I0BB,Oftalmolosa Cusi Eritromicina
1103010I0BBAAAA,Oftalmolosa Cusi Eritromicina 0.5% eye ointment
1103010I0BC,Erythromycin (Ophthalmic)
1103010I0BCAAAA,Erythromycin 0.5% Ophthalmic Ointment
1103010N0,Neomycin sulfate
1103010N0AA,Neomycin sulfate (Eye)
1103010N0AAAAAA,Neomycin 0.5% eye drops
1103010N0AAABAB,Neomycin 0.5% eye ointment
1103010N0AAAEAE,Neomycin 0.5% eye drops 0.5ml unit dose preservative free
1103010N0AAAHAH,Generic Neosporin eye drops
1103010N0BB,Minims neomycin sulfate
1103010N0BBAAAE,Minims neomycin 0.5% eye drops 0.5ml unit dose
1103010N0BF,Neosporin
1103010N0BFAAAH,Neosporin eye drops
1103010P0,Natamycin
1103010P0AA,Natamycin (Eye)
1103010P0AAAAAA,Natamycin 5% eye drops
1103010P0AAABAB,Natamycin 5% eye drops preservative free
1103010P0BB,Natacyn
1103010P0BBAAAA,Natacyn 5% ophthalmic suspension
1103010Q0,Polymyxin B sulphate
1103010Q0AA,Generic eye ointment
1103010Q0AAAAAA,"Polymyxin B 10,000units/g / Bacitracin 500units/g eye oint"
1103010Q0AAABAB,"Polymyxin B 10,000units/ml / Trimethoprim 1mg/ml eye drops"
1103010Q0AAACAC,"Polymyxin B 10,000units/g / Trimethoprim 5mg/g eye ointment"
1103010Q0BB,Polyfax (Eye)
1103010Q0BBAAAA,Polyfax ophthalmic ointment
1103010Q0BC,Polytrim
1103010Q0BCAAAB,Polytrim eye drops
1103010Q0BCABAC,Polytrim ophthalmic ointment
1103010S0,Propamidine isetionate
1103010S0AA,Propamidine Isetionate (Eye)
1103010S0AAAAAA,Propamidine 0.1% eye drops
1103010S0BB,Brolene (Eye drops)
1103010S0BBAAAA,Brolene 0.1% eye drops
1103010S0BC,Golden eye (Drops)
1103010S0BCAAAA,Golden Eye 0.1% drops
1103010T0,Cefuroxime sodium
1103010T0AA,Cefuroxime sod (Eye)
1103010T0AAAAAA,Cefuroxime 5% eye drops
1103010T0AAACAC,Cefuroxime 5% eye drops preservative free
