code,term
12,"Ear, Nose and Oropharynx"
1201,Drugs acting on the ear
120101,Otitis externa
1201010,Otitis externa
120101000,Other otitis external preparations
120101000BB,Proprietary compound preparation BNF 1201010
120101000BBABA0,Otocomb Otic ear ointment
120101000BBACA0,Kenacomb Otic ear ointment
120101020,Other aural preparations
120101020AA,Other aural preparations
120101020AAACAC,Choline salicylate 21.61% / Glycerol 12.62% ear drops
120101020AAAEAE,Choline salicylate 16% / Glycerol 12.62% ear drops
120101020BD,Audax
120101020BDAAAC,Audax ear drops
120101020BG,Earex Plus
120101020BGAAAE,Earex Plus ear drops
120101040,Dexamethasone sodium metasulphobenzoate
120101040AA,Dexamethasone sodium metasulphbenzoate
120101040AAAAAA,Generic Sofradex ear/eye drops
120101040BB,Sofradex (Drops)
120101040BBAAAA,Sofradex ear/eye drops
120101050,Dexamethasone
120101050AA,Dexamethasone (Ear)
120101050AAAAAA,Generic Sofradex ear/eye ointment
120101050AAABAB,Generic Otomize ear spray
120101050BB,Sofradex (Ointment)
120101050BBAAAA,Sofradex ear/eye ointment
120101050BC,Otomize
120101050BCAAAB,Otomize ear spray
1201010AB,Ofloxacin
1201010ABAA,Ofloxacin (Ear)
1201010ABAAAAAA,Ofloxacin 0.3% ear drops
1201010AC,Ciprofloxacin
1201010ACAA,Ciprofloxacin (Ear)
1201010ACAAAAAA,Ciprofloxacin 0.3% ear drops
1201010ACAAABAB,Ciprofloxacin 2mg/ml ear dps 0.25ml ud preservative free
1201010ACBB,Cetraxal (Ear)
1201010ACBBABAB,Cetraxal 2mg/ml ear drops 0.25ml unit dose
1201010AD,Colistimeth sodium
1201010ADAA,Colistimeth sodium (Ear)
1201010ADAAAAAA,Colistimethate 1% ear drops
1201010AE,Ciprofloxain/dexameth
1201010AEAA,Ciprofloxacin/dexamethasone
1201010AEAAAAAA,Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops
1201010AEBB,Cilodex
1201010AEBBAAAA,Cilodex ear drops
1201010AF,Ciprofloxacin/fluocinolone
1201010AFAA,Ciprofloxacin/fluocinolone
1201010AFAAAAAA,Ciprof 3mg/ml / Fluocin acet 0.25mg/ml ear dps 0.25ml ud PF
1201010AFBB,Cetraxal Plus
1201010AFBBAAAA,Cetraxal Plus 3mg/ml + 0.25mg/ml ear drops 0.25ml unit dose
1201010B0,Acetic acid
1201010B0AA,Acetic acid (Ear)
1201010B0AAAFAF,Acetic acid 2% ear spray
1201010B0AAAGAG,Acetic acid 5% ear spray
1201010B0BB,EarCalm
1201010B0BBAAAF,EarCalm 2% spray
1201010C0,Aluminium acetate
1201010C0AA,Aluminium acetate (Ear)
1201010C0AAAAAA,Aluminium acetate 8% ear drops
1201010C0AAABAB,Aluminium acetate 13% ear drops
1201010C0AAAKAK,Aluminium acetate 12% ear drops
1201010C0AABABA,Aluminium acetate 0.3% ear drops
1201010E0,Betamethasone sodium phosphate
1201010E0AA,Betamethasone sodium phosphate (Ear)
1201010E0AAABAB,Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops
1201010E0BB,Betnesol-N
1201010E0BBAAAB,Betnesol-N ear/eye/nose drops
1201010E0BC,Vistamethasone N
1201010E0BCAAAB,Vistamethasone N ear/eye/nose drops
1201010F0,Flumetasone pivalate
1201010F0AA,Flumetasone pivalate
1201010F0AAAAAA,Flumetasone 0.02% / Clioquinol 1% ear drops
1201010F0BB,Locorten-Vioform
1201010F0BBAAAA,Locorten Vioform ear drops
1201010G0,Hydrocortisone acetate
1201010G0AA,Hydrocortisone acetate (Ear)
1201010G0AAAAAA,Hydrocortisone 1.5% / Neomycin 0.5% ear/eye drops
1201010G0AAABAB,Hydrocortisone 1.5% / Neomycin 0.5% ear/eye ointment
1201010G0AAACAC,Gentamicin 0.3% / Hydrocortisone acetate 1% ear drops
1201010G0BB,Neo-Cortef (Ear/Eye)
1201010G0BBAAAA,Neo-Cortef ear/eye drops
1201010G0BBABAB,Neo-Cortef ear/eye ointment
1201010G0BC,Gentisone HC (Ear)
1201010G0BCAAAC,Gentisone HC ear drops
1201010H0,Chloramphenicol
1201010H0AA,Chloramphen (Ear)
1201010H0AAAAAA,Chloramphenicol 5% ear drops
1201010H0AAABAB,Chloramphenicol 10% ear drops
1201010Q0,Hydrocortisone
1201010Q0AA,Hydrocortisone (Ear)
1201010Q0AAACAC,Generic Otosporin ear drops
1201010Q0BC,Otosporin
1201010Q0BCAAAC,Otosporin ear drops
1201010S0,Hydrogen peroxide
1201010S0AA,Hydrogen peroxide (Ear)
1201010S0AAAAAA,Hydrogen peroxide 1.5% ear drops
1201010U0,Prednisolone sodium phosphate
1201010U0AA,Prednisolone sodium phosphate (Ear)
1201010U0AAAAAA,Prednisolone 0.5% / Neomycin 0.5% ear/eye drops
1201010U0BB,Predsol-N
1201010U0BBAAAA,Predsol-N ear/eye drops
1201010Z0,Triamcinolone acetonide
1201010Z0AA,Triamcinolone acetonide (Ear)
1201010Z0AAABAB,Neomycin 0.35% / Triamcinolone 0.1% ear drops
1201010Z0AAACAC,Generic Tri-Adcortyl Otic ointment
1201010Z0BC,Audicort
1201010Z0BCAAAB,Audicort ear drops
1201010Z0BD,Tri-Adcortyl (Ear)
1201010Z0BDAAAC,Tri-Adcortyl Otic ointment
120103,Removal of ear wax and other substances
1201030,Removal of ear wax and other substances
1201030F0,Docusate sodium
1201030F0AA,Docusate sodium (Ear)
1201030F0AAABAB,Docusate sodium 0.5% ear drops
1201030F0AAACAC,Docusate sodium 5% ear drops
1201030F0BC,Molcer
1201030F0BCAAAC,Molcer ear drops
1201030F0BE,Waxsol
1201030F0BEAAAB,Waxsol ear drops
1201030F0BH,Clear Ear
1201030F0BHAAAC,Clear Ear drops
1201030H0,Oils for the ear
1201030H0AA,Oils for the ear
1201030H0AAAAAA,Generic Cerumol ear drops
1201030H0AAAEAE,Generic Earex ear drops
1201030H0BB,Cerumol
1201030H0BBAAAA,Cerumol ear drops
1201030H0BBABAA,Cerumol olive oil ear drops
1201030H0BE,Earex
1201030H0BEAAAE,Earex ear drops
1201030H0BJ,Nowax
1201030H0BJAAA0,Nowax ear drops
1201030H0BL,Golden (Ear)
1201030H0BLAAA0,Golden ear drops
1201030N0,Urea hydrogen peroxide
1201030N0AA,Urea hydrogen peroxide
1201030N0AAAAAA,Urea hydrogen peroxide 5% ear drops
1201030N0BB,Exterol
1201030N0BBAAAA,Exterol 5% ear drops
1201030N0BC,Otex
1201030N0BCAAAA,Otex 5% ear drops
1202,Drugs acting on the nose
120201,Drugs used in nasal allergy
1202010,Drugs used in nasal allergy
1202010A0,Azelastine hydrochloride
1202010A0AA,Azelastine hydrochloride (Nasal)
1202010A0AAABAB,Azelastine 140micrograms/dose nasal spray
1202010A0BB,Rhinolast
1202010A0BBABAB,Rhinolast 140micrograms/dose nasal spray
1202010A0BC,Aller-eze (Nasal)
1202010A0BCAAAB,Aller-Eze 140micrograms/dose nasal spray
1202010C0,Beclometasone dipropionate
1202010C0AA,Beclometasone dipropionate (Nasal)
1202010C0AAAAAA,Beclometasone 50micrograms/dose nasal spray
1202010C0BB,Beconase
1202010C0BBABAA,Beconase Aqueous 50micrograms/dose nasal spray
1202010C0BBACAA,Beconase Hayfever Relief for Adults 50microg/dose nsl spy
1202010C0BBADAA,Beconase Hayfever 50micrograms/dose nasal spray
1202010C0BD,Nasobec
1202010C0BDAAAA,Nasobec Aqueous 50micrograms/dose nasal spray
1202010C0BDABAA,Nasobec Hayfever 50micrograms/dose nasal spray
1202010C0BE,Beclo-Aqua
1202010C0BEAAAA,Beclo-Aqua 50micrograms/dose nasal spray
1202010C0BI,Vivabec
1202010C0BIAAAA,Vivabec 50micrograms/dose nasal spray
1202010C0BJ,Care Hayfever Relief
1202010C0BJAAAA,Care Hayfever Relief 50micrograms/dose nasal spray
1202010C0BK,Pollenase (Nasal)
1202010C0BKABAA,Pollenase Hayfever 50micrograms/dose nasal spray
1202010C0BKACAA,Pollenase Hayfever Relief for Adults 50microg/dose nsl spy
1202010C0BL,Rino Clenil
1202010C0BLAAAA,Rino Clenil 50micrograms/dose nasal spray
1202010C0BN,Numark Hayfever Relief
1202010C0BNAAAA,Numark Hayfever Relief 50micrograms/dose nasal spray
1202010C0BNACAA,Beclometasone Hayfever Relief 50micrograms/dose nasal spray
1202010I0,Budesonide
1202010I0AA,Budesonide (Nasal)
1202010I0AAACAC,Budesonide 100micrograms/dose nasal spray
1202010I0AAAFAF,Budesonide 64micrograms/dose nasal spray
1202010I0BB,Rhinocort
1202010I0BBACAC,Rhinocort Aqua 100micrograms/dose nasal spray
1202010I0BBAEAF,Rhinocort Aqua 64 nasal spray
1202010I0BC,Budeflam Aquanase
1202010I0BCAAAC,Budeflam Aquanase 100micrograms/dose nasal spray
1202010I0BD,Aircort
1202010I0BDAAAC,Aircort 100micrograms/dose nasal spray
1202010I0BE,Benacort
1202010I0BEAAAF,Benacort 64micrograms nasal spray
1202010K0,Levocabastine
1202010K0AA,Levocabastine (Nasal)
1202010K0AAAAAA,Levocabastine 0.05% nasal spray
1202010K0BB,Livostin (Nasal)
1202010K0BBAAAA,Livostin 0.05% nasal spray
1202010K0BBABAA,Livostin Direct 0.05% nasal spray
1202010L0,Flunisolide
1202010L0AA,Flunisolide
1202010L0AAACAC,Flunisolide 25micrograms/dose nasal spray
1202010L0BB,Syntaris
1202010L0BBAAAC,Syntaris 0.025% nasal spray
1202010M0,Fluticasone propionate (Nasal)
1202010M0AA,Fluticasone propionate (Nasal)
1202010M0AAABAB,Fluticasone 400microgram/unit dose nasal drops
1202010M0AAACAC,Fluticasone propionate 50micrograms/dose nasal spray
1202010M0AAADAD,Fluticasone propionate 50micrograms/dose nasal spray(60dose)
1202010M0BB,Flixonase
1202010M0BBABAB,Flixonase Nasule 400microgram/unit dose nasal drops
1202010M0BBACAC,Flixonase 50micrograms/dose aqueous nasal spray
1202010M0BC,Nasofan
1202010M0BCAAAC,Nasofan 50micrograms/dose aqueous nasal spray
1202010M0BCABAC,Nasofan Allergy 50micrograms/dose nasal spray
1202010M0BD,Pirinase
1202010M0BDAAAC,Pirinase Hayfever 0.05% nasal spray
1202010M0BDABAC,Pirinase Hayfever Relief for Adults 0.05% nasal spray
1202010M0BE,Boots Pharmacy Hayfever and Allergy
1202010M0BEAAAC,Boots Pharmacy Hayfever and Allergy 50microg/dose nsl spy
1202010P0,Sodium cromoglicate
1202010P0AA,Sodium cromoglicate (Nasal)
1202010P0AAAFAF,Sodium cromoglicate 2% / Xylometazoline 0.025% nasal spray
1202010P0AAAGAG,Sodium cromoglicate 4% nasal spray
1202010P0AAAHAH,Sodium cromoglicate 2% nasal spray
1202010P0BB,Rynacrom
1202010P0BBAEAG,Rynacrom 4% nasal spray
1202010P0BBAFAF,Rynacrom Allergy nasal spray
1202010P0BE,Vividrin (Nasal)
1202010P0BEAAAH,Vividrin 2% nasal spray (Bausch & Lomb)
1202010P0BEABAH,Vividrin 2% nasal spray (Imported)
1202010T0,Triamcinolone acetonide
1202010T0AA,Triamcinolone acetonide (Nasal)
1202010T0AAAAAA,Triamcinolone 55micrograms/dose nasal spray
1202010T0BB,Nasacort
1202010T0BBAAAA,Nasacort 55micrograms/dose nasal spray
1202010T0BBABAA,Nasacort Allergy 55micrograms/dose nasal spray
1202010U0,Mometasone furoate
1202010U0AA,Mometasone furoate (Nasal)
1202010U0AAAAAA,Mometasone 50micrograms/dose nasal spray
1202010U0BB,Nasonex
1202010U0BBAAAA,Nasonex 50micrograms/dose nasal spray
1202010V0,Dexamethasone isonicotinate
1202010V0AA,Dexamethasone isonicotinate
1202010V0AAAAAA,Tramazoline 120microg / Dexamethasone 20microg/dose nsl spy
1202010V0BB,Dexa-Rhinaspray
1202010V0BBAAAA,Dexa-Rhinaspray Duo nasal spray
1202010W0,Fluticasone furoate
1202010W0AA,Fluticasone furoate
1202010W0AAAAAA,Fluticasone furoate 27.5micrograms/dose nasal spray
1202010W0BB,Avamys
1202010W0BBAAAA,Avamys 27.5micrograms/dose nasal spray
1202010Y0,Fluticasone propionate/azelastine hydrochloride (Nasal)
1202010Y0AA,Fluticasone propionate/azelastine hydrochloride
1202010Y0AAAAAA,Fluticasone propionate 50microg/Azelastine 137microg/dose
1202010Y0BB,Dymista
1202010Y0BBAAAA,Dymista 137micrograms/dose / 50micrograms/dose nasal spray
120202,Topical nasal decongestants
1202020,Topical nasal decongestants
120202000,Other topical nasal decongestant preparations
120202000AA,Generic compound preparation BNF 1202020
120202000AAANAN,Levomenthol 0.3% ointment
120202000BJ,Proprietary compound preparation BNF 1202020
120202000BJBAA0,Nostroline 0.3% ointment
120202000BJBDA0,Olbas inhaler
120202000BJBFAN,Happinose 0.3% ointment
120202000BJBGA0,Oleum rhinale nasal drops
1202020C0,Ephedrine hydrochloride
1202020C0AA,Ephedrine hydrochloride (Nasal)
1202020C0AAABAB,Ephedrine 0.25% nasal drops
1202020C0AAACAC,Ephedrine 0.5% nasal drops
1202020C0AAAEAE,Ephedrine 1% nasal drops
1202020C0AAALAL,Ephedrine 2% nasal drops
1202020F0,Glucose/glycerol
1202020F0AA,Glucose/glycerol
1202020F0AAAAAA,Glucose 25% in glycerol nasal drops
1202020F0AAAEAE,Glucose 20% in glycerol nasal drops
1202020F0AAAHAH,Glucose 50% in glycerol nasal drops
1202020G0,Oxymetazoline hydrochloride
1202020G0AA,Oxymetazoline
1202020G0AAAAAA,Oxymetazoline 0.05% nasal spray
1202020G0BB,Afrazine
1202020G0BBAAAA,Afrazine 0.05% nasal spray
1202020G0BC,Vicks (Nasal Spray)
1202020G0BCAAAA,Vicks Sinex Decongestant nasal spray
1202020G0BCABAA,Vicks Sinex Micromist nasal spray
1202020G0BE,Lemsip (Nasal Spray)
1202020G0BEAAAA,Lemsip Max Sinus All Night Decongestant 0.05% nasal spray
1202020G0BF,Boots (Nasal spray)
1202020G0BFAAAA,Boots Blocked Nose Relief 0.05% nasal spray
1202020G0BG,Galpharm (Nasal Spray)
1202020G0BGAAAA,Galpharm Nasal Decongestant 0.05% spray
1202020G0BGABAA,Galpharm Cold & Flu Decongestant 0.05% nasal spray
1202020G0BH,Galsud (Nasal Spray)
1202020G0BHAAAA,Galsud Decongestant 0.05% nasal spray
1202020G0BI,Care (Nasal Spray)
1202020G0BIAAAA,Care Decongestant 0.05% nasal spray
1202020G0BJ,Numark (Nasal Spray)
1202020G0BJAAAA,Numark Nasal Decongestant 0.05% spray
1202020I0,Ipratropium bromide
1202020I0AA,Ipratropium bromide (Nasal)
1202020I0AAABAB,Ipratropium bromide 21micrograms/dose nasal spray
1202020I0BB,Rinatec
1202020I0BBABAB,Rinatec 21micrograms/dose nasal spray
1202020K0,Phenylephrine hydrochloride
1202020K0AA,Phenylephrine hydrochloride (Nasal)
1202020K0AAAAAA,Phenylephrine 0.5% nasal drops
1202020K0AAABAB,Phenylephrine 0.5% nasal spray
1202020K0BC,Fenox
