code,term
1301,Management of skin conditions
130101,Management of skin conditions
1301010,Vehicles
130101000,Other vehicle and emulsifying agent preparations
130101000AA,Generic compound preparation BNF 1301010
130101000AAAGAG,Beeswax white solid
130101000AAAHAH,Beeswax yellow solid
130101000AAAPAP,Simple ointment
130101000AAARAR,Zinc compound paste
1301010D0,Cetomacrogol
1301010D0AA,Cetomacrogol
1301010D0AAAAAA,Cetomacrogol cream (Formula A)
1301010D0AAABAB,Cetomacrogol cream (Formula B)
1301010H0,Emulsifying wax
1301010H0AA,Emulsif wax (vehicle)
1301010H0AAAEAE,Emulsifying wax
1301010I0,Wool fat hydrous
1301010I0AA,Wool fat hydrous
1301010I0AAAAAA,Hydrous wool fat
1301010P0,Paraffin hard
1301010P0AA,Paraffin Hard
1301010P0AAAAAA,Paraffin hard solid
1301010P0AAABAB,Paraffin hard MP 43-46C solid
1301010P0AAACAC,Paraffin hard MP 45-50C solid
1301010V0,Wool alcohols
1301010V0AA,Wool alcohols
1301010V0AAABAB,Wool alcohols ointment
1301010W0,Wool fat
1301010W0AA,Wool fat
1301010W0AAAAAA,Wool fat solid
1301010W0AAABAB,Wool fat ointment
1301010W0AAACAC,Wool fat cream
1301010W0BB,Lansinoh
1301010W0BBAAAB,Lansinoh Brand Lanolin ointment
1301010W0BBABAC,Lansinoh HPA Lanolin cream
1301010W0BBACAC,Lansinoh HPA Lanolin nipple cream
1302,Emollient and barrier preparations
130201,Emollients
1302010,Emollients
130201000,Other emollient preparations
130201000AA,Generic compound emollients
130201000AAA1A1,Sodium pidolate 2.5% cream
130201000AAA3A3,White soft paraffin 95% / Liquid paraffin 5% ointment
130201000AAA4A4,Generic Diprobase cream
130201000AAA5A5,Generic Unguentum M cream
130201000AAA6A6,White soft paraffin 50% / Liquid paraffin 50% ointment
130201000AAA7A7,White soft paraffin 15% / Dimeticone 1% cream
130201000AAA8A8,Generic Aveeno cream
130201000AAALAL,Generic E45 cream
130201000AAAQAQ,Chamomile extract 10.5% ointment
130201000AAARAR,Generic Alcoderm cream
130201000AAASAS,Liquid paraffin 16% lotion
130201000AAATAT,Generic Vaseline Dermacare lotion
130201000AAAVAV,Generic Ultrabase cream
130201000AAAXAX,Zinc oxide 8.1% / Hydrous wool fat 4% cream
130201000AABWBW,Generic Dermol 500 lotion
130201000AABXBX,Glycerol 40% cream
130201000AACACA,Isopropyl myristate 15% / Liquid paraffin 15% gel
130201000AACBCB,Generic Aveeno lotion
130201000AACDCD,White soft paraffin 15% / Liquid paraffin light 6% cream
130201000AACECE,Lactic acid 5% / Sodium pidolate 2.5% lotion
130201000AACFCF,White soft paraffin 13.2% /Liquid paraffin light 10.5% cream
130201000AACGCG,Evening primrose oil 20% cream
130201000AACHCH,Generic AquaBar
130201000AACLCL,Glycerol 25% cream
130201000AACMCM,Propylene glycol 20% in Aqueous cream
130201000AACNCN,Propylene glycol 40% in Aqueous cream
130201000AACVCV,Propylene glycol 60% in Aqueous cream
130201000AACWCW,White soft paraffin 75% / Liquid paraffin 25% ointment
130201000AACXCX,Cetrimide 0.2% / Benzalkonium chloride 0.1% cream
130201000AACYCY,Evening primrose oil 0.87% cream
130201000AACZCZ,Glycerol 10% in Cetomacrogol cream (Formula A)
130201000AADCDC,Propylene glycol 40% in Generic Unguentum M cream
130201000AADDDD,White soft paraffin 62.5% / Liquid paraffin 37.5% ointment
130201000AADFDF,Propylene glycol 50% in Aqueous cream
130201000AADHDH,Coconut oil 50% in White soft paraffin
130201000AADIDI,Propylene glycol 25% in Aqueous cream
130201000AADJDJ,Propylene glycol 40% in Clobetasone 0.05% cream
130201000AADKDK,Propylene glycol 30% in Generic Unguentum M cream
130201000AADLDL,White soft paraffin 15% / Liquid paraffin 6% cream
130201000AADMDM,Emulsifying ointment 50% / Liquid paraffin 50% ointment
130201000AADNDN,Propylene glycol 20% / Lactic acid 3% in Gen Unguentum M crm
130201000AADPDP,Propylene glycol 20% / Lactic acid 5% in Gen Unguentum M crm
130201000BB,Proprietary compound emollients
130201000BBAEA3,Diprobase ointment
130201000BBAHAV,Ultrabase cream
130201000BBAIA0,Lipobase cream
130201000BBAPA0,Imuderm cream
130201000BBASAR,Alcoderm cream
130201000BBATAS,Alcoderm lotion
130201000BBAUA0,E45 lotion
130201000BBAZA0,Chymol emollient balm ointment
130201000BBBAAL,E45 cream
130201000BBBKA0,Decubal Clinic cream
130201000BBBSAX,Hewletts cream
130201000BBBTA0,Kamillosan baby cream
130201000BBBYAQ,Kamillosan Chamomile 10.5% ointment
130201000BBCBAS,Keri Therapeutic lotion
130201000BBCFA0,Lotil cream
130201000BBCJA8,Aveeno cream
130201000BBDPBX,Neutrogena Norwegian Formula 40% dermatological cream
130201000BBDRA0,CCS Foot Care cream
130201000BBGDA7,Vaseline Dermacare cream
130201000BBGHAT,Vaseline Dermacare lotion
130201000BBHFA0,Comfrey and Vitamin E balm
130201000BBHQA0,E45 Lipcare
130201000BBICBW,Dermol 500 lotion
130201000BBILA6,Pure Health Liquid Paraffin/White Soft Paraffin
130201000BBINA5,Unguentum M cream
130201000BBIUA0,Allergenics emollient cream
130201000BBJCA0,Allergenics Skin lotion
130201000BBJEA6,The 50:50 Ointment
130201000BBJGCA,Doublebase gel
130201000BBJMCB,Aveeno lotion
130201000BBJNA0,Boots Baby Sensitive Skin moisturising cream
130201000BBJPCD,Oilatum cream
130201000BBJRCE,LactiCare lotion
130201000BBJVA0,Allergenics Intensive Care ointment
130201000BBJXA0,Oilatum lotion
130201000BBJYA0,Eucerin Dry Skin Relief soothing spray
130201000BBKACG,Linola Gamma 20% cream
130201000BBKBA0,Eumobase cream
130201000BBKDA0,Aveeno Skin Relief moisturising lotion with shea butter
130201000BBKFA0,Dermol cream
130201000BBKICH,AquaBar
130201000BBKKCD,Oilatum Junior cream
130201000BBKQCL,Eumocream 25% cream
130201000BBKUA0,Vivaderm Ultra cream
130201000BBKVA0,Vivaderm Daily cream
130201000BBKWCX,Neo Baby cream
130201000BBKXA0,Aveeno Intense Relief hand cream
130201000BBLACA,Doublebase Dayleve gel
130201000BBLBA0,Skin Salvation ointment
130201000BBLCA0,E45 Intense Recovery lotion
130201000BBLDA0,Aveeno moisturising creamy oil
130201000BBLFA0,Eucerin Anti-Redness Calming Night cream
130201000BBLGA0,Eucerin Anti-Redness Neutralising Day fluid
130201000BBLHA0,E45 Touchably Smooth lotion
130201000BBLIA0,E45 Nourish & Restore lotion
130201000BBLJA0,Aveeno Daily moisturising lotion
130201000BBLKA0,Aveeno Daily moisturising lotion with lavender
130201000BBLLA0,Aveeno Skin Relief moisturising lotion with menthol
130201000BBLMA0,Elave body oil
130201000BBLNA0,Elave lotion
130201000BBLPA0,Eucerin AntiREDNESS concealing day cream SPF25
130201000BBLQA0,Generic Eucerin AntiREDNESS soothing care gel
130201000BBLRA0,Skin Salvation daily moisturising cream
130201000BBLSA0,Skin Salvation intensive hand cream
130201000BBLTA0,Generic Medline Remedy Moisturising Barrier cream
130201000BBLUA0,Generic Medline Remedy Moisturising Barrier cream 2g sachets
130201000BBLVA6,Bell's Emollient 50 ointment
130201000BBLWA0,Cuderm moisturising lotion
130201000BBLXA0,Cuderm moisturising cream
130201000BBLYA0,Cuderm moisturising hand cream
130201000BBLZA0,Lotil foot cream
130201000BBMADM,Emulfin ointment
130201000BBMBDL,Emcrem cream
130201000BBMCA0,Eucerin AntiREDNESS soothing care cream
130201000BBMDA0,A-Derma Exomega emollient cream
130201000BBMEA0,Childs Farm unfragranced moisturising cream
130201000BBMFCA,Doublebase emollient shower gel
130201000BBMGCA,Doublebase emollient wash gel
1302010E0,Dexpanthenol
1302010E0AA,Dexpanthenol (Topical)
1302010E0AAACAC,Dexpanthenol 5% ointment
1302010E0BB,Bepanthen (Topical)
1302010E0BBACAC,Bepanthen Nappy Care 5% ointment
1302010F0,Emulsifying wax
1302010F0AA,Emulsifying wax (Emollient)
1302010F0AAACAC,Buffered cream
1302010F0AAADAD,Emulsifying ointment
1302010F0AAANAN,Coconut oil 75% in Emulsifying ointment
1302010F0AAAPAP,Emulsifying ointment 50% / White soft paraffin 50%
1302010F0AAAQAQ,Coconut oil 25% in Emulsifying ointment
1302010H0,Fuller's earth
1302010H0AA,Fuller's earth (Cream)
1302010H0AAAAAA,Kaolin heavy 20.76% / Zinc oxide 4.5% cream
1302010K0,Lactic acid
1302010K0AA,Lactic acid (Topical)
1302010K0AAAFAF,Lactic acid 10% in Aqueous cream
1302010K0AAAGAG,Lactic acid 5% in Wool alcohols ointment
1302010K0AAAHAH,Lactic acid 5% in Aqueous cream
1302010M0,Paraffin soft yellow
1302010M0AA,Paraffin soft yellow
1302010M0AAAAAA,Yellow soft paraffin solid
1302010N0,Paraffin soft white
1302010N0AA,Paraffin Soft white
1302010N0AAAAAA,White soft paraffin solid
1302010N0AAACAC,White soft paraffin 10% spray
1302010N0BD,Vaseline
1302010N0BDAAAA,Vaseline Pure Petroleum jelly
1302010N0BF,Dermamist
1302010N0BFAAAC,Dermamist 10% spray
1302010N0BH,Ovelle Petroleum jelly
1302010N0BHAAAA,Ovelle Petroleum jelly white
1302010U0,Urea
1302010U0AA,Urea (Emollient)
1302010U0AAAEAE,Urea 10% / Lactic acid 5% cream
1302010U0AAAFAF,Urea 10% cream
1302010U0AAAKAK,Urea 5% cream
1302010U0AAALAL,Urea 3% lotion
1302010U0AAAMAM,Urea 10% lotion
1302010U0AAANAN,Urea 5% / Lauromacrogols 3% cream
1302010U0AAASAS,Urea 5% shampoo
1302010U0AAATAT,Urea 20% in Aqueous cream
1302010U0AAAVAV,Urea 25% ointment
1302010U0AAAWAW,Urea 5% scalp application
1302010U0AAAXAX,Urea 25% in Aqueous cream
1302010U0AAAYAY,Urea 20% / Salicylic acid 30% in White soft paraffin
1302010U0AAAZAZ,Urea 10% in Generic Unguentum M cream
1302010U0AABABA,Urea 50% in White soft paraffin
1302010U0AABBBB,Urea 40% in Generic Unguentum M cream
1302010U0BC,Calmurid (Topical)
1302010U0BCAAAE,Calmurid cream
1302010U0BD,Nutraplus
1302010U0BDAAAF,Nutraplus 10% cream
1302010U0BE,St. James Balm
1302010U0BEAAA0,St. James' Balm ointment
1302010U0BG,Eucerin
1302010U0BGAAAK,Eucerin Dry Skin Relief 5% cream
1302010U0BGABAL,Eucerin Dry Skin Relief 3% lotion with urea
1302010U0BGACAM,Eucerin Intensive 10% lotion
1302010U0BGADAF,Eucerin Intensive 10% cream
1302010U0BGAEAK,Eucerin Dry Skin Relief 5% face cream
1302010U0BGAGAS,Eucerin DermoCapillaire Calming urea shampoo
1302010U0BGAHAK,Eucerin Intensive 5% hand cream
1302010U0BGAIAF,Eucerin Intensive 10% foot cream
1302010U0BGAJAW,Eucerin DermoCapillaire Calming urea scalp treatment
1302010U0BGAKA0,Eucerin UreaRepair Plus Replenishing 5% body wash
1302010U0BH,Balneum Plus
1302010U0BHAAAN,Balneum Plus cream
1302010U0BJ,E45 Itch Relief
1302010U0BJAAAN,E45 Itch Relief cream
1302010W0,Vitamin E
1302010W0AA,Vitamin E (Topical)
1302010W0AAADAD,Vitamin E 50units/g cream
1302010W0BB,Vita-E (Topical)
1302010W0BBAAAD,Vita-E 50units/g cream
1302010Y0,Wool alcohols
1302010Y0AA,Hydrous
1302010Y0AAAAAA,Hydrous ointment
1302010Z0,Chlohexidine gluconate (Emollient)
1302010Z0AA,Chlorhexidine gluconate (Emollient)
1302010Z0AAAAAA,Chlorhexidine gluconate 1% cream (old)
1302010Z0BB,Eczmol
1302010Z0BBAAAA,Eczmol 1% cream
1302011,Emollient bath and shower preparations
130201100,Emollient bath and shower preparations
130201100AA,Generic compound preparation BNF 1302011
130201100AAAAAA,Soya oil 84.75% bath oil
130201100AAAEAE,Generic E45 emollient bath oil
130201100AAAGAG,Soya oil 82.95% / Lauromacrogols 15% bath oil
130201100AAAHAH,Generic Aveeno bath oil
130201100AAAKAK,Soya oil 83.45% / Lauromacrogols 15% bath oil
130201100AAALAL,Glycerol 10% wash
130201100AAAMAM,Aqueous cream
130201100AAANAN,Generic Dermol 200 shower emollient
130201100BB,Proprietary compound preparation BNF 1302011
130201100BBAAAE,E45 emollient bath oil
130201100BBADAH,Aveeno bath oil
130201100BBAEAA,Balneum 84.75% bath oil
130201100BBAGAG,Balneum Plus bath oil
130201100BBAKAA,Balneum bath treatment
130201100BBALAG,Balneum Plus bath treatment
130201100BBAQA0,Dermol 600 bath emollient
130201100BBARA0,Aveeno bath additive colloidal powder 50g sachets
130201100BBATA0,Aveeno baby bath additive colloidal powder 15g sachets
130201100BBAVAK,Zerozole bath oil
130201100BBAXA0,Skin Salvation bath oil
130201100BBAYAL,QV 10% wash
130201100BBAZAN,Dermol 200 shower emollient
130201100BBBAAN,Dermol Wash cutaneous emulsion
130201100BBBBA0,Elave body wash
130201100BBBCA0,Elave shampoo
130201100BBBDAM,Ovelle aqueous cream
1302011L0,Light liquid paraffin
1302011L0AA,Light liquid paraffin
1302011L0AAAAAA,Liquid paraffin light 37.8%/Isopropyl myristate 13% bath add
1302011L0AAABAB,Liquid paraffin light 69.6% / Almond oil 30% bath oil
1302011L0AAACAC,Liq paraffin light 46% / Isopropyl myristate 39% bath emol
1302011L0AAADAD,Generic Oilatum Plus bath additive
1302011L0AAAEAE,Liquid paraffin light 82.8% bath additive
1302011L0AAAGAG,Generic E45 emollient wash cream
1302011L0AAAHAH,Liquid paraffin light 70% gel
1302011L0AAAIAI,Liquid paraffin light 63.4% bath additive
1302011L0BD,Diprobath
1302011L0BDAAAC,Diprobath bath emollient
1302011L0BE,Oilatum Plus
1302011L0BEAAAD,Oilatum Plus bath additive
1302011L0BEABAD,Oilatum Junior Flare-Up bath additive
1302011L0BF,Cetraben
1302011L0BFAAAE,Cetraben emollient 82.8% bath additive
1302011L0BG,Infaderm
1302011L0BGAAAB,Infaderm Therapeutic Oil
1302011L0BH,Imuderm
1302011L0BHAAAB,Imuderm Therapeutic Oil
1302011L0BJ,E45
1302011L0BJAAAG,E45 emollient wash cream
1302011L0BK,Oilatum
1302011L0BKAAAH,Oilatum gel
1302011L0BKACAH,Oilatum shower gel fragrance free
1302011L0BKADAI,Oilatum Bath Formula
1302011L0BKAEAI,Oilatum Emollient
1302011L0BKAFAI,Oilatum Junior bath additive
1302011L0BL,Zerolatum (Light liquid paraffin)
1302011L0BLAAAD,Zerolatum Plus bath additive
1302011M0,Liquid paraffin
1302011M0AA,Liquid paraffin
1302011M0AAAAAA,Liquid paraffin 91.7% / Lanolin 3% bath oil
1302011M0AAAEAE,Generic Emulsiderm emollient
1302011M0AAAGAG,Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil
1302011M0AAAIAI,Liquid paraffin 65% bath additive
1302011M0BB,Emulsiderm
1302011M0BBAAAE,Emulsiderm emollient
1302011M0BF,Alpha Keri
1302011M0BFAAAA,Alpha Keri bath oil
1302011M0BI,Dermalo
1302011M0BIAAAG,Dermalo bath emollient
1302011M0BJ,Ashbourne (Emollient)
1302011M0BJAAAG,Ashbourne Emollient Medicinal bath oil
1302011M0BK,Doublebase
1302011M0BKAAAI,Doublebase emollient bath additive
130202,Barrier preparations
1302020,Barrier preparations
130202000,Other barrier preparations
130202000AA,Generic compound preparation BNF 1302020
130202000AAAZAZ,Titanium ointment
130202000BB,Proprietary compound preparation BNF 1302020
130202000BBADAZ,Metanium Nappy Rash ointment
130202000BBASA0,Savlon barrier cream
130202000BBBAA0,Derma Shield skin protector mousse
1302020B0,Benzalkonium chloride
1302020B0AA,Benzalkonium chloride (Cream)
1302020B0AAABAB,Cetrimide 0.2% / Benzalkonium chloride 0.01% cream
1302020B0BB,Drapolene
1302020B0BBAAAB,Drapolene cream
1302020D0,Dimeticone (Barrier)
1302020D0AA,Dimeticone (Barrier)
1302020D0AAAAAA,Dimeticone 10% cream
1302020D0AAACAC,Dimeticone 22% / Benzalkonium chloride 0.1% cream
1302020D0AAADAD,Generic Vasogen cream
1302020D0AAAEAE,Dimeticone 10% / Cetrimide 0.3% cream
1302020D0AAAGAG,Zinc oxide 12.5% / Dimeticone 1.04% spray
1302020D0AAAHAH,Dimeticone 10% / Cetrimide 0.5% cream
1302020D0BB,Conotrane
1302020D0BBAAAC,Conotrane cream
1302020D0BC,Vasogen
1302020D0BCAAAD,Vasogen cream
1302020D0BE,Siopel
1302020D0BEAAAE,Siopel cream
1302020D0BF,Cymex (Dimeticone)
1302020D0BFAAA0,Cymex cream
1302020D0BG,Sprilon
1302020D0BGABAG,Sprilon aerosol spray
1302020D0BI,Boots (Dimeticone)
1302020D0BIAAAH,Boots Antiseptic Nappy Rash cream
1302020D0BIABA0,Boots Lip & Cold Sore cream
1302020E0,Zinc oxide
