dmd_type,dmd_id,dmd_name,bnf_code
VMP,11957911000001100,Tuberculin purified protein derivative (RT 23) 100 tuberculin units/ml solution for injection 1.5ml vials,140300000AAADAD
AMP,17994211000001108,Tuberculin purified protein derivative (RT 23) 100 tuberculin units/ml solution for injection 1.5ml vials,140300000AAADAD
VMP,11958011000001103,Tuberculin purified protein derivative (RT 23) 20 tuberculin units/ml solution for injection 1.5ml vials,140300000AAAEAE
AMP,17994411000001107,Tuberculin purified protein derivative (RT 23) 20 tuberculin units/ml solution for injection 1.5ml vials,140300000AAAEAE
AMP,11954211000001102,Tuberculin PPD RT 23 SSI 100 tuberculin units/ml solution for injection 1.5ml vials,140300000BKBGAD
AMP,11953911000001109,Tuberculin PPD RT 23 SSI 20 tuberculin units/ml solution for injection 1.5ml vials,140300000BKBHAE
VMP,406325005,"Hepatitis A vaccine (inactivated, adsorbed) suspension for injection 1ml pre-filled syringes",140400030AAACAC
VMP,36055611000001107,"Hepatitis A vaccine (inactivated, adsorbed) suspension for injection 0.5ml pre-filled syringes",140400030AAADAD
VMP,7641111000001107,"Hepatitis A vaccine (inactivated, adsorbed) emulsion for injection 0.5ml pre-filled syringes",140400030AAAIAI
VMP,4672111000001109,"Hepatitis A vaccine (inactivated, adsorbed) suspension for injection 0.5ml vials",140400030AAAJAJ
VMP,31002511000001108,"Hepatitis A vaccine (inactivated, adsorbed) suspension for injection 1ml vials",140400030AAAKAK
AMP,3006311000001105,Havrix Monodose vaccine suspension for injection 1ml pre-filled syringes,140400030BBACAC
AMP,3003611000001106,Havrix Junior Monodose vaccine suspension for injection 0.5ml pre-filled syringes,140400030BBADAD
AMP,30997311000001102,Havrix Monodose vaccine suspension for injection 1ml vials,140400030BBAEAK
AMP,30997511000001108,Havrix Junior Monodose vaccine suspension for injection 0.5ml vials,140400030BBAFAJ
AMP,3004111000001101,Avaxim vaccine suspension for injection 0.5ml pre-filled syringes,140400030BCAAAD
AMP,3005111000001102,VAQTA Paediatric vaccine suspension for injection 0.5ml pre-filled syringes,140400030BDAAAD
AMP,21732911000001105,VAQTA Adult vaccine suspension for injection 1ml pre-filled syringes,140400030BDABAC
AMP,3006711000001109,VAQTA vaccine suspension for injection 1ml pre-filled syringes,140400030BDABAC
AMP,4643211000001105,VAQTA Paediatric vaccine suspension for injection 0.5ml vials,140400030BDACAJ
AMP,33209211000001101,VAQTA Adult vaccine suspension for injection 1ml vials,140400030BDADAK
AMP,7639411000001100,Epaxal vaccine emulsion for injection 0.5ml pre-filled syringes,140400030BEAAAI
VMP,4639911000001104,Varicella vaccine (live) powder and solvent for solution for injection 0.5ml vials,140400050AAABAB
VMP,7990711000001108,Varicella vaccine (live) powder and solvent for suspension for injection 0.5ml vials,140400050AAACAC
AMP,4622911000001106,Varilrix vaccine powder and solvent for solution for injection 0.5ml vials,140400050BBAAAB
AMP,7995511000001108,Varivax vaccine powder and solvent for suspension for injection 0.5ml vials,140400050BCAAAC
VMP,4702411000001104,Diphtheria / Tetanus / Pertussis (acellular component) vaccine (adsorbed) injection pre-filled syringes / Haemophilus type b conjugate vaccine injection vials,140400060AAADAD
AMP,4689111000001105,Act-HIB DTP vaccine injection pack,140400060BBACAD
AMP,4695011000001106,Infanrix-Hib vaccine injection pack,140400060BCAAAD
VMP,36055511000001108,Hepatitis A (inactivated) / Hepatitis B (rDNA) vaccine (adsorbed) suspension for injection 1ml pre-filled syringes,140400070AAAAAA
VMP,36055411000001109,Hepatitis A (inactivated) / Hepatitis B (rDNA) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes,140400070AAABAB
VMP,19448411000001104,Hepatitis A (inactivated) / Hepatitis B (rDNA) vaccine (adsorbed) suspension for injection 1ml vials,140400070AAACAC
AMP,2993111000001103,Twinrix Adult vaccine suspension for injection 1ml pre-filled syringes,140400070BBAAAA
AMP,2997511000001102,Twinrix Paediatric vaccine suspension for injection 0.5ml pre-filled syringes,140400070BBABAB
AMP,19379811000001101,Twinrix Adult vaccine suspension for Injection 1ml vials,140400070BBACAC
AMP,12951811000001104,Ambirix vaccine suspension for injection 1ml pre-filled syringes,140400070BCAAAA
VMP,10246611000001100,Tick-borne encephalitis vaccine (inactivated) suspension for injection 0.25ml pre-filled syringes,1404000AAAAAAAA
VMP,10246811000001101,Tick-borne encephalitis vaccine (inactivated) suspension for injection 0.5ml pre-filled syringes,1404000AAAAABAB
AMP,5006811000001109,FSME-Immun vaccine suspension for injection 0.5ml pre-filled syringes,1404000AABBAAAB
AMP,10230411000001101,FSME-Immun Junior vaccine suspension for injection 0.25ml pre-filled syringes,1404000AABBABAA
AMP,13507411000001103,TicoVac vaccine suspension for injection 0.5ml pre-filled syringes,1404000AABDAAAB
AMP,14603111000001107,TicoVac Junior vaccine suspension for injection 0.25ml pre-filled syringes,1404000AABDABAA
VMP,11236711000001100,Hepatitis A HM175 strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes,1404000ADAAAAAA
VMP,11236611000001109,Hepatitis A GBM strain (adsorbed) / Typhoid polysaccharide vaccine suspension for injection 1ml pre-filled syringes,1404000ADAAABAB
AMP,11235311000001109,Hepatyrix vaccine suspension for injection 1ml pre-filled syringes,1404000ADBBAAAA
AMP,11235911000001105,ViATIM vaccine suspension for injection 1ml pre-filled syringes,1404000ADBCAAAB
