code,term
14,Immunological Products and Vaccines
1403,Diagnostic vaccines
140300,Diagnostic vaccines
1403000,Diagnostic vaccines
140300000,Other diagnostic vaccine preparations
140300000AA,Generic compound preparation BNF 1403000
140300000AAADAD,Tuberculin PPD (RT 23) 100 tuberculin units/ml inj 1.5ml
140300000AAAEAE,Tuberculin PPD (RT 23) 20 tuberculin units/ml inj 1.5ml
140300000BK,Proprietary compound preparation BNF 1403000
140300000BKBGAD,Tuberculin PPD RT 23 SSI 100 tuberculin units/ml inj 1.5ml
140300000BKBHAE,Tuberculin PPD RT 23 SSI 20 tuberculin units/ml inj 1.5ml
1404,Vaccines and antisera
140400,Vaccines and antisera
1404000,Vaccines and antisera
140400030,Hepatitis A
140400030AA,Hepatitis A
140400030AAACAC,"Hepatitis A vaccine (inactivated, adsorbed) inj 1ml pfs"
140400030AAADAD,"Hepatitis A vaccine (inactivated, adsorbed) inj 0.5ml pfs"
140400030AAAIAI,"Hepatitis A vacc (inactivated, adsorbed) inj 0.5ml pfs"
140400030AAAJAJ,"Hepatitis A vacc (inactivated, adsorbed) inj 0.5ml vials"
140400030AAAKAK,"Hepatitis A vacc (inactivated, adsorbed) inj 1ml vials"
140400030BB,Havrix
140400030BBACAC,Havrix Monodose vacc inj 1ml pre-filled syringes
140400030BBADAD,Havrix Junior Monodose vacc inj 0.5ml pre-filled syringes
140400030BBAEAK,Havrix Monodose vaccine suspension for injection 1ml vials
140400030BBAFAJ,Havrix Junior Monodose vacc inj 0.5ml vials
140400030BC,Avaxim
140400030BCAAAD,Avaxim vacc inj 0.5ml pre-filled syringes
140400030BD,VAQTA
140400030BDAAAD,VAQTA Paediatric vacc inj 0.5ml pre-filled syringes
140400030BDABAC,VAQTA Adult vacc inj 1ml pre-filled syringes
140400030BDACAJ,VAQTA Paediatric vacc inj 0.5ml vials
140400030BDADAK,VAQTA Adult vaccine suspension for injection 1ml vials
140400030BE,Epaxal
140400030BEAAAI,Epaxal vacc inj 0.5ml pre-filled syringes
140400050,Varicella vaccine live
140400050AA,Varicella Vaccine
140400050AAABAB,Varicella vacc (live) inj 0.5ml vials
140400050AAACAC,Varicella vacc live inj 0.5ml vials
140400050BB,Varilrix
140400050BBAAAB,Varilrix vacc inj 0.5ml vials
140400050BC,Varivax
140400050BCAAAC,Varivax vacc inj 0.5ml vials
140400060,"Haemophilus influenzae/diptheria,tetanus,pertussis vaccine"
140400060AA,"Haemophilius influenzae B/diphtheria,tetanus,pertussis"
140400060AAADAD,DTaP vacc (ads) inj pfs/Hib conj vacc inj vials
140400060BB,Act-HIB DPT
140400060BBACAD,Act-HIB DTP vaccine injection pack
140400060BC,Infanrix-Hib
140400060BCAAAD,Infanrix-Hib vaccine injection pack
140400070,Hepatitis A/hepatitis B
140400070AA,Hepatitis A/B
140400070AAAAAA,Hep A (inact)/Hep B (rDNA) vacc (ads) inj 1ml pfs
140400070AAABAB,Hep A (inact)/Hep B (rDNA) vacc (ads) inj 0.5ml pfs
140400070AAACAC,Hep A (inact)/Hep B (rDNA) vacc (ads) inj 1ml vials
140400070BB,Twinrix
140400070BBAAAA,Twinrix Adult vacc inj 1ml pre-filled syringes
140400070BBABAB,Twinrix Paediatric vacc inj 0.5ml pre-filled syringes
140400070BBACAC,Twinrix Adult vaccine suspension for Injection 1ml vials
140400070BC,Ambirix
140400070BCAAAA,Ambirix vacc inj 1ml pre-filled syringes
1404000AA,Tick-borne encephalitis vaccine
1404000AAAA,Tick-borne encephalitis vaccine
1404000AAAAAAAA,Tick-borne encephalitis vaccine (inactivated) inj 0.25ml pfs
1404000AAAAABAB,Tick-borne encephalitis vaccine (inactivated) inj 0.5ml pfs
1404000AABB,FSME-Immun
1404000AABBAAAB,FSME-Immun vacc inj 0.5ml pre-filled syringes
1404000AABBABAA,FSME-Immun Junior vacc inj 0.25ml pre-filled syringes
1404000AABD,TicoVac
1404000AABDAAAB,TicoVac vacc inj 0.5ml pre-filled syringes
1404000AABDABAA,TicoVac Junior vacc inj 0.25ml pre-filled syringes
1404000AD,Hepatitis A/typhoid vaccine
1404000ADAA,Hepatitis A/typhoid
1404000ADAAAAAA,Hep A HM175 strain (ads)/Typhoid polysacch vacc inj 1ml pfs
1404000ADAAABAB,Hep A GBM strain (ads)/Typhoid polysacch vacc inj 1ml pfs
1404000ADBB,Hepatyrix
1404000ADBBAAAA,Hepatyrix vacc inj 1ml pre-filled syringes
1404000ADBC,ViATIM
1404000ADBCAAAB,ViATIM vacc inj 1ml pre-filled syringes
1404000AF,Haemophilus influenzae B/meningococcal C
1404000AFAA,Haemophilius influenzae B/meningococcal C
1404000AFAAAAAA,Hib/Meningococcal C conj vacc inj 0.5ml vials
1404000AFBB,Menitorix
1404000AFBBAAAA,Menitorix vacc inj 0.5ml vials
1404000AG,Rotavirus
1404000AGAA,Rotavirus
1404000AGAAAAAA,Rotavirus vaccine live oral suspension 1ml vials
1404000AGAAABAB,Rotavirus vacc live susp 1.5ml pre-filled syringes
1404000AGAAACAC,Rotavirus vaccine live oral suspension 1.5ml tube
1404000AGBB,Rotarix
1404000AGBBAAAA,Rotarix vacc live pdr and solvent for susp 1ml vials
1404000AGBBABAB,Rotarix vacc live susp 1.5ml pre-filled syringes
1404000AGBBACAC,Rotarix vaccine live oral suspension 1.5ml tube
1404000AH,"Human papillomavirus (Type 6,11,16,18)"
1404000AHAA,"Human papillomavirus (Type 6,11,16,18)"
1404000AHAAAAAA,"Hum papillomavirus (type 6, 11, 16, 18) vacc (ads) inj 0.5ml"
1404000AHBB,Gardasil
1404000AHBBAAAA,Gardasil vacc inj 0.5ml pre-filled syringes
1404000AI,"Human papillomavirus (Type 16,18)"
1404000AIAA,"Human papillomavirus (Type 16,18)"
1404000AIAAAAAA,"Hum papillomavirus (type 16, 18) vacc (ads) inj 0.5ml pfs"
1404000AIBB,Cervarix
1404000AIBBAAAA,Cervarix vacc inj 0.5ml pre-filled syringes
1404000AJ,"Influenza H1N1(Split viron, inactivated, adjuvanted)"
1404000AJAA,"Influenza H1N1(Split viron, inactivated, adjuvanted)"
1404000AJAAAAAA,Influenza H1N1 vaccine inj
1404000AJBB,Pandemrix
1404000AJBBAAAA,Pandemrix vaccine emulsion and suspension for inj
1404000AK,"Influenza H1N1(Whole viron, vero, inactivated)"
1404000AKAA,"Influenza H1N1(Whole viron, vero, inactivated)"
1404000AKAAAAAA,"Influenza H1N1 vaccine (WV Vero cell derived, inact) inj"
1404000AKBB,Celvapan
1404000AKBBAAAA,"Celvapan (H1N1) vacc (WV, Vero cell derived,inactivated) inj"
1404000AL,Shingles (H/Z)
1404000ALAA,Shingles (H/Z)
1404000ALAAAAAA,Shingles (Herpes Zoster) vacc (live) inj 0.65ml pfs
1404000ALAAABAB,Shingles (Herpes Zoster) adjuvanted rcmb vacc inj 0.5ml
1404000ALBB,Zostavax
1404000ALBBAAAA,Zostavax vacc inj 0.65ml pfs
1404000ALBC,Shingrix
1404000ALBCAAAB,Shingrix (Herpes Zoster) adjuvanted rcmb vacc inj 0.5ml
1404000AM,"Humpapvirus(Type 6,11,16,18,31,33,45,52,58)"
1404000AMAA,"Human papillomavirus (Type 6,11,16,18,31,33,45,52,58)"
1404000AMAAAAAA,Human papillomavirus vaccine (adsorbed) inj 0.5ml pfs
1404000AMBB,Gardasil 9
1404000AMBBAAAA,Gardasil 9 vacc inj 0.5ml pre-filled syringes
1404000AN,Meningococcal A + C vaccine
1404000ANAA,Meningococcal A and C vaccine
1404000ANAAAAAA,Meningococcal polysaccharide A and C vacc inj vials
1404000ANBB,Mengivac
1404000ANBBAAAA,Mengivac A + C vacc inj vials
1404000ANBC,AC Vax
1404000ANBCAAAA,AC Vax vacc inj vials
1404000AP,Meningococcal C vaccine
1404000APAA,Meningococcal C vaccine
1404000APAAAAAA,Meningococcal C conjugate vacc susp for inj 0.5ml vials
1404000APAAABAB,Meningococcal C conjugate vacc pdr & solv inj 0.5ml vials
1404000APAAACAC,Meningococcal C conjugate vacc inj 0.5ml pre-filled syringes
1404000APBB,Meningitec
1404000APBBAAAA,Meningitec vaccine suspension for injection 0.5ml vials
1404000APBBABAC,Meningitec vacc inj 0.5ml pre-filled syringes
1404000APBC,Menjugate
1404000APBCAAAB,Menjugate vacc inj 0.5ml vials
1404000APBD,NeisVac-C
1404000APBDAAAC,NeisVac-C vacc inj 0.5ml pre-filled syringes
1404000AQ,Meningococcal B vaccine
1404000AQAA,Meningococcal B vaccine
1404000AQAAAAAA,Generic Bexsero vaccine inj 0.5ml pre-filled syringes
1404000AQBB,Bexsero
1404000AQBBAAAA,Bexsero vacc inj 0.5ml pre-filled syringes
1404000AQBC,Trumenba
1404000AQBCAAA0,Trumenba vacc inj 0.5ml pre-filled syringes
1404000AR,"Japanese encephalitis vaccine (Inactivated,adsorbed)"
1404000ARAA,"Japanese encephalitis vaccine (Inactivated,adsorbed)"
1404000ARAAAAAA,"Japanese encephalitis vacc (inact, adsorbed) inj 0.5ml pfs"
1404000ARBB,Ixiaro
1404000ARBBAAAA,Ixiaro vacc inj 0.5ml pre-filled syringes
1404000AS,Japanese encephalitis vaccine (Imported)
1404000ASAA,Japanese encephalitis vaccine (Imported)
1404000ASAAAAAA,Japanese encephalitis vacc inj 10ml vials
1404000ASAAABAB,Japanese encephalitis vacc inj 1ml vials
1404000ASAAACAC,Japanese encephalitis vacc inj 20ml vials
1404000ASBB,Japanese Encephalitis GCVC vaccine (Imported)
1404000ASBBAAAB,Japanese encephalitis GCVC vacc inj 1ml vials
1404000ASBBABAA,Japanese encephalitis GCVC vacc inj 10ml vials
1404000ASBBACAC,Japanese encephalitis GCVC vacc inj 20ml vials
1404000C0,Bacillus calmette-guerin (B.C.G.)
1404000C0AA,Bacillus Calmette-Guerin (B.C.G.)
1404000C0AAAAAA,Bacillus Calmette-Guerin vacc inj vials
1404000C0AAAFAF,Bacillus Calmette-Guerin vacc inj ampoules
1404000C0AAAGAG,Bacillus Calmette-Guerin vaccine inj 1ml vials
1404000C0BC,InterVax BCG
1404000C0BCAAAF,InterVax BCG vacc inj ampoules
1404000C0BD,BCG AJV
1404000C0BDAAAG,BCG Vaccine AJV inj 1ml vials
1404000C0BE,Vaccine Other Related Products (B.C.G.)
1404000C0BEAAA0,Diluted Sauton AJV solvent inj 1ml vials
1404000E0,Cholera
1404000E0AA,Cholera (Vaccine)
1404000E0AAAJAJ,Cholera vaccine oral suspension and vehicle
1404000E0BF,Dukoral
1404000E0BFAAAJ,Dukoral cholera vaccine oral suspension
1404000F0,Diphtheria
1404000F0AA,Diphtheria
1404000F0AAARAR,DT/Vac/Ads(Adult) inj 0.5ml pfs
1404000F0AAAVAV,DTaP vacc (ads) inj 0.5ml pfs
1404000F0AAAWAW,Diphtheria/Tetanus/IPV vacc (ads) inj 0.5ml pfs
1404000F0AAAXAX,dTAP/IPV inj 0.5ml pfs
1404000F0AAAYAY,DTaP/IPV/Hib conj vacc (ads) inj 0.5ml pfs
1404000F0AAAZAZ,dTaP / Hep B (SA) / IP/ HbC vaccine (adsorbed) inj 0.5ml pfs
1404000F0AABABA,DTaP/IPV/Hib conj vacc (ads) inj 0.5ml vials
1404000F0AABBBB,DTaP/IPV vacc (ads) inj 0.5ml pfs
1404000F0BJ,Diftavax
1404000F0BJAAAR,Diftavax vacc inj 0.5ml pre-filled syringes
1404000F0BK,"Infanrix (Diphtheria, tetanus, acellular pertus)"
1404000F0BKAAAV,Infanrix vacc inj 0.5ml pre-filled syringes
1404000F0BL,Revaxis
1404000F0BLAAAW,Revaxis vacc inj 0.5ml pre-filled syringes
1404000F0BM,Repevax
1404000F0BMAAAX,Repevax vacc inj 0.5ml pre-filled syringes
1404000F0BN,Infanrix-IPV
1404000F0BNAABB,Infanrix-IPV vacc inj 0.5ml pre-filled syringes
1404000F0BNABBB,Infanrix-IPV + Hib vacc inj 0.5ml pre-filled syringes
