code,term
15,Anaesthesia
1501,General anaesthesia
150101,Intravenous anaesthetics
1501010,Intravenous anaesthetics
1501010C0,Etomidate
1501010C0AA,Etomidate
1501010C0AAAAAA,Etomidate 20mg/10ml solution for injection ampoules
1501010C0BB,Hypnomidate
1501010C0BBAAAA,Hypnomidate 20mg/10ml solution for injection ampoules
1501010F0,Ketamine
1501010F0AA,Ketamine (Anaesthesia)
1501010F0AAAAAA,Ketamine 200mg/20ml solution for injection vials
1501010F0AAABAB,Ketamine 500mg/10ml solution for injection vials
1501010F0AAADAD,Ketamine 1g/10ml solution for injection vials
1501010F0AAAEAE,Ketamine 50mg/5ml solution for injection ampoules
1501010F0AAAFAF,Ketamine 100mg/2ml solution for injection ampoules
1501010F0AAAGAG,Ketamine 25mg/5ml solution for injection ampoules
1501010F0AAAHAH,Ketamine 50mg/2ml solution for injection ampoules
1501010F0BB,Ketalar
1501010F0BBAAAB,Ketalar 500mg/10ml solution for injection vials
1501010F0BBACAA,Ketalar 200mg/20ml solution for injection vials
1501010F0BBADAD,Ketalar 1g/10ml solution for injection vials
1501010F0BC,Ketamin
1501010F0BCAAAE,Ketamin 10 Curamed 50mg/5ml solution for injection ampoules
1501010F0BCABAF,Ketamin 100mg/2ml solution for injection ampoules
1501010L0,Propofol
1501010L0AA,Propofol
1501010L0AAAAAA,Propofol 200mg/20ml emulsion for injection ampoules
1501010L0AAABAB,Propofol 500mg/50ml emulsion for infusion vials
1501010L0AAACAC,Propofol 1g/100ml emulsion for infusion vials
1501010L0AAADAD,Propofol 1g/50ml emulsion for infusion vials
1501010L0AAAEAE,Propofol 200mg/20ml emulsion for injection vials
1501010L0AAAFAF,Propofol 500mg/50ml inf pre-filled syringes
1501010L0AAAGAG,Propofol 1g/50ml emulsion for infusion pre-filled syringes
1501010L0AAAHAH,Propofol 500mg/50ml emulsion for infusion ampoules
1501010L0BB,Diprivan
1501010L0BBAAAA,Diprivan 1% emulsion for injection 20ml ampoules
1501010L0BBABAD,Diprivan 2% emulsion for infusion 50ml vials
1501010L0BBACAB,Diprivan 1% emulsion for infusion 50ml vials
1501010L0BBADAC,Diprivan 1% emulsion for infusion 100ml vials
1501010L0BBAEAF,Diprivan 1% emulsion for infusion 50ml pre-filled syringes
1501010L0BBAFAG,Diprivan 2% emulsion for infusion 50ml pre-filled syringes
1501010L0BC,Propofol-Lipuro
1501010L0BCAAAH,Propofol-Lipuro 1% emulsion for infusion 50ml ampoules
1501010L0BCABAB,Propofol-Lipuro 1% emulsion for infusion 50ml vials
1501010L0BCACAD,Propofol-Lipuro 2% emulsion for infusion 50ml vials
1501010L0BCADAC,Propofol-Lipuro 1% emulsion for infusion 100ml vials
1501010L0BCAEAA,Propofol-Lipuro 1% emulsion for injection 20ml ampoules
1501010L0BD,Propoven
1501010L0BDAAAC,Propoven 1% emulsion for infusion 100ml vials
1501010L0BDABAB,Propoven 1% emulsion for infusion 50ml vials
1501010L0BDACAD,Propoven 2% emulsion for infusion 50ml vials
1501010L0BDADAA,Propoven 1% emulsion for injection 20ml ampoules
1501010P0,Thiopental sodium
1501010P0AA,Thiopental sodium
1501010P0AAAGAG,Thiopental 500mg powder for solution for injection vials
1501010Q0,Remifentanil hydrochloride
1501010Q0AA,Remifentanil hydrochloride
1501010Q0AAAAAA,Remifentanil 1mg powder for solution for injection vials
1501010Q0AAABAB,Remifentanil 2mg powder for solution for injection vials
1501010Q0AAACAC,Remifentanil 5mg powder for solution for injection vials
1501010Q0BB,Ultiva
1501010Q0BBAAAA,Ultiva 1mg powder for solution for injection vials
1501010Q0BBABAB,Ultiva 2mg powder for solution for injection vials
1501010Q0BBACAC,Ultiva 5mg powder for solution for injection vials
1501010R0,Esketamine hydrochloride
1501010R0AA,Esketamine hydrochloride
1501010R0AAAAAA,Esketamine hydrochloride 25mg/5ml inj ampoules
1501010R0AAABAB,Esketamine hydrochloride 50mg/2ml inj ampoules
1501010R0BB,Ketanest S
1501010R0BBAAAA,Ketanest S 25mg/5ml solution for injection ampoules
1501010R0BBABAB,Ketanest S 50mg/2ml solution for injection ampoules
1501010R0BC,Vesierra
1501010R0BCAAAB,Vesierra 50mg/2ml solution for injection ampoules
150102,Inhalational anaesthetics
1501020,Inhalational anaesthetics
1501020R0,Nitrous oxide
1501020R0AA,Nitrous oxide/oxygen
1501020R0AAAHAH,Nitrous oxide 50% / Oxygen 50%
1501020R0BB,Nitrous oxide
1501020R0BBAAA0,Nitrous oxide cylinders size D
1501020R0BBABA0,Nitrous oxide cylinders size G
1501020R0BBACA0,Nitrous oxide cylinders size F
1501020R0BBADA0,Nitrous oxide cylinders size E
1501020R0BC,Entonox
1501020R0BCAAAH,Entonox cylinders size D
1501020R0BCABA0,Entonox cylinders size F
1501020R0BCACA0,Entonox cylinders size G
1501020R0BCAEA0,Entonox cylinders size HX
1501020R0BCAFA0,Entonox cylinders size ZD
1501020R0BCAGA0,Entonox cylinders size ZX
1501020R0BCAHA0,Entonox cylinders size EA
1501020R0BCAIA0,Entonox cylinders size ED
1501020R0BCAJA0,Entonox cylinders size EX
1501020V0,Sevoflurane
1501020V0AA,Sevoflurane
1501020V0AAAAAA,Sevoflurane volatile liquid
150103,Antimuscarinic drugs
1501030,Antimuscarinic drugs
1501030D0,Atropine sulfate
1501030D0AA,Atropine sulfate (Parenteral)
