dmd_type,dmd_id,dmd_name,bnf_code
VMP,20419011000001106,Ethanol 100% solution for injection 5ml ampoules,190100000AAAAAA
AMP,20499911000001106,Ethanol 100% solution for injection 5ml ampoules,190100000AAAAAA
AMP,20372411000001107,Ethanol 100% solution for injection 5ml ampoules,190100000AAAAAA
VMP,15648311000001102,Ethanol 100% solution for injection 2ml ampoules,190100000AAABAB
AMP,18498811000001107,Ethanol 100% solution for injection 2ml ampoules,190100000AAABAB
AMP,20971111000001101,Ethanol 100% solution for injection 2ml ampoules,190100000AAABAB
AMP,15645311000001106,Ethanol 100% solution for injection 2ml ampoules,190100000AAABAB
VMP,3409411000001101,Ethanol 90% including duty,190100000AAADAD
AMP,1311000001105,Ethanol 90% including duty,190100000AAADAD
AMP,12778411000001100,Ethanol 90% including duty,190100000AAADAD
AMP,187711000001107,Ethanol 90% including duty,190100000AAADAD
AMP,8995211000001103,Ethanol 90% including duty,190100000AAADAD
VMP,10606511000001109,Ethanol 70% duty paid,190100000AAAIAI
AMP,10571611000001102,Ethanol 70% duty paid,190100000AAAIAI
VMP,5044311000001104,Aconitum napellus 30c homeopathic pillules,190203000BBAAA0
VMP,5113711000001103,Aconitum napellus 30c homeopathic tablets,190203000BBAAA0
VMP,5044511000001105,Aconitum napellus 6c homeopathic pillules,190203000BBAAA0
VMP,5113811000001106,Aconitum napellus 6c homeopathic tablets,190203000BBAAA0
VMP,5113911000001101,Actaea racemosa 30c homeopathic tablets,190203000BBAAA0
VMP,5114011000001103,Actaea racemosa 6c homeopathic tablets,190203000BBAAA0
VMP,17645411000001103,Agaricus muscarius 10M homeopathic granules,190203000BBAAA0
VMP,10352011000001101,Allium cepa 30c homeopathic tablets,190203000BBAAA0
VMP,5114111000001102,Allium cepa 6c homeopathic tablets,190203000BBAAA0
VMP,5035311000001101,Antimony 400micrograms/100g ointment,190203000BBAAA0
VMP,5035411000001108,Apatite 6x / Cucurbita 3x homeopathic tablets,190203000BBAAA0
VMP,5114311000001100,Apis mellifica 30c homeopathic pillules,190203000BBAAA0
VMP,5114411000001107,Apis mellifica 30c homeopathic tablets,190203000BBAAA0
VMP,5251011000001108,Apis mellifica 3x / Belladonna 3x drops,190203000BBAAA0
VMP,5114511000001106,Apis mellifica 6c homeopathic pillules,190203000BBAAA0
VMP,5114611000001105,Apis mellifica 6c homeopathic tablets,190203000BBAAA0
VMP,19436911000001109,Apple mistletoe 100micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19437011000001108,Apple mistletoe 100micrograms/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19437111000001109,Apple mistletoe 100micrograms/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19437211000001103,Apple mistletoe 100micrograms/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19437311000001106,Apple mistletoe 100micrograms/ml oral drops,190203000BBAAA0
VMP,19437411000001104,Apple mistletoe 100nanograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19437511000001100,Apple mistletoe 100nanograms/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19437611000001101,Apple mistletoe 100nanograms/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19437711000001105,Apple mistletoe 100nanograms/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19437811000001102,Apple mistletoe 10mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,19437911000001107,Apple mistletoe 10mg/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19438011000001109,Apple mistletoe 10mg/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19438111000001105,Apple mistletoe 10mg/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19438211000001104,Apple mistletoe 10mg/ml oral drops,190203000BBAAA0
VMP,19438311000001107,Apple mistletoe 10micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19438411000001100,Apple mistletoe 10micrograms/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19438511000001101,Apple mistletoe 10micrograms/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19438611000001102,Apple mistletoe 10micrograms/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19438711000001106,Apple mistletoe 10micrograms/ml oral drops,190203000BBAAA0
VMP,19438811000001103,Apple mistletoe 1mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,19438911000001108,Apple mistletoe 1mg/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19439011000001104,Apple mistletoe 1mg/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19439111000001103,Apple mistletoe 1mg/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19439211000001109,Apple mistletoe 1mg/ml oral drops,190203000BBAAA0
VMP,19439311000001101,Apple mistletoe 1micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19439411000001108,Apple mistletoe 1micrograms/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19439511000001107,Apple mistletoe 1micrograms/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19439611000001106,Apple mistletoe 1micrograms/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19439711000001102,Apple mistletoe 200micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19439811000001105,Apple mistletoe 20mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,19439911000001100,Apple mistletoe 20mg/1ml with Copper carbonate solution for injection ampoules,190203000BBAAA0
VMP,19440011000001106,Apple mistletoe 20mg/1ml with Mercuric sulfate solution for injection ampoules,190203000BBAAA0
VMP,19440111000001107,Apple mistletoe 20mg/1ml with Silver carbonate solution for injection ampoules,190203000BBAAA0
VMP,19440211000001101,Apple mistletoe 20mg/ml oral drops,190203000BBAAA0
VMP,19440311000001109,Apple mistletoe 20micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19440411000001102,Apple mistletoe 2mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,19440511000001103,Apple mistletoe 30mg/ml oral drops,190203000BBAAA0
VMP,19899211000001108,Apple mistletoe 5mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,5114711000001101,Argentum nitricum 30c homeopathic tablets,190203000BBAAA0
VMP,5049211000001106,Argentum nitricum 6c homeopathic pillules,190203000BBAAA0
VMP,5114811000001109,Argentum nitricum 6c homeopathic tablets,190203000BBAAA0
VMP,5251111000001109,Arnica / Urtica urens lotion,190203000BBAAA0
VMP,5037211000001101,Arnica / Urtica urens ointment,190203000BBAAA0
VMP,5037411000001102,Arnica montana 0.9% cream,190203000BBAAA0
VMP,5114911000001104,Arnica montana 30c homeopathic pillules,190203000BBAAA0
VMP,5115011000001104,Arnica montana 30c homeopathic tablets,190203000BBAAA0
VMP,8011311000001104,Arnica montana 5% ointment,190203000BBAAA0
VMP,13647611000001100,Arnica montana 6c homeopathic pillules,190203000BBAAA0
VMP,5115111000001103,Arnica montana 6c homeopathic tablets,190203000BBAAA0
VMP,5037311000001109,Arnica montana 6x homeopathic tablets,190203000BBAAA0
VMP,5045311000001100,Arsenicum album 30c homeopathic pillules,190203000BBAAA0
VMP,5115211000001109,Arsenicum album 30c homeopathic tablets,190203000BBAAA0
VMP,5045411000001107,Arsenicum album 6c homeopathic pillules,190203000BBAAA0
VMP,5115311000001101,Arsenicum album 6c homeopathic tablets,190203000BBAAA0
VMP,19440611000001104,Ash mistletoe 200micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19440711000001108,Ash mistletoe 20mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,19440811000001100,Ash mistletoe 20micrograms/1ml solution for injection ampoules,190203000BBAAA0
VMP,19440911000001105,Ash mistletoe 2mg/1ml solution for injection ampoules,190203000BBAAA0
VMP,5115411000001108,Belladonna 30c homeopathic pillules,190203000BBAAA0
VMP,5115511000001107,Belladonna 30c homeopathic tablets,190203000BBAAA0
VMP,5045511000001106,Belladonna 6c homeopathic pillules,190203000BBAAA0
VMP,5115611000001106,Belladonna 6c homeopathic tablets,190203000BBAAA0
VMP,5115711000001102,Bellis perennis 6c homeopathic tablets,190203000BBAAA0
VMP,5115811000001105,Bryonia alba 30c homeopathic tablets,190203000BBAAA0
VMP,5045611000001105,Bryonia alba 6c homeopathic pillules,190203000BBAAA0
VMP,5115911000001100,Bryonia alba 6c homeopathic tablets,190203000BBAAA0
VMP,5251211000001103,Bryonia dioica 6c homeopathic elixir,190203000BBAAA0
VMP,5037511000001103,Calcarea carbonica 30c homeopathic tablets,190203000BBAAA0
VMP,5037611000001104,Calcarea carbonica 6c homeopathic tablets,190203000BBAAA0
VMP,5116011000001108,Calcarea fluorica 30c homeopathic tablets,190203000BBAAA0
VMP,5116111000001109,Calcarea fluorica 6c homeopathic pillules,190203000BBAAA0
VMP,5116211000001103,Calcarea fluorica 6c homeopathic tablets,190203000BBAAA0
VMP,7969011000001100,Calcarea fluorica 6x homeopathic tablets,190203000BBAAA0
VMP,5117111000001107,Calcarea phosphorica 30c homeopathic tablets,190203000BBAAA0
VMP,5117211000001101,Calcarea phosphorica 6c homeopathic tablets,190203000BBAAA0
VMP,7969111000001104,Calcarea phosphorica 6x homeopathic tablets,190203000BBAAA0
VMP,7969211000001105,Calcarea sulfurica 6x homeopathic tablets,190203000BBAAA0
VMP,5039111000001101,Calendula officinalis 0.45% / Hypericum perforatum 0.45% cream,190203000BBAAA0
VMP,5039211000001107,Calendula officinalis 0.9% cream,190203000BBAAA0
VMP,5251311000001106,Calendula officinalis 500ml/litre / Hypericum perforatum 500ml/litre spray,190203000BBAAA0
VMP,5039311000001104,Calendula officinalis 9% cream,190203000BBAAA0
VMP,7969311000001102,Calendula officinalis ointment,190203000BBAAA0
VMP,5116311000001106,Candida albicans 6c homeopathic tablets,190203000BBAAA0
VMP,5117511000001103,Cantharis vesicatoria 30c homeopathic pillules,190203000BBAAA0
VMP,5117611000001104,Cantharis vesicatoria 30c homeopathic tablets,190203000BBAAA0
VMP,5117711000001108,Cantharis vesicatoria 6c homeopathic tablets,190203000BBAAA0
VMP,5117811000001100,Carbo vegetabilis 30c homeopathic tablets,190203000BBAAA0
VMP,5118011000001107,Carbo vegetabilis 6c homeopathic pillules,190203000BBAAA0
VMP,5118111000001108,Carbo vegetabilis 6c homeopathic tablets,190203000BBAAA0
VMP,5118211000001102,Chamomilla 30c homeopathic pillules,190203000BBAAA0
VMP,10352111000001100,Chamomilla 30c homeopathic tablets,190203000BBAAA0
VMP,5251411000001104,Chamomilla 3x homeopathic drops,190203000BBAAA0
VMP,5118311000001105,Chamomilla 3x homeopathic granules,190203000BBAAA0
VMP,5045711000001101,Chamomilla 6c homeopathic granules 7g sachets sugar free,190203000BBAAA0
VMP,5118511000001104,Cina 6c homeopathic tablets,190203000BBAAA0
VMP,5038711000001109,Cinnabar 20x / Pyrites 3x homeopathic tablets,190203000BBAAA0
VMP,11812811000001106,Cinnabar 20x homeopathic tablets,190203000BBAAA0
VMP,10352211000001106,Cocculus indicus 30c homeopathic tablets,190203000BBAAA0
VMP,5039011000001102,Cocculus indicus 6c homeopathic tablets,190203000BBAAA0
VMP,5039511000001105,Coffea arabica 6c homeopathic tablets,190203000BBAAA0
VMP,17631211000001104,Coffea cruda 30c homeopathic pillules,190203000BBAAA0
VMP,17645511000001104,Colocynthis 30c homeopathic tablets,190203000BBAAA0
VMP,5039611000001109,Colocynthis 6c homeopathic tablets,190203000BBAAA0
VMP,7969511000001108,Copper ointment,190203000BBAAA0
VMP,5118611000001100,Cuprum metallicum 30c homeopathic tablets,190203000BBAAA0
VMP,5118711000001109,Cuprum metallicum 6c homeopathic tablets,190203000BBAAA0
VMP,5119711000001100,Drosera rotundifolia 30c homeopathic pillules,190203000BBAAA0
VMP,5040211000001104,Drosera rotundifolia 30c homeopathic tablets,190203000BBAAA0
