code,term
19,Other Drugs and Preparations
1901,"Alcohol, wines and spirits"
190100,"Alcohol, wines and spirits"
1901000,"Alcohol, wines and spirits"
190100000,"Other alcohol, wine and spirit preparations"
190100000AA,Generic compound preparation BNF 1901000
190100000AAAAAA,Ethanol 100% solution for injection 5ml ampoules
190100000AAABAB,Ethanol 100% solution for injection 2ml ampoules
190100000AAADAD,Ethanol 90% including duty
190100000AAAEAE,Ethanol 90% excluding rebate
190100000AAAIAI,Ethanol 70% duty paid
1902,Selective preparations
190201,Individually formulated preparations bought in
1902010,Individually formulated preparations bought in
190201000,Other individually formulated bought in preparations
190201000AA,Generic compound preparation BNF 1902010
190201000AABLBL,Exception Handler Unspecified Item
190201000AABNBN,Exception Handler Discount Not Deducted Item
190202,Individually formulated preparations prepared extemp
1902020,Individually formulated preparations prepared extemp
190202000,Other individually formulated prepared extemp preparations
190202000AA,Generic compound preparation BNF 1902020
190202000AAADAD,Exception Handler Extemporaneous Item
190203,Homeopathic preparations
1902030,Homeopathic preparations
190203000,Other homeopathic preparations
190203000AA,Homeopathic products - Generic
190203000AAAAA0,Homeopathic preparation (Generic)
190203000BB,Homeopathic products - Proprietary
190203000BBAAA0,Homeopathic preparation
190205,Household and other over the counter lines
1902050,Household and other over the counter lines
190205000,Other household and over the counter preparations
190205000BB,Proprietary compound preparation BNF 1902050
190205000BBBBA0,Germolene New Skin liquid
1902055,Toiletries
190205500,Other toiletry preparations
190205500AA,Generic compound preparation BNF 1902055
190205500AAAKAK,Sodium fluoride 0.32% / Triclosan 0.3% dental paste SF
190205500BB,Proprietary compound preparation BNF 1902055
190205500BBEJA0,Eucerin ATOControl Bath & Shower oil
190205500BBFUA0,RoC skin toner for dry skin
190205500BBGTA0,Infaderm bubble bath
190205500BBGUA0,Infaderm body lotion
190205500BBHIA0,Veil cleansing cream
190205500BBHVA0,Dermacolor Creme Effectiv
190205500BBHWA0,Dermacolor Creme Effectiv 2CC
190205500BBHXA0,Dermacolor cleansing milk
190205500BBHYA0,Dermacolor cleansing cream
190205500BBJCA0,Ambre Solaire aftersun skin soother lotion
190205500BBNVA0,E45 Sun Aftersun lotion
190205500BBPGA0,RoC gentle exfoliating cream
190205500BBQVA0,Leppin A Plus 4 Vitamin skin cream
190205500BBRVA0,Neutrogena Norwegian Formula Moisturisation foot cream
190205500BBSCA0,Aloe Pura Aloe Vera gel
190205500BBSUA0,HealthAid Arnica High Potency cream
190205500BBTRA0,Vagisil feminine wash
190205500BBTVA0,Clinisan emollient wash cream
190205500BBUYA0,Boots Cradle Cap cream from Birth
190205500BBXEA0,Infaderm shampoo
190205500BBXHA0,Nutralia shampoo
190205500BBYHA0,Exorex Hair and Body shampoo
190205500BBYIA0,Neutrogena T/Gel shampoo for greasy hair
190205500BC,Proprietary compound preparation BNF 1902055
190205500BCAHA0,Sensodyne Gel toothpaste
190205500BCATAK,Colgate Total Original Care toothpaste
190205500BCCPA0,Neutrogena T/Gel shampoo for dry hair
190205500BCDSA0,Eucerin Dry Skin Relief bath therapy oil
190205500BCETA0,Teangi Tea Tree & Witch Hazel cream
190205500BCEUA0,Oilatum scalp treatment shampoo
190205500BCEWA0,German Chamomile flower cream
190205500BCEZA0,Allergenics Baby wash
190205500BCFCA0,RoC cleansing milk for dry skin
190205500BCFIA0,Allergenics Wash shower gel
190205500BCFJA0,Allergenics Hair shampoo
190205500BCFWA0,E45 emollient shower cream
190205500BCFYA0,GlucOsamine gel
190205500BCHDA0,UltraDEX toothpaste
190205500BCHIA0,Exorex scalp moisture lotion
190205500BCIXA0,E45 Junior hand & body wash
190205500BCIYA0,E45 Junior shower mousse
190205500BCIZA0,E45 Junior moisturising cream
190205500BCJAA0,E45 Junior moisturising mousse
190205500BCKHA0,Bio-Oil liquid
190205500BCLWA0,Oilatum Natural Repair face cream
190205500BCLXA0,E45 Junior foaming bath milk
190205500BCLYA0,Dermablend hydrating complex creme
190205500BCLZA0,E45 Dry Scalp shampoo
190205500BCMAA0,PediTech Foot Odour Control pumpspray
190205500BCMBA0,E45 Foot & Heel cream
190205500BCMCA0,DermaSalve body cream
190205500BCMDA0,DermaSalve foot & heel cream
190205500BCMEA0,DermaSalve hand cream
190205500BCMFA0,Oilatum scalp intensive treatment shampoo
190205500BCMGA0,DermaSalve face cream
190205500BCMHA0,DermaSalve baby & infant cream
190205500BCMIA0,Senset Skin Cleansing Foam
190205500BCMKA0,Octenisan Antimicrobial wash
190205500BCMLA0,Oilatum Natural Repair cream
190205500BCMMA0,Neutrogena Norwegian Formula Intense Repair foot cream
190205500BCMNA0,Selsun Blue Anti-dandruff Deep Cleansing 1% shampoo
190205500BCMPA0,Selsun Blue Anti-dandruff Dual Action 1% shampoo
190205500BCMQA0,Selsun Blue Anti-dandruff Replenishing 1% shampoo
190205500BCMRA0,Deb Antimicrobial body wash
190205500BCMSA0,Covermark removing cream
190205500BCMTA0,Dermacolor cleansing lotion
190205500BCMUA0,Bio-Glucosamine + MSM cream
190205500BCMVA0,Aveeno body wash
190205500BCMWA0,Veil toning lotion and skin freshener
190205500BCMXA0,Deep Skin Cleanser
190205500BCMYA0,Unique Deep Skin Moisturiser
190205500BCMZA0,Skin Moisturiser
190205500BCNAA0,Stellisept med 1% skin cleanser
190205500BCNBA0,Stellisept med 1% foam
190205500BCNDA0,Neutrogena T/Gel shampoo for sensitive scalp
190205500BCNEA0,Propolis cream
