code,term
02,Cardiovascular System
0201,Positive inotropic drugs
020101,Cardiac glycosides
0201010,Cardiac glycosides
0201010AA,Digoxin antibody
0201010AAAA,Digoxin antibody
0201010AAAAAAAA,Digoxin-specific antibody fragments 38mg inf vials
0201010AAAAABAB,Digoxin-specific antibody fragments 40mg inf vials
0201010AABB,Digibind
0201010AABBAAAA,Digibind 38mg powder for solution for injection vials
0201010AABC,DigiFab
0201010AABCAAAB,DigiFab 40mg powder for solution for infusion vials
0201010D0,Digitoxin
0201010D0AA,Digitoxin
0201010D0AAAAAA,Digitoxin 100microgram tablets
0201010F0,Digoxin
0201010F0AA,Digoxin
0201010F0AAAAAA,Digoxin 50micrograms/ml oral solution
0201010F0AAACAC,Digoxin 500micrograms/2ml solution for infusion ampoules
0201010F0AAADAD,Digoxin 62.5microgram tablets
0201010F0AAAEAE,Digoxin 125microgram tablets
0201010F0AAAFAF,Digoxin 250microgram tablets
0201010F0AAANAN,Digoxin 125micrograms/5ml oral liquid
0201010F0AAAPAP,Digoxin 250micrograms/5ml oral liquid
0201010F0AAAQAQ,Digoxin 75micrograms/5ml oral liquid
0201010F0AAARAR,Digoxin 100micrograms/1ml solution for injection ampoules
0201010F0BB,Lanoxin
0201010F0BBAAAE,Lanoxin 125 tablets
0201010F0BBABAF,Lanoxin 250microgram tablets
0201010F0BBACAC,Lanoxin 500micrograms/2ml solution for infusion ampoules
0201010F0BBADAD,Lanoxin PG 62.5microgram tablets
0201010F0BBAEAA,Lanoxin PG 50micrograms/ml elixir
0201010F0BBAGAR,Lanoxin Injection Pediatric 100micrograms/1ml inj ampoules
0201010F0BE,Digamex
0201010F0BEAAAD,Digamex 62.5microgram tablets
0201010F0BEABAE,Digamex 125microgram tablets
0201010F0BEACAF,Digamex 250microgram tablets
020102,Phosphodiesterase Type-3 inhibitors
0201020,Phosphodiesterase Type-3 inhibitors
0201020G0,Enoximone
0201020G0AA,Enoximone
0201020G0AAAAAA,Enoximone 100mg/20ml solution for injection ampoules
0201020G0BB,Perfan
0201020G0BBAAAA,Perfan 100mg/20ml solution for injection ampoules
0201020M0,Milrinone lactate
0201020M0AA,Milrinone lactate
0201020M0AAAAAA,Milrinone 10mg/10ml solution for infusion ampoules
0201020M0BB,Primacor
0201020M0BBAAAA,Primacor 10mg/10ml solution for injection ampoules
0202,Diuretics
020201,Thiazides and related diuretics
0202010,Thiazides and related diuretics
0202010B0,Bendroflumethiazide
0202010B0AA,Bendroflumethiazide
0202010B0AAABAB,Bendroflumethiazide 2.5mg tablets
0202010B0AAACAC,Bendroflumethiazide 5mg tablets
0202010B0AAAQAQ,Bendroflumethiazide 5mg/5ml oral suspension
0202010B0AAASAS,Bendroflumethiazide 2mg/5ml oral liquid
0202010B0AAAUAU,Bendroflumethiazide 1.25mg/5ml oral suspension
0202010B0AAAVAV,Bendroflumethiazide 3.75mg/5ml oral liquid
0202010B0AAAWAW,Bendroflumethiazide 1mg/5ml oral suspension
0202010B0AAAXAX,Bendroflumethiazide 2.5mg/5ml oral suspension
0202010B0BB,Aprinox
0202010B0BBAAAB,Aprinox 2.5mg tablets
0202010B0BBABAC,Aprinox 5mg tablets
0202010B0BE,Neo-Naclex
0202010B0BEAAAC,Neo-Naclex 5mg tablets
0202010B0BEABAB,Neo-Naclex 2.5mg tablets
0202010B0BF,Urizide
0202010B0BFAAAC,Urizide 5mg tablets
0202010B0BFABAB,Urizide 2.5mg tablets
0202010D0,Chlorothiazide
0202010D0AA,Chlorothiazide
0202010D0AAAFAF,Chlorothiazide 500mg tablets
