dmd_type,dmd_id,dmd_name,bnf_code
VMP,3411711000001105,Absorbent cotton BP 1988,20010000101
AMP,419111000001103,Absorbent cotton BP 1988,20010000101
AMP,734411000001106,Absorbent cotton BP 1988,20010000101
AMP,24031411000001101,Alvita absorbent cotton BP 1988,20010000101
AMP,10250411000001102,Clini absorbent cotton BP 1988,20010000101
AMP,387011000001104,Vernaid absorbent cotton BP 1988,20010000101
VMP,3412411000001109,Absorbent cotton hospital quality,20010000201
AMP,478111000001104,Absorbent cotton hospital quality,20010000201
AMP,643811000001103,Absorbent cotton hospital quality,20010000201
AMP,24031711000001107,Alvita absorbent cotton hospital quality,20010000201
AMP,10250811000001100,Clini absorbent cotton hospital quality,20010000201
AMP,10251011000001102,Clini absorbent cotton hospital quality interleaved,20010000201
AMP,117811000001101,Propax absorbent cotton hospital quality,20010000201
AMP,752311000001107,Vernaid absorbent cotton hospital quality,20010000201
VMP,3425011000001102,Arm sling web adjustable,20020100101
AMP,777411000001104,Portia arm sling,20020100101
VMP,9575811000001102,Cotton conforming bandage BP 1988 type A 5cm x 3.5m,20020200251
AMP,9572911000001104,Easifix Crinx bandage 5cm x 3.5m,20020200251
VMP,9575711000001105,Cotton conforming bandage BP 1988 type A 7.5cm x 3.5m,20020200252
AMP,9573411000001103,Easifix Crinx bandage 7.5cm x 3.5m,20020200252
VMP,9576111000001103,Cotton conforming bandage BP 1988 type A 10cm x 3.5m,20020200253
AMP,9572111000001102,Easifix Crinx bandage 10cm x 3.5m,20020200253
VMP,9576011000001104,Cotton conforming bandage BP 1988 type A 15cm x 3.5m,20020200254
AMP,9572411000001107,Easifix Crinx bandage 15cm x 3.5m,20020200254
VMP,9594511000001107,Cotton crepe bandage BP 1988 7.5cm x 4.5m,20020200301
AMP,9578611000001107,Elastocrepe bandage 7.5cm x 4.5m,20020200301
AMP,9578811000001106,Flexocrepe bandage 7.5cm x 4.5m,20020200301
AMP,15938411000001107,Sterocrepe bandage 7.5cm x 4.5m,20020200301
VMP,9594411000001108,Cotton crepe bandage BP 1988 10cm x 4.5m,20020200302
AMP,9578111000001104,Elastocrepe bandage 10cm x 4.5m,20020200302
AMP,9578311000001102,Flexocrepe bandage 10cm x 4.5m,20020200302
AMP,15938611000001105,Sterocrepe bandage 10cm x 4.5m,20020200302
VMP,9595611000001107,Crepe bandage BP 1988 5cm x 4.5m,20020200321
AMP,24030811000001107,Alvita crepe bandage 5cm x 4.5m,20020200321
AMP,10248911000001105,Clinicrepe bandage 5cm x 4.5m,20020200321
AMP,33732711000001103,Crepe bandage 5cm x 4.5m,20020200321
AMP,9592011000001105,Crepe bandage 5cm x 4.5m,20020200321
AMP,9592211000001100,Crepe bandage 5cm x 4.5m,20020200321
AMP,9592411000001101,Propax crepe bandage 5cm x 4.5m,20020200321
AMP,9591811000001108,Vernaid crepe bandage 5cm x 4.5m,20020200321
VMP,9616511000001108,Crepe bandage BP 1988 7.5cm x 4.5m,20020200322
AMP,24031211000001100,Alvita crepe bandage 7.5cm x 4.5m,20020200322
AMP,10249111000001100,Clinicrepe bandage 7.5cm x 4.5m,20020200322
AMP,33732911000001101,Crepe bandage 7.5cm x 4.5m,20020200322
AMP,9592911000001109,Crepe bandage 7.5cm x 4.5m,20020200322
AMP,9593211000001106,Crepe bandage 7.5cm x 4.5m,20020200322
