code,term
20,Dressings
2001,Absorbent Cottons
20010000101,Absorbent cotton BP 1988
20010000201,Absorbent cotton hospital quality
2002,Arm Sling/Bandages
20020100101,Arm sling web adjustable
20020200251,Easifix Crinx bandage 5cm x 3.5m
20020200252,Easifix Crinx bandage 7.5cm x 3.5m
20020200253,Easifix Crinx bandage 10cm x 3.5m
20020200254,Easifix Crinx bandage 15cm x 3.5m
20020200301,Cotton crepe bandage BP 1988 7.5cm x 4.5m
20020200302,Cotton crepe bandage BP 1988 10cm x 4.5m
20020200321,Crepe bandage BP 1988 5cm x 4.5m
20020200322,Crepe bandage BP 1988 7.5cm x 4.5m
20020200323,Crepe bandage BP 1988 10cm x 4.5m
20020200324,Crepe bandage BP 1988 15cm x 4.5m
20020200331,Soffcrepe bandage 5cm x 4.5m
20020200332,Soffcrepe bandage 7.5cm x 4.5m
20020200333,Soffcrepe bandage 10cm x 4.5m
20020200334,Soffcrepe bandage 15cm x 4.5m
20020200336,Neosport bandage 5cm x 4.5m
20020200337,Neosport bandage 7.5cm x 4.5m
20020200338,Neosport bandage 10cm x 4.5m
20020200339,Neosport bandage 15cm x 4.5m
20020200341,Elastic adhesive bandage BP 1993 5cm x 4.5m
20020200342,Elastic adhesive bandage BP 1993 7.5cm x 4.5m
20020200343,Elastic adhesive bandage BP 1993 10cm x 4.5m
20020200370,Hospilite bandage 5cm x 4.5m
20020200371,Hospilite bandage 7.5cm x 4.5m
20020200372,Hospilite bandage 10cm x 4.5m
20020200373,Hospilite bandage 15cm x 4.5m
20020200381,Elastic web bandage BP 1993 blue line 7.5cm x 1m
20020200382,Elastic web bandage BP 1993 blue line 10cm x 1m
20020200391,Elastic web bandage with foot loop blue line 7.5cm x 4.5m
20020200401,Elastic web bandage without foot loop red line 7.5cm x 2.75m
20020200402,Elastic web bandage without foot loop red line 7.5cm x 3.75m
20020200465,Knit Fix bandage 5cm x 4m
20020200466,Knit Fix bandage 7cm x 4m
20020200467,Knit Fix bandage 10cm x 4m
20020200468,Knit Fix bandage 15cm x 4m
20020200471,Easifix bandage 5cm x 4m
20020200472,Easifix bandage 7.5cm x 4m
20020200473,Easifix bandage 10cm x 4m
20020200474,Easifix bandage 15cm x 4m
20020200475,Acti-Wrap (cohesive) bandage 6cm x 4m
20020200476,Acti-Wrap (cohesive) bandage 8cm x 4m
20020200477,Acti-Wrap (cohesive) bandage 10cm x 4m
20020200478,Acti-Wrap (cohesive/latex free) bandage 6cm x 4m
20020200479,Acti-Wrap (cohesive/latex free) bandage 8cm x 4m
20020200480,Acti-Wrap (cohesive/latex free) bandage 10cm x 4m
20020200481,Slinky bandage 5cm x 4m
20020200482,Slinky bandage 7.5cm x 4m
