code,term
21,Appliances
2101,Other Appliances
21010000001,Olive oil ear drops
21010000002,"Sodium bicarbonate 5% ear drops (Bell,Sons & Co)"
21010000003,Rossmax Anti-Static Aero Spacer
21010000004,Rossmax Anti-Static Aero Spacer with large mask 5 years-adult
21010000005,Rossmax Anti-Static Aero Spacer with medium mask 1-5 years
21010000006,Rossmax Anti-Static Aero Spacer with small mask 0-18 months
21010100101,Estriol vaginal applicator type 1
21010100102,Durex vaginal applicator type 2
21010220101,Brovon Midget inhaler
21010220102,Riddell Minor inhaler
21010220104,Riddopag Pocket inhaler
21010220105,Rybar Standard inhaler no 1
21010220106,Rybar Standard inhaler no 2
21010220113,Flutter mucus clearance device
21010220114,Acapella mucus clearance device
21010220115,PARI O-PEP mucus clearance device
21010220116,Lungflute mucus clearance device
21010220117,RC-Cornet mucus clearance device
21010220118,Aerobika mucus clearance device
21010220119,RC-Cornet Plus mucus clearance device
21010220201,Nebulizer inhaler
21010230101,Nebuhaler
21010230102,Volumatic
21010230110,Nebuhaler with paediatric mask
21010230111,Volumatic with paediatric mask
21010230112,NebuChamber with child mask
21010230115,AeroChamber Plus
21010230116,AeroChamber Plus with mask
21010230117,A2A Spacer
21010230118,A2A Spacer with small/medium mask
21010230120,Able Spacer
21010230121,Able Spacer with mask small/medium
21010230122,Free Breath Spacer
21010230123,Free Breath Spacer with adult/child/infant mask
21010230125,Pocket Chamber
21010230126,Pocket Chamber with mask
21010230129,Vortex with adult mask
21010230130,OptiChamber
21010230131,Vortex with baby mask 0-2 years
21010230132,Vortex with child mask 2 years+
21010230133,Vortex Spacer
21010230134,Ultrabreathe muscle training device
21010230135,POWERbreathe Medic muscle training device
21010230136,Threshold IMT muscle training device
21010230137,OptiChamber Advantage with small mask infants-18 months
21010230138,OptiChamber Advantage with medium mask 1-6 years
21010230139,OptiChamber Advantage with large mask adult
21010230140,OptiChamber Diamond
21010230141,OptiChamber Diamond with small LiteTouch mask 0-18 months
21010230142,OptiChamber Diamond with medium LiteTouch mask 1-5 years
21010230143,OptiChamber Diamond with large LiteTouch mask 5 years-adult
21010230144,Space Chamber Plus Compact
21010230145,Space Chamber Plus
21010230146,Space Chamber Plus with small/medium/large mask
21010230147,Space Chamber Plus Compact with small/medium/large mask
21010230148,Rophi Cushion
21010230149,Clip-Tone E
21010230150,Fisio Chamber Vision
21010230151,Fisio Chamber Vision with infant mask 0-3 years
21010230152,Fisio Chamber Vision with paediatric mask 3-6 years
21010230153,Fisio Chamber Vision with large mask 6 years-adult
21010230154,Flo-Tone MDI regular fit
21010230155,Flo-Tone MDI circular fit
21010230156,zerostat VT spacer
21010230157,Antistatic Space Chamber Plus
