dmd_type,dmd_id,dmd_name,bnf_code
AMP,5638611000001107,Peristeen anal plug small,22021000500
AMP,5639211000001100,Peristeen anal plug large,22021000501
AMP,28280211000001107,Renew Insert anal plug starter pack,22023830500
AMP,28280411000001106,Renew Insert anal plug regular,22023830501
AMP,28280611000001109,Renew Insert anal plug large,22023830502
AMP,6437311000001103,Flip-Flo sterile catheter valve,22050500501
AMP,24542811000001107,Prosys sterile catheter valve,22050950501
AMP,6439911000001109,Simpla catheter valve,22051000501
AMP,21539311000001100,Coloplast sterile catheter valve,22051000502
AMP,6441811000001101,E-Z Flow sterile catheter valve,22051750501
AMP,14718111000001109,Libra sterile catheter valve,22052080501
AMP,6442711000001102,Euro sterile catheter valve,22052400501
AMP,6443911000001107,Euro sterile bag with dual tap,22052400505
AMP,6443511000001100,CareVent Duo sterile catheter valve,22052650001
AMP,14939011000001103,Care-Flo sterile catheter valve,22052650002
AMP,10626811000001102,Smartflow sterile catheter valve,22052950501
AMP,23047911000001104,Teleflex sterile catheter valve,22054880501
AMP,15400611000001100,Careline sterile catheter valve with lever tap,22055050501
AMP,15400811000001101,Careline sterile catheter valve with T tap,22055050502
AMP,6443711000001105,Uro-Flo catheter valve,22055850501
AMP,22415211000001105,Qufora sterile catheter valve,22056050500
AMP,25179611000001104,Ugo sterile catheter valve,22056150501
AMP,6447011000001102,Dribblet bag,22100601000
AMP,6448711000001104,Dribblet sheath bag,22100601001
AMP,6452011000001102,Aquadry male drip urinal,22101001000
AMP,6453511000001103,Dribbling bag with tapes,22102401000
AMP,6454011000001108,Male drip urinal with tap,22102401001
AMP,6459111000001105,Jockey belt,22102401002
AMP,6461511000001109,Male dribbling bag with diaphragm and belt,22105301000
AMP,6728611000001103,Peoplecare male drip urinal,22105401000
AMP,6467411000001102,Faecal collector,22150101501
AMP,6469811000001108,Faecal collector,22150101502
AMP,20954111000001101,Flow collector,22150451500
AMP,18645311000001101,Fistula bed drainage bag,22151001500
AMP,27173411000001103,SECCO faecal collection pouch with connector tube/cap,22151061500
AMP,27173611000001100,SECCO faecal collection pouch with fold up tail,22151061501
AMP,7335211000001107,Incontinence waist and support strap,22201252000
AMP,5635711000001105,Incontinence belt,22202402000
AMP,5635911000001107,Elastic incontinence belt,22202402001
AMP,5636311000001101,Web incontinence belt,22202402002
AMP,7929211000001101,Web incontinence belt,22202402003
AMP,5636511000001107,Web incontinence belt,22202402004
AMP,5636711000001102,Web incontinence belt,22202402005
AMP,7904811000001108,Web incontinence belt,22202402006
AMP,7905311000001100,Web incontinence belt,22202402007
AMP,7905511000001106,Web incontinence belt,22202402008
AMP,7905811000001109,Web incontinence belt,22202402009
AMP,7906411000001103,Web incontinence belt,22202402010
AMP,7907211000001100,Web incontinence belt,22202402011
AMP,5637111000001100,Incontinence belt,22205302000
AMP,5637311000001103,Rubber incontinence belt,22205302001
AMP,7905011000001103,Web incontinence belt,22205852011
