code,term
22,Incontinence Appliances
2202,Anal Plugs
22021000500,Peristeen anal plug small
22021000501,Peristeen anal plug large
22023830500,Renew Insert anal plug starter pack
22023830501,Renew Insert anal plug regular
22023830502,Renew Insert anal plug large
2205,Catheter Valves
22050500501,Flip-Flo sterile catheter valve
22050950501,Prosys sterile catheter valve
22051000501,Simpla catheter valve
22051000502,Coloplast sterile catheter valve
22051750501,E-Z Flow sterile catheter valve
22052080501,Libra sterile catheter valve
22052400501,Euro sterile catheter valve
22052400505,Euro sterile bag with dual tap
22052650001,CareVent Duo sterile catheter valve
22052650002,Care-Flo sterile catheter valve
22052950501,Smartflow sterile catheter valve
22054880501,Teleflex sterile catheter valve
22055050501,Careline sterile catheter valve with lever tap
22055050502,Careline sterile catheter valve with T tap
22055850501,Uro-Flo catheter valve
22056050500,Qufora sterile catheter valve
22056150501,Ugo sterile catheter valve
2210,Drainable Dribbling Appliances
22100601000,Dribblet bag
22100601001,Dribblet sheath bag
22101001000,Aquadry male drip urinal
22102401000,Dribbling bag with tapes
22102401001,Male drip urinal with tap
22102401002,Jockey belt
22105301000,Male dribbling bag with diaphragm and belt
22105401000,Peoplecare male drip urinal
2215,Faecal Collectors
22150101501,Faecal collector 500ml
22150101502,Faecal collector 1 litre
22150451500,Flow collector
22151001500,Fistula bed drainage bag
22151061500,SECCO faecal collection pouch with connector tube/cap
22151061501,SECCO faecal collection pouch with fold up tail
2220,Incontinence Belts
22201252000,Incontinence waist and support strap
22202402000,Incontinence belt (KBWB)
22202402001,Elastic incontinence belt
22202402002,Web incontinence belt with 2 buttonholes 86cm
22202402003,Web incontinence belt adjustable and two buttonholes 91cm
22202402004,Web incontinence belt 86cm
22202402005,Web incontinence belt 91cm
22202402006,Web incontinence belt with 2 buttonholes 97cm
22202402007,Web incontinence belt with 2 button holes 107cm
22202402008,Web incontinence belt 112cm
22202402009,Web incontinence belt with bag suspender strap 91cm
22202402010,Web incontinence belt with bag suspender strap 97cm
22202402011,Web incontinence belt with bag suspender strap 107cm
22205302000,Incontinence belt
22205302001,Rubber incontinence belt
22205852011,Web incontinence belt 102cm (WS105-91-40)
22205852022,Web incontinence belt 102cm (WS106-01-40)
22205852024,Web incontinence belt 112cm
2230,Incontinence Sheaths
22300103000,Urinary sheath 22mm-25mm
22300103001,Urinary sheath 26mm-30mm
22300103002,Urinary sheath 31mm-35mm
22300103003,Urinary sheath 36mm-39mm
22300103005,CV sheath standard length 25mm
22300103006,CV sheath standard length 29mm
22300103007,CV sheath standard length 32mm
22300103008,CV sheath standard length 36mm
22300103009,CV sheath standard length 41mm
22300103010,CV sheath brief length 25mm
22300103011,CV sheath brief length 29mm
22300103012,CV sheath brief length 32mm
22300103013,CV sheath brief length 36mm
22300103014,CV sheath brief length 41mm
22300103016,InView sheath special 25mm
22300103017,InView sheath special 29mm
22300103018,InView sheath special 32mm
22300103019,InView sheath special 36mm
22300103020,InView sheath special 41mm
22300103021,InView sheath standard 25mm
22300103022,InView sheath standard 29mm
22300103023,InView sheath standard 32mm
22300103024,InView sheath standard 36mm
22300103025,InView sheath standard 41mm
22300103026,InView sheath extra 25mm
22300103027,InView sheath extra 29mm
22300103028,InView sheath extra 32mm
22300103029,InView sheath extra 36mm
22300103030,InView sheath extra 41mm
22300503005,Penile sheath 20mm
22300503006,Penile sheath 25mm
22300503007,Penile sheath 30mm
22300503008,Penile sheath 35mm
22300503009,Penile sheath 40mm
22300503010,Uro sheath small
22300503011,Uro sheath medium
22300503012,Uro sheath large
22300503021,Reliasheath penile sheath 20mm
22300503022,Reliasheath penile sheath 25mm
22300503023,Reliasheath penile sheath 30mm
22300503024,Reliasheath penile sheath 35mm
22300503025,Reliasheath penile sheath 40mm
22300503030,Integrity Encompass sheath 25mm
22300503031,Integrity Encompass sheath 30mm
22300503032,Integrity Encompass sheath 35mm
22300503035,Encompass latex free sheath 24mm
22300503036,Encompass latex free sheath 28mm
22300503037,Encompass latex free sheath 30mm
22300503038,Encompass latex free sheath 32mm
