dmd_type,dmd_id,dmd_name,bnf_code
AMP,6110311000001106,Zinc oxide adhesive ostomy plaster,23050600500
AMP,6110711000001105,Zinc oxide adhesive ostomy plaster,23050600501
AMP,6111411000001108,Zinc oxide adhesive ostomy plaster,23050600502
AMP,6112111000001108,Plastic acrylic adhesive ostomy plaster,23050600503
AMP,6113211000001108,Plastic acrylic adhesive ostomy plaster,23050600504
AMP,6113811000001109,Plastic acrylic adhesive ostomy plaster,23050600505
AMP,6114511000001109,Ostomy flange retention strip,23050600506
AMP,6115611000001109,Ostomy flange retention strip,23050600507
AMP,10628511000001104,Shelter Safe-Seal ostomy plaster,23050600508
AMP,33729811000001104,Dansac X-tra strips barrier extenders,23050700500
AMP,6151811000001103,HydroFrame flange extender,23050900500
AMP,17404611000001106,HydroFrame mini flange extender,23050900501
AMP,24489411000001101,HydroFrame flange extender with Manuka honey,23050900502
AMP,24489611000001103,HydroFrame mini flange extender with Manuka honey,23050900503
AMP,35228911000001104,UltraFrame flange extender,23050900504
AMP,31053011000001104,ZenSetiv half moon hydrocolloid strips,23050950500
AMP,31053211000001109,ZenSetiv half moon microporous strips,23050950501
AMP,20501711000001100,Brava elastic tape,23051009001
AMP,29392811000001100,Brava elastic tape belt,23051009002
AMP,29394811000001106,Brava elastic tape straight,23051009003
AMP,36579911000001103,Brava elastic tape XL,23051009004
AMP,18082411000001103,Independence flange extender,23051060500
AMP,19479711000001100,AcuBond strips,23051060501
AMP,6118811000001104,Ostomy kidney seal small,23052400500
AMP,6119411000001109,Ostomy kidney seal large,23052400501
AMP,6120511000001107,Ostomy adhesive disc,23052400502
AMP,6121411000001104,Ostomy adhesive disc,23052400503
AMP,6123411000001100,Ostomy adhesive disc,23052400504
AMP,6123811000001103,Ostomy adhesive disc,23052400505
AMP,6128411000001106,Chiron ostomy plaster,23052400506
AMP,6128811000001108,Chiron ostomy plaster,23052400507
AMP,6129111000001108,Chiron ostomy plaster,23052400508
AMP,6129411000001103,Chiron ostomy plaster,23052400509
AMP,6129711000001109,Chiron ostomy plaster,23052400510
AMP,6130111000001100,Chiron ostomy plaster,23052400511
AMP,6130511000001109,Chiron ostomy plaster,23052400512
AMP,6130911000001102,Chiron ostomy plaster,23052400513
AMP,6131211000001100,Chiron ostomy plaster,23052400514
AMP,6131411000001101,Chiron ostomy plaster,23052400515
AMP,24635811000001109,Curvies flange extender,23053350500
AMP,6135111000001108,OstoMart OstoFix flange security tape,23053370500
AMP,6135411000001103,OstoMart OstoFix flange security tape,23053370501
AMP,10896611000001101,Secure large security frame,23053370502
AMP,18734911000001106,Secure small security frame,23053370503
AMP,24488611000001107,Comfort flange extender small,23053370504
AMP,24488811000001106,Comfort flange extender large,23053370505
AMP,24489011000001105,Comfort flange extender wide,23053370506
AMP,28087511000001100,OstoMart OstoFix40 HydroAV security frames,23053370507
AMP,31044711000001103,Pelican Contour flange extender,23053450500
AMP,6139011000001109,Transacryl ostomy plaster,23054100500
AMP,6137011000001100,Transacryl ostomy plaster,23054100501
AMP,6137211000001105,Transacryl ostomy plaster,23054100502
AMP,6140611000001109,Reliaseal adhesive disc,23054100510
AMP,6141111000001107,Reliaseal adhesive disc,23054100512
AMP,6141711000001108,Reliaseal adhesive disc,23054100513
AMP,6142011000001103,Reliaseal adhesive disc,23054100514
AMP,6142411000001107,Reliaseal adhesive disc,23054100515
AMP,6142811000001109,Reliaseal adhesive disc,23054100516
AMP,6143111000001108,Reliaseal adhesive disc,23054100517
AMP,10628711000001109,Salts flange extender,23054100518
AMP,17556011000001109,Salts flange extender with Aloe,23054100519
AMP,6143611000001100,Easychange ostomy plaster,23054300500
AMP,6144011000001109,Easychange ostomy plaster,23054300501
AMP,6144711000001106,Easychange ostomy plaster,23054300502
AMP,6145111000001109,Rubber ostomy retaining ring,23054300503
AMP,6145611000001101,Plastic ostomy locking ring,23054300504
AMP,6146011000001104,Ostomy plaster,23054300505
AMP,6146511000001107,Ostomy plaster,23054400500
AMP,6147311000001103,Ostomy plaster,23054400501
AMP,6148211000001105,Ostomy plaster,23055300500
AMP,6148811000001106,Ostomy plaster,23055300501
AMP,6149611000001103,Ostomy waterproof plaster,23055300502
AMP,6150811000001106,Ostomy waterproof plaster,23055300503
AMP,6136211000001108,Ostomy plaster,23055400500
AMP,6136411000001107,Ostomy plaster,23055400501
AMP,6116411000001102,Chiron Clearseal ostomy plaster,23055850500
AMP,6117711000001106,Chiron Clearseal ostomy plaster,23055850501
AMP,6132811000001108,Elastic ostomy ring,23055850520
AMP,6133211000001101,Carshalton acrylic ostomy plaster,23055850521
AMP,6133611000001104,Carshalton acrylic ostomy plaster,23055850522
AMP,6133911000001105,Carshalton acrylic ostomy plaster,23055850523
AMP,6134211000001103,Carshalton foam ring ostomy plaster,23055850524
AMP,6134611000001101,Carshalton foam ring ostomy plaster,23055850525
AMP,6134811000001102,Carshalton foam ring ostomy plaster,23055850526
AMP,19857611000001105,Varimate retention strips,23055900500
AMP,29848111000001102,Varimate extra thin hydrocolloid curved retention strips,23055900501
AMP,28089311000001101,Silex silicone flange extender,23056500500
AMP,7048111000001106,Ostomy medical adhesive,23100101004
AMP,7051311000001103,Ostomy lanolin free latex skin adhesive,23102951008
AMP,7053211000001105,Ostomy latex 12% skin adhesive,23102951009
AMP,7052611000001102,Ostomy latex 2% resin skin adhesive,23102951010
AMP,7052011000001109,Ostomy latex 50% skin care adhesive,23102951011
AMP,7049011000001100,Ostomy latex original standard strength skin adhesive,23102951012
AMP,7049411000001109,Ostomy latex pure skin adhesive,23102951013
AMP,7053911000001101,Ostomy latex free synthetic skin adhesive,23102951014
AMP,15905311000001100,Zeflosil adhesive,23103531000
AMP,7055611000001106,Saltair adhesive solution,23104101001
AMP,38686311000001103,G626 Probond secure adhesive,23104101002
AMP,6838811000001100,Adapt No-Sting medical adhesive remover aerosol,23150101504
AMP,6839111000001100,Universal remover wipes,23150101505
AMP,15401011000001103,Dansac Skin Lotion cleanser,23150701500
AMP,15430011000001103,Dansac Skin Lotion tissues,23150701502
AMP,15486311000001109,Dansac non-sting adhesive remover spray,23150701503
AMP,17286111000001107,Dansac non-sting adhesive remover sachets,23150701504
AMP,30234811000001107,Dansac EasiSpray adhesive remover,23150701505
AMP,17285511000001105,Appeel No Sting medical adhesive remover wipes,23150901501
AMP,6838511000001103,Clear Peel adhesive remover,23150901503
AMP,8905211000001100,Appeel No Sting medical adhesive remover aerosol,23150901504
AMP,29369711000001104,Appeel Hydrosolve medical adhesive remover wipes,23150901505
AMP,32452311000001100,Appeel Advance No Sting medical adhesive remover,23150901506
AMP,37586511000001108,CliniPeel No Sting medical adhesive remover,23150901507
AMP,36255711000001107,ZenSetiv adhesive remover spray,23150955500
