code,term
23,Stoma Appliances
2305,Adhesive Discs/Rings/Pads/Plasters
23050600500,Zinc oxide adhesive ostomy plaster 89mm x 89mm
23050600501,Zinc oxide adhesive ostomy plaster 102mm x 102mm
23050600502,Zinc oxide adhesive ostomy plaster 127mm x 127mm
23050600503,Plastic acrylic adhesive ostomy plaster 89mm x 89mm
23050600504,Plastic acrylic adhesive ostomy plaster 102mm x 102mm
23050600505,Plastic acrylic adhesive ostomy plaster 127mm x 127mm
23050600506,Ostomy flange retention strip 102mm x 25mm
23050600507,Ostomy flange retention strip 102mm x 51mm
23050600508,Shelter Safe-Seal ostomy plaster
23050700500,Dansac X-tra strips barrier extenders
23050900500,HydroFrame flange extender
23050900501,HydroFrame mini flange extender
23050900502,HydroFrame flange extender with Manuka honey
23050900503,HydroFrame mini flange extender with Manuka honey
23050900504,UltraFrame flange extender
23050950500,ZenSetiv half moon hydrocolloid strips
23050950501,ZenSetiv half moon microporous strips
23051009001,Brava elastic tape
23051009002,Brava elastic tape belt
23051009003,Brava elastic tape straight
23051009004,Brava elastic tape XL
23051060500,Independence flange extender
23051060501,AcuBond strips (SB2)
23052400500,Ostomy kidney seal small
23052400501,Ostomy kidney seal large
23052400502,Ostomy adhesive disc 19mm
23052400503,Ostomy adhesive disc 25mm
23052400504,Ostomy adhesive disc 32mm
23052400505,Ostomy adhesive disc 38mm
23052400506,Chiron ostomy plaster 90mm x 90mm 19mm
23052400507,Chiron ostomy plaster 90mm x 90mm 35mm
23052400508,Chiron ostomy plaster 102mm x 102mm 19mm
23052400509,Chiron ostomy plaster 102mm x 102mm 35mm
23052400510,Chiron ostomy plaster 127mm x 127mm 19mm
23052400511,Chiron ostomy plaster 127mm x 127mm 35mm
23052400512,Chiron ostomy plaster 150mm x 150mm 19mm
23052400513,Chiron ostomy plaster 102mm x 76mm 19mm
23052400514,Chiron ostomy plaster 102mm x 102mm 25mm
23052400515,Chiron ostomy plaster 125mm x 125mm 25mm
23053350500,Curvies flange extender
23053370500,OstoMart OstoFix flange security tape 2.5cm x 10cm
