code,term
03,Respiratory System
0301,Bronchodilators
030101,Adrenoceptor agonists
0301011,Selective beta(2)-agonists
0301011AB,Beclometdiprop/formoterol/glycopyrronium
0301011ABBB,Trimbow
0301011ABBBAAA0,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh
0301011B0,Bambuterol hydrochloride
0301011B0AA,Bambuterol hydrochloride
0301011B0AAAAAA,Bambuterol 10mg tablets
0301011B0AAABAB,Bambuterol 20mg tablets
0301011B0BB,Bambec
0301011B0BBAAAA,Bambec 10mg tablets
0301011B0BBABAB,Bambec 20mg tablets
0301011E0,Formoterol fumarate
0301011E0AA,Formoterol fumarate
0301011E0AAAAAA,Formoterol 12microgram inhalation pdr caps with device
0301011E0AAABAB,Formoterol 6micrograms/dose dry powder inhaler
0301011E0AAACAC,Formoterol 12micrograms/dose dry powder inhaler
0301011E0AAADAD,Formoterol 12micrograms/dose inhaler CFC free
0301011E0BB,Foradil
0301011E0BBAAAA,Foradil 12microgram inhalation powder capsules with device
0301011E0BC,Oxis
0301011E0BCAAAB,Oxis 6 Turbohaler
0301011E0BCABAC,Oxis 12 Turbohaler
0301011E0BD,Atimos Modulite
0301011E0BDAAAD,Atimos Modulite 12micrograms/dose inhaler
0301011E0BE,Formoterol Easyhaler
0301011E0BEAAAC,Formoterol Easyhaler 12micrograms/dose dry powder inhaler
0301011F0,Fenoterol hydrobromide
0301011F0AA,Fenoterol hydrobromide
0301011F0AAAAAA,Fenoterol 200micrograms/dose inhaler
0301011F0BB,Berotec
0301011F0BBACAA,Berotec 200micrograms/dose inhaler
0301011R0,Salbutamol
0301011R0AA,Salbutamol
0301011R0AAAAAA,Salbutamol 100micrograms/dose inhaler
0301011R0AAADAD,Salbutamol 100micrograms/dose breath actuated inhaler
0301011R0AAAFAF,Salbutamol 95micrograms/dose dry powder inhaler
0301011R0AAAIAI,Salbutamol 200microgram inhalation pdr blist with device
0301011R0AAAJAJ,Salbutamol 400microgram inhalation pdr blist with device
0301011R0AAAKAK,Salbutamol 200microgram inhalation powder blisters
0301011R0AAALAL,Salbutamol 400microgram inhalation powder blisters
0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free
0301011R0AAAQAQ,Salbutamol 200micrograms/dose dry powder inhaler
0301011R0AAAUAU,Salbutamol 500micrograms/1ml solution for injection ampoules
0301011R0AAAVAV,Salbutamol 200microgram inhalation powder capsules
0301011R0AAAWAW,Salbutamol 400microgram inhalation powder capsules
0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials
0301011R0AAAZAZ,Salbutamol 2mg tablets
0301011R0AABABA,Salbutamol 4mg tablets
0301011R0AABBBB,Salbutamol 5mg/ml nebuliser liquid
0301011R0AABCBC,Salbutamol 5mg/5ml solution for infusion ampoules
0301011R0AABDBD,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials
0301011R0AABEBE,Salbutamol 4mg modified-release tablets
0301011R0AABFBF,Salbutamol 8mg modified-release tablets
0301011R0AABGBG,Salbutamol 2mg/5ml oral solution sugar free
0301011R0AABMBM,Salbutamol 4mg modified-release capsules
0301011R0AABPBP,Salbutamol 8mg modified-release capsules
0301011R0AABUBU,Salbutamol 100micrograms/dose breath actuated inh CFC free
0301011R0AABVBV,Salbutamol 5mg/50ml solution for infusion vials
0301011R0AABZBZ,Salbutamol 100micrograms/dose dry powder inhaler
0301011R0AACBCB,Salbutamol 100microg/dose dry pdr inhalation cart with dev
0301011R0AACCCC,Salbutamol 100micrograms/dose dry pdr inhalation cartridge
0301011R0BD,Salbulin
0301011R0BDAEAP,Salbulin 100micrograms/dose inhaler
0301011R0BE,Ventolin
0301011R0BEAHAQ,Ventolin 200micrograms/dose Accuhaler
0301011R0BEAIAP,Ventolin 100micrograms/dose Evohaler
0301011R0BEAMBG,Ventolin 2mg/5ml syrup
0301011R0BEANAX,Ventolin 2.5mg Nebules
0301011R0BEAPAV,Ventolin 200microgram Rotacaps
0301011R0BEAQAW,Ventolin 400microgram Rotacaps
0301011R0BEARBB,Ventolin 5mg/ml respirator solution
0301011R0BEATAU,Ventolin 500micrograms/1ml solution for injection ampoules
0301011R0BEAUBC,Ventolin 5mg/5ml solution for infusion ampoules
0301011R0BEAXBD,Ventolin 5mg Nebules
0301011R0BG,Maxivent
0301011R0BGABAX,Maxivent 2.5mg/2.5ml neb liq unit dose Steripoule vials
0301011R0BGACBD,Maxivent 5mg/2.5ml neb liq unit dose Steripoule vials
0301011R0BI,Salamol
0301011R0BIADAX,Salamol 2.5mg/2.5ml neb liq Steri-Neb unit dose vials
0301011R0BIAEBD,Salamol 5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials
0301011R0BIAFAP,Salamol 100micrograms/dose inhaler CFC free (Teva)
0301011R0BIAGBU,Salamol 100micrograms/dose Easi-Breathe inhaler
0301011R0BIAHAP,Salamol 100micrograms/dose inhaler CFC free (Arrow)
0301011R0BJ,Asmasal
0301011R0BJABAF,Asmasal 95micrograms/dose Clickhaler
0301011R0BK,Aerolin
0301011R0BKADAD,Aerolin 100micrograms/dose Autohaler
0301011R0BL,Ventodisks
0301011R0BLAAAI,Ventodisks 200microgram with Diskhaler
0301011R0BLABAK,Ventodisks 200microgram
0301011R0BLACAJ,Ventodisks 400microgram with Diskhaler
0301011R0BLADAL,Ventodisks 400microgram
0301011R0BM,Airomir
0301011R0BMAAAP,Airomir 100micrograms/dose inhaler
0301011R0BMABBU,Airomir 100micrograms/dose Autohaler
0301011R0BN,Volmax
0301011R0BNAABE,Volmax 4mg modified-release tablets
0301011R0BNABBF,Volmax 8mg modified-release tablets
0301011R0BP,Salbutamol Cyclocap
0301011R0BPACAV,Salbutamol 200 Cyclocaps
0301011R0BPADAW,Salbutamol 400 Cyclocaps
0301011R0BS,Ventmax
0301011R0BSAABM,Ventmax SR 4mg capsules
0301011R0BSABBP,Ventmax SR 8mg capsules
0301011R0BT,Pulvinal salbutamol
0301011R0BTAAAQ,Pulvinal Salbutamol 200micrograms/dose dry powder inhaler
0301011R0BU,Salapin
0301011R0BUAABG,Salapin 2mg/5ml syrup
0301011R0BV,Salbutamol Steripoule
0301011R0BVAAAX,Salbutamol 2.5mg/2.5ml neb liq unit dose Steripoule vials
0301011R0BVABBD,Salbutamol 5mg/2.5ml neb liq unit dose Steripoule vials
0301011R0BW,Easyhaler (Salbutamol sulfate)
0301011R0BWAABZ,Easyhaler Salbutamol sulfate 100micrograms/dose dry pdr inh
0301011R0BWABAQ,Easyhaler Salbutamol sulfate 200micrograms/dose dry pdr inh
0301011R0BX,Salbulin Novolizer
0301011R0BXAACB,Salbulin Novolizer 100micrograms/dose inhalation powder
0301011R0BXABCC,Salbulin Novolizer 100micrograms/dose inhalation pdr refill
0301011R0BY,Asmavent
0301011R0BYAAAP,Asmavent 100micrograms/dose inhaler CFC free
0301011R0BZ,AirSalb
0301011R0BZAAAP,AirSalb 100micrograms/dose inhaler CFC free
0301011U0,Salmeterol
0301011U0AA,Salmeterol
0301011U0AAAAAA,Salmeterol 50microgram inhalation pdr blist with device
0301011U0AAABAB,Salmeterol 50microgram inhalation powder blisters
0301011U0AAACAC,Salmeterol 25micrograms/dose inhaler
0301011U0AAAEAE,Salmeterol 50micrograms/dose dry powder inhaler
0301011U0AAAHAH,Salmeterol 25micrograms/dose inhaler CFC free
0301011U0BB,Serevent
0301011U0BBAAAA,Serevent 50microgram disks with Diskhaler
0301011U0BBABAB,Serevent 50microgram disks
0301011U0BBACAC,Serevent 25micrograms/dose inhaler
0301011U0BBAEAE,Serevent 50micrograms/dose Accuhaler
0301011U0BBAFAH,Serevent 25micrograms/dose Evohaler
0301011U0BD,Neovent (Teva)
0301011U0BDAAAH,Neovent 25micrograms/dose inhaler CFC free (Teva)
0301011U0BE,Neovent (Fannin)
0301011U0BEAAAH,Neovent 25micrograms/dose inhaler CFC free (Kent Pharm)
0301011U0BF,Vertine
0301011U0BFAAAH,Vertine 25micrograms/dose inhaler CFC free
0301011U0BG,Soltel
0301011U0BGAAAH,Soltel 25micrograms/dose inhaler CFC free
0301011V0,Terbutaline sulphate
0301011V0AA,Terbutaline sulfate
0301011V0AAAAAA,Terbutaline 250micrograms/dose inhaler
0301011V0AAABAB,Terbutaline 500micrograms/1ml inj ampoules
0301011V0AAADAD,Terbutaline 5mg/2ml nebuliser liquid unit dose vials
0301011V0AAAFAF,Terbutaline 250micrograms/dose inhaler with spacer
0301011V0AAAGAG,Terbutaline 1.5mg/5ml oral solution sugar free
0301011V0AAAHAH,Terbutaline 5mg tablets
0301011V0AAAIAI,Terbutaline 7.5mg modified-release tablets
0301011V0AAAKAK,Terbutaline 2.5mg/5ml solution for injection ampoules
0301011V0AAAXAX,Terbutaline 10mg/ml nebuliser liquid
0301011V0AABABA,Terbutaline 7.5mg/15ml inf pre-filled syringes
0301011V0AABBBB,Terbutaline 500micrograms/dose dry powder inhaler
0301011V0BB,Bricanyl (Systemic)
0301011V0BBAAAH,Bricanyl 5mg tablets
0301011V0BBABAG,Bricanyl 1.5mg/5ml syrup
0301011V0BBACAB,Bricanyl 500micrograms/1ml solution for injection ampoules
0301011V0BBADAA,Bricanyl 250micrograms/dose inhaler
0301011V0BBAFAF,Bricanyl 250micrograms/dose spacer inhaler
0301011V0BBAJAK,Bricanyl 2.5mg/5ml solution for injection ampoules
0301011V0BBALAD,Bricanyl 5mg/2ml Respules
0301011V0BBANAI,Bricanyl SA 7.5mg tablets
0301011V0BBAQAX,Bricanyl 10mg/ml respirator solution
0301011V0BBARBB,Bricanyl 500micrograms/dose Turbohaler
0301011V0BD,Monovent
0301011V0BDABAG,Monovent 1.5mg/5ml syrup
0301011X0,Indacaterol maleate
0301011X0AA,Indacaterol maleate
0301011X0AAAAAA,Indacaterol 150microgram inhalation pdr caps with device
0301011X0AAABAB,Indacaterol 300microgram inhalation pdr caps with device
0301011X0BB,Onbrez Breezhaler
0301011X0BBAAAA,Onbrez Breezhaler 150microgram inhalation pdr caps with dev
0301011X0BBABAB,Onbrez Breezhaler 300microgram inhalation pdr caps with dev
0301011Z0,Olodaterol
0301011Z0AA,Olodaterol
0301011Z0AAAAAA,Olodaterol 2.5microg/dose soln for inhalation CFCfree
0301011Z0AAABAB,Olodaterol 2.5micrograms/dose inhalation soln cart CFC free
