code,term
07,"Obstetrics, Gynaecology and Urinary-Tract Disorders"
0701,Drugs used in obstetrics
070101,Prostaglandins and oxytocics
0701010,Prostaglandins and oxytocics
0701010D0,Carboprost
0701010D0AA,Carboprost
0701010D0AAAAAA,Carboprost 250micrograms/1ml solution for injection ampoules
0701010D0BB,Hemabate
0701010D0BBAAAA,Hemabate 250micrograms/1ml solution for injection ampoules
0701010I0,Dinoprostone
0701010I0AA,Dinoprostone
0701010I0AAAAAA,Dinoprostone 3mg pessaries
0701010I0AAADAD,Dinoprostone 5mg/0.5ml solution for infusion ampoules
0701010I0AAAEAE,Dinoprostone 750micrograms/0.75ml inf ampoules
0701010I0AAAFAF,Dinoprostone 1mg/2.5ml vaginal gel
0701010I0AAAGAG,Dinoprostone 2mg/2.5ml vaginal gel
0701010I0AAAHAH,Dinoprostone 10mg vaginal device
0701010I0BB,Prostin E2
0701010I0BBAAAE,Prostin E2 750micrograms/0.75ml inf ampoules
0701010I0BBACAA,Prostin E2 3mg vaginal tablets
0701010I0BBADAD,Prostin E2 5mg/0.5ml solution for infusion ampoules
0701010I0BBAFAF,Prostin E2 1mg vaginal gel
0701010I0BBAGAG,Prostin E2 2mg vaginal gel
0701010I0BD,Propess
0701010I0BDAAAH,Propess 10mg vaginal delivery system
0701010L0,Ergometrine maleate
0701010L0AA,Ergometrine mal
0701010L0AAAAAA,Ergometrine 500micrograms/1ml inj ampoules
0701010L0AAACAC,Ergometrine 500microgram tablets
0701010P0,Gemeprost
0701010P0AA,Gemeprost
0701010P0AAAAAA,Gemeprost 1mg pessaries
0701010P0BC,Cervagem (Sanofi)
0701010P0BCAAAA,Cervagem 1mg pessaries
0701010T0,Oxytocin
0701010T0AA,Oxytocin
0701010T0AAABAB,Oxytocin 5units/1ml solution for injection ampoules
0701010T0AAACAC,Oxytocin 10units/1ml solution for injection ampoules
0701010T0AAAFAF,Ergometrine 500micrograms/1ml / Oxytocin 5units/1ml inj amp
0701010T0BB,Syntocinon
0701010T0BBABAB,Syntocinon 5units/1ml solution for injection ampoules
0701010T0BBACAC,Syntocinon 10units/1ml solution for injection ampoules
0701010T0BC,Syntometrine
0701010T0BCAAAF,Syntometrine 500micrograms/1ml inj ampoules
0701010W0,Carbetocin
0701010W0AA,Carbetocin
0701010W0AAAAAA,Carbetocin 100micrograms/1ml solution for injection ampoules
0701010W0AAABAB,Carbetocin 100micrograms/1ml solution for injection vials
0701010W0BB,Pabal
0701010W0BBAAAA,Pabal 100micrograms/1ml solution for injection ampoules
0701010W0BBABAB,Pabal 100micrograms/1ml solution for injection vials
0701010X0,Misoprostol (Gynaecology)
0701010X0AA,Misoprostol (Gynaecology)
0701010X0AAAAAA,Misoprostol 400microgram tablets
0701010X0AAABAB,Misoprostol 7micrograms/hour vaginal delivery system
0701010X0BB,Topogyne
0701010X0BBAAAA,Topogyne 400microgram tablets
0701010X0BC,Mysodelle
0701010X0BCAAAB,Mysodelle 200micrograms vaginal delivery system
0701011,Drugs affecting the ductus arteriosus
0701011D0,Alprostadil
0701011D0AA,Alprostadil (Neonatal)
0701011D0AAABAB,Alprostadil 500micrograms/1ml solution for infusion ampoules
0701011D0BB,Prostin VR
0701011D0BBAAAB,Prostin VR 500micrograms/1ml concentrate for inf ampoules
0701011E0,Indometacin
0701011E0AA,Indometacin (Neonatal)
0701011E0AAAAAA,Indometacin 1mg powder for solution for injection vials
0701011E0BB,Indocid (Neonatal)
0701011E0BBAAAA,Indocid PDA 1mg powder for solution for injection vials
0701011F0,Ibuprofen
0701011F0AA,Ibuprofen (Neonatal)
0701011F0AAAAAA,Ibuprofen 10mg/2ml solution for infusion ampoules
0701011F0BB,Pedea
0701011F0BBAAAA,Pedea 10mg/2ml solution for infusion ampoules
070102,Mifepristone
0701020,Mifepristone
0701020K0,Mifepristone
0701020K0AA,Mifepristone
0701020K0AAAAAA,Mifepristone 200mg tablets
0701020K0BB,Mifegyne
0701020K0BBAAAA,Mifegyne 200mg tablets
0701021,Mifepristone and misoprostol
0701021A0,Mifepristone/misoprostol
0701021A0AA,Mifepristone/misoprostol
0701021A0AAAAAA,Mifepristone 200mg tab and Misoprostol 200microg vaginal tab
0701021A0BB,Medabon Combipack
0701021A0BBAAAA,Medabon Combipack tablets
070103,Myometrial relaxants
0701030,Myometrial relaxants
0701030S0,Ritodrine hydrochloride
0701030S0AA,Ritodrine hydrochloride
0701030S0AAABAB,Ritodrine 50mg/5ml solution for injection ampoules
0701030S0AAACAC,Ritodrine 10mg tablets
0701030S0BB,Yutopar
0701030S0BBAAAC,Yutopar 10mg tablets
0701030S0BBABAB,Yutopar 50mg/5ml solution for injection ampoules
0701030V0,Atosiban
0701030V0AA,Atosiban
0701030V0AAAAAA,Atosiban 6.75mg/0.9ml solution for injection vials
0701030V0AAABAB,Atosiban 37.5mg/5ml solution for infusion vials
0701030V0AAACAC,Atosiban 6.75mg/0.9ml solution for injection ampoules
0701030V0AAADAD,Atosiban 6.75mg/0.9ml inj pre-filled syringes
0701030V0BB,Tractocile
0701030V0BBAAAA,Tractocile 6.75mg/0.9ml solution for injection vials
0701030V0BBABAB,Tractocile 37.5mg/5ml solution for infusion vials
0702,Treatment of vaginal and vulval conditions
070201,Preparations for vaginal and vulval changes
0702010,Preparations for vaginal/vulval changes
070201000,Other vaginal/vulva changes preparations
070201000BB,Proprietary compound preparation BNF 0702010
070201000BBAHA0,Vagi-Wave
0702010F0,Estriol
0702010F0AA,Estriol (Vaginal)
0702010F0AAAAAA,Estriol 0.1% cream
0702010F0AAABAB,Estriol 500microgram pessaries
0702010F0AAACAC,Estriol 0.01% cream with applicator
0702010F0AAAEAE,Estriol 0.01% cream
0702010F0AAAFAF,Estriol 50micrograms/g vaginal gel with applicator
0702010F0AAAGAG,Estriol 30microgram pessaries
0702010F0BB,Ortho-Gynest
0702010F0BBAAAB,Ortho-Gynest 500microgram pessaries
0702010F0BBABAC,Gynest 0.01% cream with applicator
0702010F0BC,Ovestin (Vaginal)
0702010F0BCAAAA,Ovestin 1mg cream
0702010F0BE,Blissel
0702010F0BEAAAF,Blissel 50micrograms/g vaginal gel with applicator
0702010F0BF,Imvaggis
0702010F0BFAAAG,Imvaggis 0.03mg pessaries
0702010G0,Estradiol
0702010G0AA,Estradiol (Vaginal)
0702010G0AAAAAA,Estradiol 25microgram pessaries
0702010G0AAAEAE,Estradiol 2mg vaginal ring
0702010G0AAAFAF,Estradiol acetate 1.25mg vaginal ring
0702010G0AAAGAG,Estradiol 10microgram pessaries
0702010G0AAAHAH,Estradiol 7.5micrograms/24hours vaginal delivery system
0702010G0BC,Vagifem
0702010G0BCAAAA,Vagifem 25microgram vaginal tablets
0702010G0BCABAG,Vagifem 10microgram vaginal tablets
0702010G0BD,Estring
0702010G0BDAAAE,Estring 2mg vaginal ring
0702010G0BDABAH,Estring 7.5micrograms/24hours vaginal delivery system
0702010G0BE,Menoring 50
0702010G0BEAAAF,Menoring 50 vaginal ring
0702010I0,Oestrogens conjugated
0702010I0AA,Oestro Conj (Vaginal)
0702010I0AAAAAA,Conjugated oestrogens 625micrograms/g vaginal cream
0702010I0BB,Premarin (Vaginal)
0702010I0BBAAAA,Premarin 0.625mg/g vaginal cream
0702010L0,Diethylstilbestrol
0702010L0AA,Diethylstilbestrol (Vaginal)
0702010L0AAACAC,Diethylstilbestrol 500microgram / Lactic acid 5% pessaries
0702010L0BB,Tampovagan
0702010L0BBAAAC,Tampovagan pessaries
0702010M0,Ospemifene
0702010M0AA,Ospemifene
0702010M0AAAAAA,Ospemifene 60mg tablets
0702010M0BB,Senshio
0702010M0BBAAAA,Senshio 60mg tablets
070202,Vaginal and vulval infections
0702020,Vaginal and vulval infections
0702020AA,Secnidazole
0702020AAAA,Secnidazole
0702020AAAAAAAA,Secnidazole 2g granules sachets
0702020B0,Acetic acid
0702020B0AA,Acetic acid (Vaginal)
0702020B0AAAAAA,Acetic acid 0.94% vaginal gel
0702020B0BB,Aci-Jel
0702020B0BBAAAA,Aci-Jel 0.94% vaginal jelly
0702020E0,Clindamycin phosphate
0702020E0AA,Clindamycin phosphate (Vaginal)
0702020E0AAAAAA,Clindamycin 2% vaginal cream
0702020E0BB,Dalacin
0702020E0BBAAAA,Dalacin 2% cream
0702020F0,Clotrimazole
0702020F0AA,Clotrimazole (Vaginal)
0702020F0AAADAD,Clotrimazole 100mg pessaries
0702020F0AAAEAE,Clotrimazole 200mg pessaries
0702020F0AAAFAF,Clotrimazole 500mg pessaries
0702020F0AAAGAG,Clotrimazole 10% vaginal cream
0702020F0AAAJAJ,Clotrimazole 2% cream
0702020F0AAAKAK,Clotrimazole 500mg pessary and Clotrimazole 2% cream
0702020F0AAALAL,Clotrimazole 10% cream and Clotrimazole 2% cream
0702020F0AAANAN,Fluconazole 150mg capsule and Clotrimazole 2% cream
0702020F0AAAPAP,Fluconazole 150mg capsule and Clotrimazole 1% cream
0702020F0BB,Canesten (Vaginal)
0702020F0BBACAD,Canesten 100mg pessaries
0702020F0BBADAE,Canesten 200mg pessaries
0702020F0BBAFAF,Canesten 500mg pessaries/vaginal pessaries
0702020F0BBAGAG,Canesten 10% VC cream
0702020F0BBAIAG,Canesten Internal 10% cream
0702020F0BBAJAJ,Canesten 2% thrush cream
0702020F0BBAKAK,Canesten Combi 500mg pessary and 2% cream
0702020F0BBALAL,Canesten Combi Internal & External cream
0702020F0BBAMAN,Canesten Oral & Cream Duo
0702020F0BBANAK,Canesten Combi Pessary & Cream
0702020F0BBAQAK,Canesten Combi 500mg Soft Gel pessary and 2% cream
0702020F0BBARAF,Canesten 500mg Soft Gel pessaries
0702020F0BC,Privacom (Vaginal)
0702020F0BCAAAF,Privacom 500mg pessaries
0702020F0BD,Candiden (Vaginal)
0702020F0BDAAAF,Candiden 500mg pessaries
0702020F0BF,Abtrim (Vaginal)
0702020F0BFAAAF,Abtrim 500mg pessaries
0702020F0BG,Boots (Clotrimazole)
0702020F0BGAAAP,Boots Pharmacy Thrush Duo
0702020H0,Econazole nitrate
0702020H0AA,Econazole nitrate (Vaginal)
0702020H0AAAAAA,Econazole 1% cream
0702020H0AAACAC,Econazole 150mg pessaries and Econazole 1% cream
0702020H0AAAFAF,Econazole 150mg pessaries
0702020H0BB,Ecostatin (Vaginal)
0702020H0BBABAF,Ecostatin 150mg pessaries
0702020H0BBACAC,Ecostatin Twin Pack
0702020H0BBADAF,Ecostatin-1 pessaries 150mg
0702020H0BC,Gyno-Pevaryl
0702020H0BCAAAF,Gyno-Pevaryl 150mg vaginal pessaries
0702020H0BCABAC,Gyno-Pevaryl 150 Combi Pack
0702020H0BCACAA,Gyno-Pevaryl 1% cream
0702020H0BCADAF,Gyno-Pevaryl Once 150mg vaginal pessary
0702020H0BCAEAC,Gyno-Pevaryl 1 Combi Pack
0702020I0,Fenticonazole nitrate
0702020I0AA,Fenticonazole nitrate
0702020I0AAACAC,Fenticonazole 2% vaginal cream
0702020I0AAADAD,Fenticonazole 600mg vaginal capsules
0702020I0AAAEAE,Fenticonazole 200mg vaginal capsules
0702020I0BC,Gynoxin
0702020I0BCAAAC,Gynoxin 2% vaginal cream
0702020I0BCABAD,Gynoxin 600mg vaginal capsules
0702020I0BCACAE,Gynoxin 200mg vaginal capsules
0702020P0,Miconazole nitrate
0702020P0AA,Miconazole nitrate (Vaginal)
0702020P0AAAAAA,Miconazole 100mg pessaries and Miconazole 2% cream
0702020P0AAABAB,Miconazole 2% vaginal cream
0702020P0AAADAD,Miconazole 100mg pessaries
0702020P0AAAGAG,Miconazole 1.2g vaginal capsules
0702020P0BB,Gyno-Daktarin
0702020P0BBAAAB,Gyno-Daktarin 2% vaginal cream
0702020P0BBABAD,Gyno-Daktarin 100mg pessaries
0702020P0BBADAA,Gyno-Daktarin Combipack
0702020P0BBAGAG,Gyno-Daktarin 1200mg vaginal capsules
0702020T0,Nystatin
0702020T0AA,Nystatin (Vaginal)
